Time,cumulative_mean_fraction_lambda_W
221.75,0.531766
222,0.531765
222.25,0.531764
222.5,0.531764
222.75,0.531764
223,0.531764
223.25,0.531763
223.5,0.531763
223.75,0.531763
224,0.531763
224.25,0.531763
224.5,0.531763
224.75,0.531764
225,0.531763
225.25,0.531763
225.5,0.531763
225.75,0.531762
226,0.531762
226.25,0.531762
226.5,0.531762
226.75,0.531762
227,0.531762
227.25,0.531762
227.5,0.531761
227.75,0.531761
228,0.53176
228.25,0.531758
228.5,0.531757
228.75,0.531757
229,0.531757
229.25,0.531757
229.5,0.531757
229.75,0.531757
230,0.531756
230.25,0.531755
230.5,0.531755
230.75,0.531755
231,0.531755
231.25,0.531755
231.5,0.531755
231.75,0.531755
232,0.531755
232.25,0.531755
232.5,0.531755
232.75,0.531755
233,0.531754
233.25,0.531754
233.5,0.531754
233.75,0.531754
234,0.531753
234.25,0.531753
234.5,0.531753
234.75,0.531753
235,0.531753
235.25,0.531753
235.5,0.531753
235.75,0.531753
236,0.531753
236.25,0.531753
236.5,0.531753
236.75,0.531753
237,0.531753
237.25,0.531753
237.5,0.531753
237.75,0.531753
238,0.531753
238.25,0.531753
238.5,0.531753
238.75,0.531753
239,0.531752
239.25,0.531752
239.5,0.531752
239.75,0.531752
240,0.531752
240.25,0.531752
240.5,0.531752
240.75,0.531752
241,0.531752
241.25,0.531752
241.5,0.531752
241.75,0.531752
242,0.531752
242.25,0.531752
242.5,0.531752
242.75,0.531752
243,0.531752
243.25,0.531752
243.5,0.531752
243.75,0.531752
244,0.531752
244.25,0.531752
244.5,0.531752
244.75,0.531752
245,0.531752
245.25,0.531752
245.5,0.531752
245.75,0.531752
246,0.531752
246.25,0.531752
246.5,0.531752
246.75,0.531752
247,0.531752
247.25,0.531752
247.5,0.531752
247.75,0.531752
248,0.531752
248.25,0.531752
248.5,0.531752
248.75,0.531752
249,0.531752
249.25,0.531752
249.5,0.531752
249.75,0.531752
250,0.531752
250.25,0.531752
250.5,0.531752
250.75,0.531752
251,0.531752
251.25,0.531752
251.5,0.531752
251.75,0.531752
252,0.531752
252.25,0.531752
252.5,0.531752
252.75,0.531752
253,0.531752
253.25,0.531752
253.5,0.531752
253.75,0.531752
254,0.531752
254.25,0.531752
254.5,0.531752
254.75,0.531752
255,0.531752
255.25,0.531752
255.5,0.531752
255.75,0.531752
256,0.531752
256.25,0.531752
256.5,0.531752
256.75,0.531752
257,0.531752
