Time,cumulative_mean_fraction_lambda_H
114.5,0.286599
114.75,0.28672
115,0.286915
115.25,0.286964
115.5,0.287076
115.75,0.287216
116,0.287383
116.25,0.28745
116.5,0.287602
116.75,0.287686
117,0.28776
117.25,0.287869
117.5,0.287924
117.75,0.288012
118,0.288022
118.25,0.288172
118.5,0.288254
118.75,0.288373
119,0.288458
119.25,0.288503
119.5,0.288632
119.75,0.288797
120,0.288893
120.25,0.288953
120.5,0.289058
120.75,0.289113
121,0.28917
121.25,0.289258
121.5,0.289411
121.75,0.289494
122,0.289557
122.25,0.28964
122.5,0.289726
122.75,0.289797
123,0.2899
123.25,0.290022
123.5,0.290106
123.75,0.290179
124,0.290218
124.25,0.290315
124.5,0.290363
124.75,0.29042
125,0.290456
125.25,0.290504
125.5,0.290534
125.75,0.290616
126,0.290719
126.25,0.290784
126.5,0.290857
126.75,0.290917
127,0.290971
127.25,0.291013
127.5,0.291074
127.75,0.29116
128,0.291204
128.25,0.291247
128.5,0.291255
128.75,0.29131
129,0.291345
129.25,0.291402
129.5,0.291489
129.75,0.291576
130,0.291596
130.25,0.291665
130.5,0.2917
130.75,0.291751
131,0.291779
131.25,0.291843
131.5,0.29188
131.75,0.291931
132,0.291972
132.25,0.292014
132.5,0.292079
132.75,0.292134
133,0.292184
133.25,0.292239
133.5,0.29226
133.75,0.292276
134,0.292316
134.25,0.29235
134.5,0.2924
134.75,0.292438
135,0.292463
135.25,0.292517
135.5,0.292549
135.75,0.292587
136,0.292642
136.25,0.292683
136.5,0.292702
136.75,0.292755
137,0.292818
137.25,0.292847
137.5,0.292851
137.75,0.292888
138,0.292934
138.25,0.292973
138.5,0.293005
138.75,0.293062
139,0.2931
139.25,0.293142
139.5,0.293171
139.75,0.29317
140,0.293183
140.25,0.293174
140.5,0.293184
140.75,0.293242
141,0.293265
141.25,0.293311
141.5,0.293316
141.75,0.293338
142,0.293358
142.25,0.293397
142.5,0.293433
142.75,0.293475
143,0.293516
143.25,0.293541
143.5,0.293577
143.75,0.293595
144,0.293621
144.25,0.293626
144.5,0.293633
144.75,0.293642
145,0.293674
145.25,0.293695
145.5,0.293725
145.75,0.293736
146,0.29378
146.25,0.293811
146.5,0.293866
146.75,0.293867
147,0.293902
147.25,0.293936
147.5,0.293959
147.75,0.293965
148,0.293993
148.25,0.294001
148.5,0.294022
148.75,0.294023
149,0.294029
149.25,0.294045
149.5,0.29406
149.75,0.294068
150,0.294088
150.25,0.294111
150.5,0.294119
150.75,0.294132
151,0.29414
151.25,0.294127
151.5,0.294149
151.75,0.294185
152,0.294203
152.25,0.29422
152.5,0.29423
152.75,0.294252
153,0.294279
153.25,0.294263
153.5,0.294271
153.75,0.294283
154,0.294294
154.25,0.294306
154.5,0.294321
154.75,0.294329
155,0.294326
155.25,0.294344
155.5,0.294343
155.75,0.294344
156,0.294362
156.25,0.294368
156.5,0.294373
156.75,0.294384
157,0.294397
157.25,0.294409
157.5,0.2944
157.75,0.294399
158,0.294416
158.25,0.29443
158.5,0.29444
158.75,0.294436
159,0.294442
159.25,0.294436
159.5,0.294449
159.75,0.294445
160,0.294435
160.25,0.294438
160.5,0.294444
160.75,0.294448
161,0.294466
161.25,0.294459
161.5,0.294463
161.75,0.294479
162,0.294481
162.25,0.294488
162.5,0.294495
162.75,0.294502
163,0.294503
163.25,0.29451
163.5,0.294522
163.75,0.29452
164,0.294522
164.25,0.294518
164.5,0.294521
164.75,0.294534
165,0.294544
165.25,0.29455
165.5,0.294547
165.75,0.294541
166,0.294551
166.25,0.294549
166.5,0.294554
166.75,0.294552
167,0.294553
167.25,0.294565
167.5,0.294561
167.75,0.294555
168,0.294555
168.25,0.294565
168.5,0.294565
168.75,0.294564
169,0.294561
169.25,0.29457
169.5,0.294568
169.75,0.294572
170,0.294568
170.25,0.294571
170.5,0.294571
170.75,0.294573
171,0.294564
171.25,0.294568
171.5,0.294562
171.75,0.294568
172,0.294562
172.25,0.294576
172.5,0.29458
172.75,0.294579
173,0.294582
173.25,0.294585
173.5,0.294582
173.75,0.294591
174,0.294591
174.25,0.294588
174.5,0.294591
174.75,0.294592
175,0.294594
175.25,0.294597
175.5,0.294599
175.75,0.294597
176,0.294598
176.25,0.294599
176.5,0.294601
176.75,0.294608
177,0.294613
177.25,0.294611
177.5,0.294609
177.75,0.294617
178,0.294619
178.25,0.294619
178.5,0.294624
178.75,0.294622
179,0.294621
179.25,0.294625
179.5,0.294631
179.75,0.29463
180,0.29463
180.25,0.294632
180.5,0.294634
180.75,0.294635
181,0.294629
181.25,0.294634
181.5,0.294636
181.75,0.294638
182,0.294643
182.25,0.294647
182.5,0.294652
182.75,0.294654
183,0.294649
183.25,0.294648
183.5,0.294658
183.75,0.294659
184,0.294654
184.25,0.294659
184.5,0.294666
184.75,0.294677
185,0.29468
185.25,0.294679
185.5,0.294681
185.75,0.294676
186,0.29468
186.25,0.29468
186.5,0.29468
186.75,0.294685
187,0.294687
187.25,0.29469
187.5,0.294692
187.75,0.294693
188,0.294689
188.25,0.294686
188.5,0.294686
188.75,0.294685
189,0.294683
189.25,0.294686
189.5,0.294685
189.75,0.294692
190,0.294699
190.25,0.294696
190.5,0.294699
190.75,0.294703
191,0.294704
191.25,0.294705
191.5,0.294707
191.75,0.294708
192,0.294707
192.25,0.294708
192.5,0.294708
192.75,0.29471
193,0.294713
193.25,0.294714
193.5,0.294713
193.75,0.294713
194,0.294715
194.25,0.294714
194.5,0.294716
194.75,0.294712
195,0.294716
195.25,0.294718
195.5,0.294718
195.75,0.294717
196,0.294717
196.25,0.294717
196.5,0.294719
196.75,0.294718
197,0.294719
197.25,0.294718
197.5,0.29472
197.75,0.294719
198,0.29472
198.25,0.294721
198.5,0.294721
198.75,0.29472
199,0.294723
199.25,0.294725
199.5,0.294725
199.75,0.294726
200,0.29473
200.25,0.294731
200.5,0.294732
200.75,0.294733
201,0.294732
201.25,0.294734
201.5,0.294735
201.75,0.294736
202,0.294744
202.25,0.294748
202.5,0.294747
202.75,0.29475
203,0.294752
203.25,0.294752
203.5,0.294753
203.75,0.294755
204,0.294752
204.25,0.294752
204.5,0.294749
204.75,0.294749
205,0.294749
205.25,0.29475
205.5,0.294753
205.75,0.294752
206,0.294752
206.25,0.294752
206.5,0.294751
206.75,0.294752
207,0.294753
207.25,0.294753
207.5,0.294753
207.75,0.294755
208,0.294756
208.25,0.294756
208.5,0.294757
208.75,0.294756
209,0.29476
209.25,0.294759
209.5,0.294761
209.75,0.29476
210,0.294763
210.25,0.294762
210.5,0.294761
210.75,0.294762
211,0.294764
211.25,0.294764
211.5,0.294763
211.75,0.294764
212,0.294764
212.25,0.294764
212.5,0.294763
212.75,0.294764
213,0.294763
213.25,0.294765
213.5,0.294766
213.75,0.294768
214,0.294768
214.25,0.294768
214.5,0.294769
214.75,0.294771
215,0.294772
215.25,0.294772
215.5,0.294774
215.75,0.294774
216,0.294775
216.25,0.294774
216.5,0.294775
216.75,0.294775
217,0.294775
217.25,0.294775
217.5,0.294777
217.75,0.294779
218,0.294779
218.25,0.294778
218.5,0.294777
218.75,0.294777
219,0.294777
219.25,0.294777
219.5,0.294777
219.75,0.294777
220,0.294777
220.25,0.294778
220.5,0.294778
220.75,0.294779
221,0.294779
221.25,0.294779
221.5,0.294779
221.75,0.294779
222,0.294779
222.25,0.29478
222.5,0.29478
222.75,0.29478
223,0.29478
223.25,0.294781
223.5,0.294781
223.75,0.294781
224,0.294781
224.25,0.294781
224.5,0.294781
224.75,0.29478
225,0.294781
225.25,0.294781
225.5,0.294781
225.75,0.294783
226,0.294783
226.25,0.294783
226.5,0.294783
226.75,0.294783
227,0.294783
227.25,0.294783
227.5,0.294783
227.75,0.294783
228,0.294783
228.25,0.294783
228.5,0.294784
228.75,0.294783
229,0.294783
229.25,0.294783
229.5,0.294783
229.75,0.294783
230,0.294782
230.25,0.294782
230.5,0.294782
230.75,0.294782
231,0.294782
231.25,0.294782
231.5,0.294782
231.75,0.294782
232,0.294782
232.25,0.294782
232.5,0.294782
232.75,0.294782
233,0.294783
233.25,0.294783
233.5,0.294783
233.75,0.294783
234,0.294783
234.25,0.294783
234.5,0.294783
234.75,0.294783
235,0.294783
235.25,0.294783
235.5,0.294783
235.75,0.294783
236,0.294783
236.25,0.294783
236.5,0.294783
236.75,0.294783
237,0.294782
237.25,0.294782
237.5,0.294782
237.75,0.294782
238,0.294782
238.25,0.294782
238.5,0.294781
238.75,0.294781
239,0.294782
239.25,0.294782
239.5,0.294782
239.75,0.294782
240,0.294782
240.25,0.294782
240.5,0.294782
240.75,0.294782
241,0.294782
241.25,0.294782
241.5,0.294783
241.75,0.294783
242,0.294783
242.25,0.294783
242.5,0.294783
242.75,0.294783
243,0.294783
243.25,0.294783
243.5,0.294783
243.75,0.294783
244,0.294783
244.25,0.294783
244.5,0.294783
244.75,0.294783
245,0.294783
245.25,0.294783
245.5,0.294783
245.75,0.294783
246,0.294783
246.25,0.294783
246.5,0.294783
246.75,0.294783
247,0.294783
247.25,0.294783
247.5,0.294783
247.75,0.294783
248,0.294783
248.25,0.294783
248.5,0.294783
248.75,0.294783
249,0.294783
249.25,0.294783
249.5,0.294783
249.75,0.294783
250,0.294783
250.25,0.294783
250.5,0.294783
250.75,0.294783
251,0.294783
251.25,0.294783
251.5,0.294783
251.75,0.294783
252,0.294783
252.25,0.294783
252.5,0.294783
252.75,0.294783
253,0.294783
253.25,0.294783
253.5,0.294783
253.75,0.294783
254,0.294783
254.25,0.294783
254.5,0.294783
254.75,0.294783
255,0.294783
255.25,0.294783
255.5,0.294783
255.75,0.294783
256,0.294783
256.25,0.294783
256.5,0.294783
256.75,0.294783
257,0.294783
257.25,0.294783
257.5,0.294783
257.75,0.294783
258,0.294783
258.25,0.294783
258.5,0.294783
258.75,0.294783
259,0.294783
259.25,0.294783
259.5,0.294783
259.75,0.294783
260,0.294783
260.25,0.294783
260.5,0.294783
260.75,0.294783
261,0.294783
261.25,0.294783
261.5,0.294783
261.75,0.294783
262,0.294783
262.25,0.294783
262.5,0.294783
262.75,0.294783
263,0.294783
263.25,0.294783
263.5,0.294783
263.75,0.294783
264,0.294783
264.25,0.294783
264.5,0.294783
264.75,0.294783
265,0.294783
265.25,0.294783
265.5,0.294783
265.75,0.294783
266,0.294783
266.25,0.294783
266.5,0.294783
266.75,0.294783
267,0.294783
267.25,0.294783
267.5,0.294783
267.75,0.294783
268,0.294783
268.25,0.294783
268.5,0.294783
268.75,0.294783
269,0.294783
269.25,0.294783
269.5,0.294783
269.75,0.294783
270,0.294783
270.25,0.294783
270.5,0.294783
270.75,0.294783
271,0.294783
271.25,0.294783
271.5,0.294783
271.75,0.294783
272,0.294783
272.25,0.294783
272.5,0.294783
272.75,0.294783
273,0.294783
273.25,0.294783
273.5,0.294783
273.75,0.294783
274,0.294783
274.25,0.294783
274.5,0.294783
274.75,0.294783
275,0.294783
275.25,0.294783
275.5,0.294783
275.75,0.294783
276,0.294783
276.25,0.294783
276.5,0.294783
276.75,0.294783
277,0.294783
277.25,0.294783
277.5,0.294783
277.75,0.294783
278,0.294783
278.25,0.294783
278.5,0.294783
278.75,0.294783
279,0.294783
279.25,0.294783
279.5,0.294783
279.75,0.294783
280,0.294783
280.25,0.294783
280.5,0.294783
280.75,0.294783
281,0.294783
281.25,0.294783
281.5,0.294783
281.75,0.294783
282,0.294783
282.25,0.294783
282.5,0.294783
282.75,0.294783
283,0.294783
283.25,0.294783
283.5,0.294783
283.75,0.294783
284,0.294783
284.25,0.294783
284.5,0.294783
284.75,0.294783
285,0.294783
285.25,0.294783
285.5,0.294783
285.75,0.294783
286,0.294783
286.25,0.294783
286.5,0.294783
286.75,0.294783
287,0.294783
287.25,0.294783
287.5,0.294783
287.75,0.294783
288,0.294783
288.25,0.294783
288.5,0.294783
288.75,0.294783
289,0.294783
289.25,0.294783
289.5,0.294783
289.75,0.294783
290,0.294783
290.25,0.294783
290.5,0.294783
290.75,0.294783
291,0.294783
291.25,0.294783
291.5,0.294783
291.75,0.294783
292,0.294783
292.25,0.294783
292.5,0.294783
292.75,0.294783
293,0.294783
293.25,0.294783
293.5,0.294783
293.75,0.294783
294,0.294783
294.25,0.294783
294.5,0.294783
294.75,0.294783
295,0.294783
295.25,0.294783
295.5,0.294783
295.75,0.294783
296,0.294783
296.25,0.294783
296.5,0.294783
296.75,0.294783
297,0.294783
297.25,0.294783
297.5,0.294783
297.75,0.294783
298,0.294783
298.25,0.294783
298.5,0.294783
298.75,0.294783
299,0.294783
299.25,0.294783
299.5,0.294783
299.75,0.294783
300,0.294783
