Time,susceptible_lambda_C
136.5,548.74
136.75,536.486
137,525.914
137.25,517.068
137.5,506.532
137.75,499.541
138,489.588
138.25,484.535
138.5,477.314
138.75,480.032
139,469.785
139.25,462.62
139.5,450.078
139.75,444.078
140,430.19
140.25,416.926
140.5,408.16
140.75,400.012
141,394.291
141.25,387.439
141.5,386.148
141.75,377.789
142,368.894
142.25,360.943
142.5,356.403
142.75,345.832
143,334.425
143.25,327.312
143.5,321.529
143.75,318.136
144,313.514
144.25,309.43
144.5,303.217
144.75,296.471
145,293.194
145.25,292.367
145.5,286.488
145.75,283.2
146,276.354
146.25,274.533
146.5,272.785
146.75,270.336
147,265.399
147.25,260.276
147.5,257.418
147.75,254.022
148,248.66
148.25,242.085
148.5,236.637
148.75,231.861
149,230.179
149.25,226.074
149.5,221.217
149.75,221.327
150,217.025
150.25,212.793
150.5,207.959
150.75,202.727
151,198.725
151.25,193.51
151.5,189.726
151.75,184.523
152,179.834
152.25,178.572
152.5,174.698
152.75,172.068
153,169.24
153.25,164.826
153.5,163.735
153.75,160.25
154,156.45
154.25,153.112
154.5,150.594
154.75,146.884
155,144.42
155.25,139.228
155.5,137.204
155.75,135.079
156,133.585
156.25,131.67
156.5,131.025
156.75,129.558
157,125.703
157.25,122.269
157.5,120.567
157.75,118.617
158,116.997
158.25,114.161
158.5,112.452
158.75,112.46
159,111.459
159.25,109.734
159.5,105.099
159.75,102.074
160,103.013
160.25,100.827
160.5,98.6464
160.75,97.4154
161,97.4177
161.25,95.8963
161.5,93.3182
161.75,90.3345
162,90.0106
162.25,88.927
162.5,87.8581
162.75,85.6579
163,81.5647
163.25,79.8725
163.5,79.7818
163.75,75.9631
164,73.1138
164.25,70.5296
164.5,68.9241
164.75,68.4967
165,66.267
165.25,65.6428
165.5,66.1095
165.75,65.5625
166,65.9455
166.25,66.1557
166.5,65.4992
166.75,62.9989
167,62.1282
167.25,59.9138
167.5,59.8168
167.75,57.8807
168,55.8177
168.25,54.8114
168.5,55.0785
168.75,53.7966
169,53.1704
169.25,52.4072
169.5,51.3159
169.75,49.9039
170,50.4435
170.25,48.7462
170.5,47.1407
170.75,46.4025
171,46.0128
171.25,44.1355
171.5,43.4407
171.75,43.2982
172,43.4891
172.25,42.8555
172.5,42.8375
172.75,41.1797
173,40.561
173.25,40.7038
173.5,39.5207
173.75,39.0483
174,38.3569
174.25,37.6155
174.5,36.4323
174.75,36.0363
175,35.7323
175.25,34.757
175.5,32.8254
175.75,32.9432
176,33.4059
176.25,34.2626
176.5,31.8624
176.75,30.2733
177,29.4174
177.25,29.4261
177.5,29.1221
177.75,28.2619
178,28.0893
178.25,27.6718
178.5,26.7886
178.75,26.5813
179,26.2213
179.25,26.0927
179.5,26.2732
179.75,26.4173
180,25.4919
180.25,25.1446
180.5,24.8425
180.75,23.4725
181,22.6178
181.25,22.8025
181.5,23.0764
181.75,23.2367
182,22.9781
182.25,22.2628
182.5,21.2987
182.75,21.6272
183,21.7681
183.25,21.3262
