Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
168.25,0.0623327
168.5,0.213474
168.75,0.216714
169,0.139791
169.25,0.151917
169.5,0.132153
169.75,0.160114
170,0.18735
170.25,0.128699
170.5,0.214949
170.75,0.0678944
171,0.234163
171.25,0.143648
171.5,0.243445
171.75,0.186799
172,0.122381
172.25,0.0415152
172.5,0.288043
172.75,0.0768566
173,0.100382
173.25,0.109046
173.5,0.107763
173.75,0.0290525
174,0.182583
174.25,0.040474
174.5,0.154159
174.75,0.111883
175,0.0385093
175.25,0.0280486
175.5,0.0867428
175.75,0.099535
176,0.130451
176.25,0.0320607
176.5,0.0817457
176.75,0.0714131
177,0.0401386
177.25,0.105366
177.5,0.0998023
177.75,0.0287254
178,0.110792
178.25,0.0998894
178.5,0.175735
178.75,0.127341
179,0.291137
179.25,0.0208115
179.5,0.0238641
179.75,0.294003
180,0.172945
180.25,0.11408
180.5,0.0503702
180.75,0.0616256
181,0.259768
181.25,0.141621
181.5,0.043256
181.75,0.0426969
182,0.0289205
182.25,0.0593027
182.5,0.0253046
182.75,0.0194112
183,0.0602806
183.25,0.186853
183.5,0.0296138
183.75,0.111108
184,0.105803
184.25,0.0157566
184.5,0.0668696
184.75,0.00855648
185,0.0595073
185.25,0.130701
185.5,0.132159
185.75,0.644809
186,0.217031
186.25,0.0624506
186.5,0.0733248
186.75,0.0794436
187,0.111014
187.25,0.054431
187.5,0.0125274
187.75,0.0125396
188,0.187152
188.25,0.182235
188.5,0.124403
188.75,0.0131568
189,0.117205
189.25,0.0431669
189.5,0.161878
189.75,0.0132421
190,0.0790705
190.25,0.0665205
190.5,0.0354259
190.75,0.118103
191,0.0560788
191.25,0.0629972
191.5,0.0737624
191.75,0.0311524
192,0.0816496
192.25,0.0102717
192.5,0.0446191
192.75,0.00297174
193,0.00316317
193.25,0.0288884
193.5,0.184992
193.75,0.0433946
194,0.0457086
194.25,0.0892248
194.5,0.116757
194.75,0.759568
195,0.0122835
195.25,0.0615229
195.5,0
195.75,0.0211803
196,0.0811858
196.25,0.0947973
196.5,0.16646
196.75,0.241319
197,0.568368
197.25,0.0127934
197.5,0.0413749
197.75,0.650969
198,0.127382
198.25,0
198.5,0.0338036
198.75,0.135913
199,0.0193684
199.25,0.041026
199.5,0.0875316
199.75,0
200,0
200.25,0.440811
200.5,0.0633129
200.75,0.00276341
201,0.993298
201.25,0.06022
201.5,0.378478
201.75,0.0251634
202,0.000653805
202.25,0
202.5,0.999437
202.75,0.0150294
203,0.00501472
203.25,0.169488
203.5,0
203.75,0
204,0.998938
204.25,0.00693169
204.5,0.141936
204.75,0
205,0
205.25,0.00452245
205.5,0.00382872
205.75,0
206,0.128904
206.25,-nan
206.5,0.999904
206.75,0.278268
207,0
207.25,0
207.5,0.143607
207.75,0
208,0.425853
208.25,0.0560005
208.5,0.0293721
208.75,0.276687
209,0
209.25,0.0110018
209.5,0
209.75,0.996677
210,0.126065
210.25,0.999923
210.5,0.999588
210.75,0.0528178
211,0
211.25,0.0953233
211.5,0.999748
211.75,0
212,0
212.25,0.259288
212.5,0.99982
212.75,0.00361884
213,0.999976
213.25,0
213.5,0.409145
213.75,0.0175018
214,-nan
214.25,-nan
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,-nan
216,0
216.25,0.999803
216.5,0
216.75,-nan
217,-nan
217.25,-nan
217.5,0
217.75,0
218,-nan
218.25,0.994579
218.5,0.996092
218.75,-nan
219,-nan
219.25,0.999938
219.5,-nan
219.75,-nan
220,-nan
220.25,0
220.5,-nan
220.75,0
221,-nan
221.25,-nan
221.5,-nan
221.75,-nan
222,0
222.25,0
222.5,-nan
222.75,-nan
223,-nan
223.25,0
223.5,-nan
223.75,-nan
224,-nan
224.25,-nan
224.5,-nan
224.75,0.999967
225,0
225.25,-nan
225.5,-nan
225.75,0
226,-nan
226.25,-nan
226.5,-nan
226.75,-nan
227,-nan
227.25,-nan
227.5,0
227.75,-nan
228,0
228.25,0
228.5,0
228.75,0.999961
229,-nan
229.25,-nan
229.5,-nan
229.75,0
230,0
230.25,0
230.5,-nan
230.75,-nan
231,-nan
231.25,-nan
231.5,-nan
231.75,-nan
232,-nan
232.25,-nan
232.5,-nan
232.75,-nan
233,0
233.25,-nan
233.5,-nan
233.75,-nan
234,0
234.25,-nan
234.5,-nan
234.75,-nan
235,-nan
235.25,-nan
235.5,-nan
235.75,-nan
236,-nan
236.25,-nan
236.5,-nan
236.75,-nan
237,0
237.25,-nan
237.5,-nan
237.75,-nan
238,0.999892
238.25,-nan
238.5,0
238.75,-nan
239,0
239.25,-nan
239.5,-nan
239.75,-nan
240,-nan
240.25,0.999964
240.5,-nan
240.75,-nan
241,-nan
241.25,-nan
241.5,0
241.75,-nan
242,-nan
242.25,-nan
242.5,-nan
242.75,-nan
243,0.999999
243.25,-nan
243.5,-nan
243.75,-nan
244,-nan
244.25,-nan
244.5,-nan
244.75,-nan
245,-nan
245.25,-nan
245.5,-nan
245.75,-nan
246,-nan
246.25,-nan
246.5,-nan
246.75,-nan
247,-nan
247.25,-nan
247.5,-nan
247.75,-nan
248,-nan
248.25,-nan
248.5,-nan
248.75,-nan
249,-nan
249.25,-nan
249.5,-nan
249.75,-nan
250,-nan
250.25,-nan
250.5,-nan
250.75,-nan
251,-nan
251.25,-nan
251.5,-nan
251.75,-nan
252,-nan
252.25,-nan
252.5,-nan
252.75,-nan
253,-nan
253.25,-nan
253.5,-nan
253.75,-nan
254,-nan
254.25,-nan
254.5,-nan
254.75,-nan
255,-nan
255.25,-nan
255.5,-nan
255.75,-nan
256,-nan
256.25,-nan
256.5,-nan
256.75,-nan
257,-nan
257.25,-nan
257.5,-nan
257.75,-nan
258,-nan
258.25,-nan
258.5,-nan
258.75,-nan
259,-nan
259.25,-nan
259.5,-nan
259.75,-nan
260,-nan
260.25,-nan
260.5,-nan
260.75,-nan
261,-nan
261.25,-nan
261.5,-nan
261.75,-nan
262,-nan
262.25,-nan
262.5,-nan
262.75,-nan
263,-nan
263.25,-nan
263.5,-nan
263.75,-nan
264,-nan
264.25,-nan
264.5,-nan
264.75,-nan
265,-nan
265.25,-nan
265.5,-nan
265.75,-nan
266,-nan
266.25,-nan
266.5,-nan
266.75,-nan
267,-nan
267.25,-nan
267.5,-nan
267.75,-nan
268,-nan
268.25,-nan
268.5,-nan
268.75,-nan
269,-nan
269.25,-nan
269.5,-nan
269.75,-nan
270,-nan
270.25,-nan
270.5,-nan
270.75,-nan
271,-nan
271.25,-nan
271.5,-nan
271.75,-nan
272,-nan
272.25,-nan
272.5,-nan
272.75,-nan
273,-nan
273.25,-nan
273.5,-nan
273.75,-nan
274,-nan
274.25,-nan
274.5,-nan
274.75,-nan
275,-nan
275.25,-nan
275.5,-nan
275.75,-nan
276,-nan
276.25,-nan
276.5,-nan
276.75,-nan
277,-nan
277.25,-nan
277.5,-nan
277.75,-nan
278,-nan
278.25,-nan
278.5,-nan
278.75,-nan
279,-nan
279.25,-nan
279.5,-nan
279.75,-nan
280,-nan
280.25,-nan
280.5,-nan
280.75,-nan
281,-nan
281.25,-nan
281.5,-nan
281.75,-nan
282,-nan
282.25,-nan
282.5,-nan
282.75,-nan
283,-nan
283.25,-nan
283.5,-nan
283.75,-nan
284,-nan
284.25,-nan
284.5,-nan
284.75,-nan
285,-nan
285.25,-nan
285.5,-nan
285.75,-nan
286,-nan
286.25,-nan
286.5,-nan
286.75,-nan
287,-nan
287.25,-nan
287.5,-nan
287.75,-nan
288,-nan
288.25,-nan
288.5,-nan
288.75,-nan
289,-nan
289.25,-nan
289.5,-nan
289.75,-nan
290,-nan
290.25,-nan
290.5,-nan
290.75,-nan
291,-nan
291.25,-nan
291.5,-nan
291.75,-nan
292,-nan
292.25,-nan
292.5,-nan
292.75,-nan
293,-nan
293.25,-nan
293.5,-nan
293.75,-nan
294,-nan
294.25,-nan
294.5,-nan
294.75,-nan
295,-nan
295.25,-nan
295.5,-nan
295.75,-nan
296,-nan
296.25,-nan
296.5,-nan
296.75,-nan
297,-nan
297.25,-nan
297.5,-nan
297.75,-nan
298,-nan
298.25,-nan
298.5,-nan
298.75,-nan
299,-nan
299.25,-nan
299.5,-nan
299.75,-nan
300,-nan
300.25,-nan
300.5,-nan
300.75,-nan
301,-nan
301.25,-nan
301.5,-nan
301.75,-nan
302,-nan
302.25,-nan
302.5,-nan
302.75,-nan
303,-nan
303.25,-nan
303.5,-nan
303.75,-nan
304,-nan
304.25,-nan
304.5,-nan
304.75,-nan
305,-nan
305.25,-nan
305.5,-nan
305.75,-nan
306,-nan
306.25,-nan
306.5,-nan
306.75,-nan
307,-nan
307.25,-nan
307.5,-nan
307.75,-nan
308,-nan
308.25,-nan
308.5,-nan
308.75,-nan
309,-nan
309.25,-nan
309.5,-nan
309.75,-nan
310,-nan
310.25,-nan
310.5,-nan
310.75,-nan
311,-nan
311.25,-nan
311.5,-nan
311.75,-nan
312,-nan
312.25,-nan
312.5,-nan
312.75,-nan
313,-nan
313.25,-nan
313.5,-nan
313.75,-nan
314,-nan
314.25,-nan
314.5,-nan
314.75,-nan
315,-nan
315.25,-nan
315.5,-nan
315.75,-nan
316,-nan
316.25,-nan
316.5,-nan
316.75,-nan
317,-nan
317.25,-nan
317.5,-nan
317.75,-nan
318,-nan
318.25,-nan
318.5,-nan
318.75,-nan
319,-nan
319.25,-nan
319.5,-nan
319.75,-nan
320,-nan
320.25,-nan
320.5,-nan
320.75,-nan
321,-nan
321.25,-nan
321.5,-nan
321.75,-nan
322,-nan
322.25,-nan
322.5,-nan
322.75,-nan
323,-nan
323.25,-nan
323.5,-nan
323.75,-nan
324,-nan
324.25,-nan
324.5,-nan
324.75,-nan
325,-nan
325.25,-nan
325.5,-nan
325.75,-nan
326,-nan
326.25,-nan
326.5,-nan
326.75,-nan
327,-nan
327.25,-nan
327.5,-nan
327.75,-nan
328,-nan
328.25,-nan
328.5,-nan
328.75,-nan
329,-nan
329.25,-nan
329.5,-nan
329.75,-nan
330,-nan
330.25,-nan
330.5,-nan
330.75,-nan
331,-nan
331.25,-nan
331.5,-nan
331.75,-nan
332,-nan
332.25,-nan
332.5,-nan
332.75,-nan
333,-nan
333.25,-nan
333.5,-nan
333.75,-nan
334,-nan
334.25,-nan
334.5,-nan
334.75,-nan
335,-nan
335.25,-nan
335.5,-nan
335.75,-nan
336,-nan
336.25,-nan
336.5,-nan
336.75,-nan
337,-nan
337.25,-nan
337.5,-nan
337.75,-nan
338,-nan
338.25,-nan
338.5,-nan
338.75,-nan
339,-nan
339.25,-nan
339.5,-nan
339.75,-nan
340,-nan
340.25,-nan
340.5,-nan
340.75,-nan
341,-nan
341.25,-nan
341.5,-nan
341.75,-nan
342,-nan
342.25,-nan
342.5,-nan
342.75,-nan
343,-nan
343.25,-nan
343.5,-nan
343.75,-nan
344,-nan
344.25,-nan
344.5,-nan
344.75,-nan
345,-nan
345.25,-nan
345.5,-nan
345.75,-nan
346,-nan
346.25,-nan
