Time,mean_fraction_lambda_C
218.75,0
219,0
219.25,6.18276e-05
219.5,0
219.75,0
220,0
220.25,7.97054e-06
220.5,0
220.75,9.61351e-06
221,0
221.25,0
221.5,0
221.75,0
222,1
222.25,3.79427e-06
222.5,0
222.75,0
223,0
223.25,8.78024e-05
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,3.32522e-05
225,1.88114e-05
225.25,0
225.5,0
225.75,1.36182e-05
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,1
227.75,0
228,1
228.25,0.666668
228.5,2.78124e-05
228.75,3.87056e-05
229,0
229.25,0
229.5,0
229.75,1
230,1
230.25,1
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,1.19359e-06
233.25,0
233.5,0
233.75,0
234,1
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,1
237.25,0
237.5,0
237.75,0
238,0.000108081
238.25,0
238.5,1
238.75,0
239,9.93681e-06
239.25,0
239.5,0
239.75,0
240,0
240.25,3.63766e-05
240.5,0
240.75,0
241,0
241.25,0
241.5,9.53157e-06
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,5.27741e-07
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
