Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
321,0,0,22910,0,2645
322,0,0,22910,0,2645
323,0,0,22910,0,2645
324,0,0,22910,0,2645
325,0,0,22910,0,2645
326,0,0,22910,0,2645
327,0,0,22910,0,2645
328,0,0,22910,0,2645
329,0,0,22910,0,2645
330,0,0,22910,0,2645
331,0,0,22910,0,2645
332,0,0,22910,0,2645
333,0,0,22910,0,2645
334,0,0,22910,0,2645
335,0,0,22910,0,2645
336,0,0,22910,0,2645
337,0,0,22910,0,2645
338,0,0,22910,0,2645
339,0,0,22910,0,2645
340,0,0,22910,0,2645
341,0,0,22910,0,2645
342,0,0,22910,0,2645
343,0,0,22910,0,2645
344,0,0,22910,0,2645
345,0,0,22910,0,2645
346,0,0,22910,0,2645
347,0,0,22910,0,2645
348,0,0,22910,0,2645
349,0,0,22910,0,2645
350,0,0,22910,0,2645
351,0,0,22910,0,2645
352,0,0,22910,0,2645
353,0,0,22910,0,2645
354,0,0,22910,0,2645
355,0,0,22910,0,2645
356,0,0,22910,0,2645
357,0,0,22910,0,2645
358,0,0,22910,0,2645
359,0,0,22910,0,2645
360,0,0,22910,0,2645
361,0,0,22910,0,2645
362,0,0,22910,0,2645
363,0,0,22910,0,2645
364,0,0,22910,0,2645
365,0,0,22910,0,2645
366,0,0,22910,0,2645
367,0,0,22910,0,2645
368,0,0,22910,0,2645
369,0,0,22910,0,2645
370,0,0,22910,0,2645
371,0,0,22910,0,2645
372,0,0,22910,0,2645
373,0,0,22910,0,2645
374,0,0,22910,0,2645
375,0,0,22910,0,2645
376,0,0,22910,0,2645
377,0,0,22910,0,2645
378,0,0,22910,0,2645
379,0,0,22910,0,2645
380,0,0,22910,0,2645
381,0,0,22910,0,2645
382,0,0,22910,0,2645
383,0,0,22910,0,2645
384,0,0,22910,0,2645
385,0,0,22910,0,2645
386,0,0,22910,0,2645
387,0,0,22910,0,2645
388,0,0,22910,0,2645
389,0,0,22910,0,2645
390,0,0,22910,0,2645
391,0,0,22910,0,2645
392,0,0,22910,0,2645
393,0,0,22910,0,2645
394,0,0,22910,0,2645
395,0,0,22910,0,2645
396,0,0,22910,0,2645
397,0,0,22910,0,2645
398,0,0,22910,0,2645
399,0,0,22910,0,2645
400,0,0,22910,0,2645
401,0,0,22910,0,2645
402,0,0,22910,0,2645
403,0,0,22910,0,2645
404,0,0,22910,0,2645
405,0,0,22910,0,2645
406,0,0,22910,0,2645
407,0,0,22910,0,2645
408,0,0,22910,0,2645
409,0,0,22910,0,2645
410,0,0,22910,0,2645
411,0,0,22910,0,2645
412,0,0,22910,0,2645
413,0,0,22910,0,2645
414,0,0,22910,0,2645
415,0,0,22910,0,2645
416,0,0,22910,0,2645
417,0,0,22910,0,2645
418,0,0,22910,0,2645
419,0,0,22910,0,2645
420,0,0,22910,0,2645
421,0,0,22910,0,2645
422,0,0,22910,0,2645
423,0,0,22910,0,2645
424,0,0,22910,0,2645
425,0,0,22910,0,2645
426,0,0,22910,0,2645
427,0,0,22910,0,2645
428,0,0,22910,0,2645
429,0,0,22910,0,2645
430,0,0,22910,0,2645
431,0,0,22910,0,2645
432,0,0,22910,0,2645
433,0,0,22910,0,2645
434,0,0,22910,0,2645
435,0,0,22910,0,2645
436,0,0,22910,0,2645
437,0,0,22910,0,2645
438,0,0,22910,0,2645
439,0,0,22910,0,2645
440,0,0,22910,0,2645
441,0,0,22910,0,2645
442,0,0,22910,0,2645
443,0,0,22910,0,2645
444,0,0,22910,0,2645
445,0,0,22910,0,2645
446,0,0,22910,0,2645
447,0,0,22910,0,2645
448,0,0,22910,0,2645
449,0,0,22910,0,2645
450,0,0,22910,0,2645
451,0,0,22910,0,2645
452,0,0,22910,0,2645
453,0,0,22910,0,2645
454,0,0,22910,0,2645
455,0,0,22910,0,2645
456,0,0,22910,0,2645
457,0,0,22910,0,2645
458,0,0,22910,0,2645
459,0,0,22910,0,2645
460,0,0,22910,0,2645
461,0,0,22910,0,2645
462,0,0,22910,0,2645
463,0,0,22910,0,2645
464,0,0,22910,0,2645
465,0,0,22910,0,2645
466,0,0,22910,0,2645
467,0,0,22910,0,2645
468,0,0,22910,0,2645
469,0,0,22910,0,2645
470,0,0,22910,0,2645
471,0,0,22910,0,2645
472,0,0,22910,0,2645
473,0,0,22910,0,2645
474,0,0,22910,0,2645
475,0,0,22910,0,2645
476,0,0,22910,0,2645
477,0,0,22910,0,2645
478,0,0,22910,0,2645
479,0,0,22910,0,2645
480,0,0,22910,0,2645
481,0,0,22910,0,2645
482,0,0,22910,0,2645
483,0,0,22910,0,2645
484,0,0,22910,0,2645
485,0,0,22910,0,2645
486,0,0,22910,0,2645
