Time,cumulative_mean_fraction_lambda_C
293.25,0.173465
293.5,0.173465
293.75,0.173465
294,0.173465
294.25,0.173465
294.5,0.173465
294.75,0.173465
295,0.173465
295.25,0.173465
295.5,0.173465
295.75,0.173465
296,0.173465
296.25,0.173465
296.5,0.173465
296.75,0.173465
297,0.173465
297.25,0.173465
297.5,0.173465
297.75,0.173465
298,0.173465
298.25,0.173465
298.5,0.173465
298.75,0.173465
299,0.173465
299.25,0.173465
299.5,0.173465
299.75,0.173465
300,0.173465
300.25,0.173465
300.5,0.173465
300.75,0.173465
301,0.173465
301.25,0.173465
301.5,0.173465
301.75,0.173465
302,0.173465
302.25,0.173465
302.5,0.173465
302.75,0.173465
303,0.173465
303.25,0.173465
303.5,0.173465
303.75,0.173465
304,0.173465
304.25,0.173465
304.5,0.173465
304.75,0.173465
305,0.173465
305.25,0.173465
305.5,0.173465
305.75,0.173465
306,0.173465
306.25,0.173465
306.5,0.173465
306.75,0.173465
307,0.173465
307.25,0.173465
307.5,0.173465
307.75,0.173465
308,0.173465
308.25,0.173465
308.5,0.173465
308.75,0.173465
309,0.173465
309.25,0.173465
309.5,0.173465
309.75,0.173465
310,0.173465
310.25,0.173465
310.5,0.173465
310.75,0.173465
311,0.173465
311.25,0.173465
311.5,0.173465
311.75,0.173465
312,0.173465
312.25,0.173465
312.5,0.173465
312.75,0.173465
313,0.173465
313.25,0.173465
313.5,0.173465
313.75,0.173465
314,0.173465
314.25,0.173465
314.5,0.173465
314.75,0.173465
315,0.173465
315.25,0.173465
315.5,0.173465
315.75,0.173465
316,0.173465
316.25,0.173465
316.5,0.173465
316.75,0.173465
317,0.173465
317.25,0.173465
317.5,0.173465
317.75,0.173465
318,0.173465
318.25,0.173465
318.5,0.173465
318.75,0.173465
319,0.173465
319.25,0.173465
319.5,0.173465
319.75,0.173465
320,0.173465
320.25,0.173465
320.5,0.173465
320.75,0.173465
321,0.173465
321.25,0.173465
321.5,0.173465
321.75,0.173465
322,0.173465
322.25,0.173465
322.5,0.173465
322.75,0.173465
323,0.173465
323.25,0.173465
323.5,0.173465
323.75,0.173465
324,0.173465
324.25,0.173465
324.5,0.173465
324.75,0.173465
325,0.173465
325.25,0.173465
325.5,0.173465
325.75,0.173465
326,0.173465
326.25,0.173465
326.5,0.173465
326.75,0.173465
327,0.173465
327.25,0.173465
327.5,0.173465
327.75,0.173465
328,0.173465
328.25,0.173465
328.5,0.173465
328.75,0.173465
329,0.173465
329.25,0.173465
329.5,0.173465
329.75,0.173465
330,0.173465
330.25,0.173465
330.5,0.173465
330.75,0.173465
331,0.173465
331.25,0.173465
331.5,0.173465
331.75,0.173465
332,0.173465
332.25,0.173465
332.5,0.173465
332.75,0.173465
333,0.173465
333.25,0.173465
333.5,0.173465
333.75,0.173465
334,0.173465
334.25,0.173465
334.5,0.173465
334.75,0.173465
335,0.173465
335.25,0.173465
335.5,0.173465
335.75,0.173465
336,0.173465
336.25,0.173465
336.5,0.173465
336.75,0.173465
337,0.173465
337.25,0.173465
337.5,0.173465
337.75,0.173465
338,0.173465
338.25,0.173465
338.5,0.173465
338.75,0.173465
339,0.173465
339.25,0.173465
339.5,0.173465
339.75,0.173465
340,0.173465
340.25,0.173465
340.5,0.173465
340.75,0.173465
341,0.173465
341.25,0.173465
341.5,0.173465
341.75,0.173465
342,0.173465
342.25,0.173465
342.5,0.173465
342.75,0.173465
343,0.173465
343.25,0.173465
343.5,0.173465
343.75,0.173465
344,0.173465
344.25,0.173465
344.5,0.173465
344.75,0.173465
345,0.173465
345.25,0.173465
345.5,0.173465
345.75,0.173465
346,0.173465
346.25,0.173465
346.5,0.173465
346.75,0.173465
347,0.173465
347.25,0.173465
347.5,0.173465
347.75,0.173465
348,0.173465
348.25,0.173465
348.5,0.173465
348.75,0.173465
349,0.173465
349.25,0.173465
349.5,0.173465
349.75,0.173465
350,0.173465
350.25,0.173465
350.5,0.173465
350.75,0.173465
351,0.173465
351.25,0.173465
351.5,0.173465
351.75,0.173465
352,0.173465
352.25,0.173465
352.5,0.173465
352.75,0.173465
353,0.173465
353.25,0.173465
353.5,0.173465
353.75,0.173465
354,0.173465
354.25,0.173465
354.5,0.173465
354.75,0.173465
355,0.173465
355.25,0.173465
355.5,0.173465
355.75,0.173465
356,0.173465
356.25,0.173465
356.5,0.173465
356.75,0.173465
357,0.173465
357.25,0.173465
357.5,0.173465
357.75,0.173465
358,0.173465
358.25,0.173465
358.5,0.173465
358.75,0.173465
359,0.173465
359.25,0.173465
359.5,0.173465
359.75,0.173465
360,0.173465
360.25,0.173465
360.5,0.173465
360.75,0.173465
361,0.173465
361.25,0.173465
361.5,0.173465
361.75,0.173465
362,0.173465
362.25,0.173465
362.5,0.173465
362.75,0.173465
363,0.173465
363.25,0.173465
363.5,0.173465
363.75,0.173465
364,0.173465
364.25,0.173465
364.5,0.173465
364.75,0.173465
365,0.173465
365.25,0.173465
365.5,0.173465
365.75,0.173465
366,0.173465
366.25,0.173465
366.5,0.173465
366.75,0.173465
367,0.173465
367.25,0.173465
367.5,0.173465
367.75,0.173465
368,0.173465
368.25,0.173465
368.5,0.173465
368.75,0.173465
369,0.173465
369.25,0.173465
369.5,0.173465
369.75,0.173465
370,0.173465
370.25,0.173465
370.5,0.173465
370.75,0.173465
371,0.173465
371.25,0.173465
371.5,0.173465
371.75,0.173465
372,0.173465
372.25,0.173465
372.5,0.173465
372.75,0.173465
373,0.173465
373.25,0.173465
373.5,0.173465
373.75,0.173465
374,0.173465
374.25,0.173465
374.5,0.173465
374.75,0.173465
375,0.173465
375.25,0.173465
375.5,0.173465
375.75,0.173465
376,0.173465
376.25,0.173465
376.5,0.173465
376.75,0.173465
377,0.173465
377.25,0.173465
377.5,0.173465
377.75,0.173465
378,0.173465
378.25,0.173465
378.5,0.173465
378.75,0.173465
379,0.173465
379.25,0.173465
379.5,0.173465
379.75,0.173465
380,0.173465
380.25,0.173465
380.5,0.173465
380.75,0.173465
381,0.173465
381.25,0.173465
381.5,0.173465
381.75,0.173465
382,0.173465
382.25,0.173465
382.5,0.173465
382.75,0.173465
383,0.173465
383.25,0.173465
383.5,0.173465
383.75,0.173465
384,0.173465
384.25,0.173465
384.5,0.173465
384.75,0.173465
385,0.173465
385.25,0.173465
385.5,0.173465
385.75,0.173465
386,0.173465
386.25,0.173465
386.5,0.173465
386.75,0.173465
387,0.173465
387.25,0.173465
387.5,0.173465
387.75,0.173465
388,0.173465
388.25,0.173465
388.5,0.173465
388.75,0.173465
389,0.173465
389.25,0.173465
389.5,0.173465
389.75,0.173465
390,0.173465
390.25,0.173465
390.5,0.173465
390.75,0.173465
391,0.173465
391.25,0.173465
391.5,0.173465
391.75,0.173465
392,0.173465
392.25,0.173465
392.5,0.173465
392.75,0.173465
393,0.173465
393.25,0.173465
393.5,0.173465
393.75,0.173465
394,0.173465
394.25,0.173465
394.5,0.173465
394.75,0.173465
395,0.173465
395.25,0.173465
395.5,0.173465
395.75,0.173465
396,0.173465
396.25,0.173465
396.5,0.173465
396.75,0.173465
397,0.173465
397.25,0.173465
397.5,0.173465
397.75,0.173465
398,0.173465
398.25,0.173465
398.5,0.173465
398.75,0.173465
399,0.173465
399.25,0.173465
399.5,0.173465
399.75,0.173465
400,0.173465
400.25,0.173465
400.5,0.173465
400.75,0.173465
401,0.173465
401.25,0.173465
401.5,0.173465
401.75,0.173465
402,0.173465
402.25,0.173465
402.5,0.173465
402.75,0.173465
403,0.173465
403.25,0.173465
403.5,0.173465
403.75,0.173465
404,0.173465
404.25,0.173465
404.5,0.173465
404.75,0.173465
405,0.173465
405.25,0.173465
405.5,0.173465
405.75,0.173465
406,0.173465
406.25,0.173465
406.5,0.173465
406.75,0.173465
407,0.173465
407.25,0.173465
407.5,0.173465
407.75,0.173465
408,0.173465
408.25,0.173465
408.5,0.173465
408.75,0.173465
409,0.173465
409.25,0.173465
409.5,0.173465
409.75,0.173465
