Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
456,0,0,0,22910,0,2645
457,0,0,0,22910,0,2645
458,0,0,0,22910,0,2645
459,0,0,0,22910,0,2645
460,0,0,0,22910,0,2645
461,0,0,0,22910,0,2645
462,0,0,0,22910,0,2645
463,0,0,0,22910,0,2645
464,0,0,0,22910,0,2645
465,0,0,0,22910,0,2645
466,0,0,0,22910,0,2645
467,0,0,0,22910,0,2645
468,0,0,0,22910,0,2645
469,0,0,0,22910,0,2645
470,0,0,0,22910,0,2645
471,0,0,0,22910,0,2645
472,0,0,0,22910,0,2645
473,0,0,0,22910,0,2645
474,0,0,0,22910,0,2645
475,0,0,0,22910,0,2645
476,0,0,0,22910,0,2645
477,0,0,0,22910,0,2645
478,0,0,0,22910,0,2645
479,0,0,0,22910,0,2645
480,0,0,0,22910,0,2645
481,0,0,0,22910,0,2645
482,0,0,0,22910,0,2645
483,0,0,0,22910,0,2645
484,0,0,0,22910,0,2645
485,0,0,0,22910,0,2645
486,0,0,0,22910,0,2645
487,0,0,0,22910,0,2645
488,0,0,0,22910,0,2645
489,0,0,0,22910,0,2645
490,0,0,0,22910,0,2645
491,0,0,0,22910,0,2645
492,0,0,0,22910,0,2645
493,0,0,0,22910,0,2645
494,0,0,0,22910,0,2645
495,0,0,0,22910,0,2645
496,0,0,0,22910,0,2645
497,0,0,0,22910,0,2645
498,0,0,0,22910,0,2645
499,0,0,0,22910,0,2645
500,0,0,0,22910,0,2645
501,0,0,0,22910,0,2645
502,0,0,0,22910,0,2645
503,0,0,0,22910,0,2645
504,0,0,0,22910,0,2645
505,0,0,0,22910,0,2645
506,0,0,0,22910,0,2645
507,0,0,0,22910,0,2645
508,0,0,0,22910,0,2645
509,0,0,0,22910,0,2645
510,0,0,0,22910,0,2645
511,0,0,0,22910,0,2645
512,0,0,0,22910,0,2645
513,0,0,0,22910,0,2645
514,0,0,0,22910,0,2645
515,0,0,0,22910,0,2645
516,0,0,0,22910,0,2645
517,0,0,0,22910,0,2645
518,0,0,0,22910,0,2645
519,0,0,0,22910,0,2645
520,0,0,0,22910,0,2645
521,0,0,0,22910,0,2645
522,0,0,0,22910,0,2645
523,0,0,0,22910,0,2645
524,0,0,0,22910,0,2645
525,0,0,0,22910,0,2645
526,0,0,0,22910,0,2645
527,0,0,0,22910,0,2645
528,0,0,0,22910,0,2645
529,0,0,0,22910,0,2645
530,0,0,0,22910,0,2645
531,0,0,0,22910,0,2645
532,0,0,0,22910,0,2645
533,0,0,0,22910,0,2645
534,0,0,0,22910,0,2645
535,0,0,0,22910,0,2645
536,0,0,0,22910,0,2645
537,0,0,0,22910,0,2645
538,0,0,0,22910,0,2645
539,0,0,0,22910,0,2645
540,0,0,0,22910,0,2645
541,0,0,0,22910,0,2645
