Time,normal_interactions,curtailed_interactions
160.5,770929,770929
160.75,770996,770996
161,771062,771062
161.25,771093,771093
161.5,771170,771170
161.75,771225,771225
162,771277,771277
162.25,771311,771311
162.5,771352,771352
162.75,771402,771402
163,771444,771444
163.25,771490,771490
163.5,771559,771559
163.75,771590,771590
164,771633,771633
164.25,771666,771666
164.5,771701,771701
164.75,771740,771740
165,771768,771768
165.25,771814,771814
165.5,771836,771836
165.75,771871,771871
166,771923,771923
166.25,771953,771953
166.5,772003,772003
166.75,772039,772039
167,772054,772054
167.25,772086,772086
167.5,772109,772109
167.75,772166,772166
168,772217,772217
168.25,772250,772250
168.5,772277,772277
168.75,772310,772310
169,772353,772353
169.25,772374,772374
169.5,772415,772415
169.75,772445,772445
170,772501,772501
170.25,772517,772517
170.5,772544,772544
170.75,772573,772573
171,772597,772597
171.25,772624,772624
171.5,772632,772632
171.75,772645,772645
172,772676,772676
172.25,772721,772721
172.5,772738,772738
172.75,772785,772785
173,772810,772810
173.25,772825,772825
173.5,772856,772856
173.75,772871,772871
174,772885,772885
174.25,772918,772918
174.5,772945,772945
174.75,772954,772954
175,772965,772965
175.25,772974,772974
175.5,773000,773000
175.75,773010,773010
176,773042,773042
176.25,773058,773058
176.5,773071,773071
176.75,773089,773089
177,773108,773108
177.25,773127,773127
177.5,773133,773133
177.75,773154,773154
178,773167,773167
178.25,773180,773180
178.5,773189,773189
178.75,773190,773190
179,773193,773193
179.25,773208,773208
179.5,773227,773227
179.75,773246,773246
180,773270,773270
180.25,773286,773286
180.5,773297,773297
180.75,773310,773310
181,773335,773335
181.25,773344,773344
181.5,773361,773361
181.75,773372,773372
182,773385,773385
182.25,773387,773387
182.5,773403,773403
182.75,773414,773414
183,773422,773422
183.25,773432,773432
183.5,773451,773451
183.75,773454,773454
184,773463,773463
184.25,773480,773480
184.5,773491,773491
184.75,773508,773508
185,773523,773523
185.25,773543,773543
185.5,773542,773542
185.75,773550,773550
186,773559,773559
186.25,773571,773571
186.5,773581,773581
186.75,773582,773582
187,773594,773594
187.25,773608,773608
187.5,773620,773620
187.75,773624,773624
188,773624,773624
188.25,773626,773626
188.5,773637,773637
188.75,773650,773650
189,773653,773653
189.25,773659,773659
189.5,773659,773659
189.75,773666,773666
190,773663,773663
190.25,773675,773675
190.5,773679,773679
190.75,773690,773690
191,773699,773699
191.25,773705,773705
191.5,773711,773711
191.75,773716,773716
192,773722,773722
192.25,773732,773732
192.5,773744,773744
192.75,773743,773743
193,773753,773753
193.25,773759,773759
193.5,773770,773770
193.75,773776,773776
194,773778,773778
194.25,773786,773786
194.5,773793,773793
194.75,773802,773802
195,773804,773804
195.25,773814,773814
195.5,773812,773812
195.75,773808,773808
196,773819,773819
196.25,773818,773818
196.5,773822,773822
196.75,773832,773832
197,773838,773838
197.25,773842,773842
197.5,773850,773850
