Time,infections_by_new_infectives
121.5,5160.7
121.75,5475.34
122,5032.84
122.25,5045.24
122.5,4745.09
122.75,4699.27
123,5020.95
123.25,5079.03
123.5,4857.72
123.75,4320.68
124,4417.68
124.25,4271.03
124.5,4369.69
124.75,4121.08
125,4202.46
125.25,3960.64
125.5,4132.49
125.75,4048.86
126,3945.67
126.25,3778.61
126.5,3522.17
126.75,3630.17
127,3574.29
127.25,3609.54
127.5,3298.85
127.75,3491.2
128,3339.02
128.25,3311.94
128.5,3486.36
128.75,3099.72
129,2982.38
129.25,2908.62
129.5,2992.93
129.75,2740.3
130,2864.44
130.25,2799.53
130.5,2736.43
130.75,2804.61
131,2644.72
131.25,2713.28
131.5,2506.82
131.75,2142.19
132,2514.59
132.25,2410.15
132.5,2339.58
132.75,2272.48
133,2224.72
133.25,2299.8
133.5,2076.63
133.75,2163.66
134,2194.49
134.25,2200.69
134.5,1919.34
134.75,1871.45
135,1991.25
135.25,1961.91
135.5,1942.01
135.75,1670.69
136,1875.85
136.25,1774.2
136.5,1864.8
136.75,1563.01
137,1849.98
137.25,1613.61
137.5,1567.31
137.75,1574.18
138,1558.12
138.25,1572.03
138.5,1498.76
138.75,1456.63
139,1411.2
139.25,1377.89
139.5,1287.45
139.75,1349.09
140,1282.67
140.25,1262.44
140.5,1333.02
140.75,1265.5
141,1085.04
141.25,1264.89
141.5,1079.33
141.75,1104.44
142,1071.82
142.25,1082.08
142.5,1061.38
142.75,968.395
143,1015.7
143.25,881.043
143.5,1086.38
143.75,935.889
144,916.327
144.25,985.859
144.5,979.417
144.75,869.817
145,858.539
145.25,952.008
145.5,956.163
145.75,900.056
146,894.216
146.25,893.946
146.5,691.163
146.75,708.263
147,704.053
147.25,790.509
147.5,758.723
147.75,783.364
148,774.861
148.25,752.056
148.5,812.24
148.75,743.759
149,683.3
149.25,716.558
149.5,598.246
149.75,632.024
150,624.022
150.25,515.364
150.5,562.776
150.75,655.095
151,575.177
151.25,490.196
151.5,540.991
151.75,593.807
152,507.646
152.25,547.423
152.5,581.763
152.75,471.707
153,507.923
153.25,543.026
153.5,392.502
153.75,398.896
154,349.998
154.25,400.666
154.5,403.798
154.75,425.923
155,375.839
155.25,389.045
155.5,404.257
155.75,434.711
156,353.097
156.25,388.71
156.5,352.459
156.75,309.955
157,370.351
157.25,356.541
157.5,305.998
157.75,412.219
158,376.954
158.25,306.321
158.5,305.979
158.75,309.955
159,287.607
159.25,287.732
159.5,340.724
159.75,310.599
160,323.269
160.25,313.854
160.5,252.169
160.75,259.865
161,270.072
161.25,290.818
161.5,263.67
161.75,199.479
162,227.718
162.25,233.791
162.5,280.58
162.75,231.375
163,187.473
163.25,243.195
163.5,191.106
163.75,240.304
164,238.41
164.25,166.33
164.5,185.166
164.75,178.741
165,238.755
165.25,168.552
165.5,190.91
165.75,228.093
166,163.033
166.25,219.379
166.5,202.549
166.75,168.321
167,192.728
167.25,180.729
167.5,192.618
167.75,162.947
168,128.312
168.25,173.092
168.5,139.533
168.75,122.434
169,103.148
169.25,154.418
169.5,129.541
169.75,130.848
170,77.8318
170.25,118.06
170.5,111.215
170.75,126.708
171,146.299
171.25,134.227
171.5,144.291
171.75,144.147
172,134.171
172.25,64.7749
172.5,98.3387
172.75,91.5634
173,83.3125
173.25,67.4385
173.5,70.4353
173.75,96.2295
174,118.041
174.25,92.6177
174.5,97.8769
174.75,96.4748
175,109.563
175.25,103.273
175.5,93.975
175.75,104.994
176,99.7722
176.25,78.3663
176.5,100.851
176.75,96.7302
177,94.1949
177.25,96.226
177.5,91.2842
177.75,72.0945
178,67.9078
178.25,110.843
178.5,79.6566
178.75,101.4
179,104.078
179.25,54.8119
179.5,66.4373
179.75,66.5463
180,65.8609
180.25,67.8194
180.5,33.7205
180.75,37.2305
181,46.1559
181.25,64.4499
181.5,49.288
181.75,68.2029
182,49.6737
182.25,82.4457
182.5,59.5068
182.75,62.7227
183,54.5977
183.25,37.4561
183.5,44.6314
183.75,63.9841
184,61.5801
184.25,33.7536
184.5,63.9135
184.75,27.0974
185,40.0943
185.25,23.0887
185.5,51.7291
185.75,33.4329
186,30.9208
186.25,46.2548
186.5,87.0602
186.75,39.4262
187,30.3278
187.25,41.3688
187.5,38.2743
187.75,25.2523
188,34.9186
188.25,40.171
188.5,23.6489
188.75,11.7656
189,32.746
189.25,26.9653
189.5,28.9027
189.75,45.8218
190,51.3505
190.25,25.8853
190.5,36.5679
190.75,22.0729
191,11.9235
191.25,42.3697
191.5,34.6488
191.75,16.0863
192,27.9986
192.25,22.2703
192.5,17.4723
192.75,33.023
193,22.9791
193.25,17.9803
193.5,26.3031
193.75,21.0201
194,14.5551
194.25,21.0163
194.5,15.3438
194.75,5.86702
195,21.2325
195.25,16.2118
195.5,41.7166
195.75,27.2384
196,7.41535
196.25,19.7685
196.5,7.52027
196.75,13.3556
197,6.52936
197.25,17.1426
197.5,22.9948
197.75,13.4153
198,15.4796
198.25,11.1245
198.5,6.02987
198.75,25.91
199,10.3997
199.25,8.87989
199.5,28.3235
199.75,12.5384
200,2.159
200.25,9.22682
200.5,16.9959
200.75,30.9267
201,6.92881
201.25,15.9426
201.5,17.2544
201.75,17.0164
202,3.93106
202.25,6.76235
202.5,5.57702
202.75,4.35286
203,8.3254
203.25,1.17422
203.5,8.38404
203.75,6.38488
204,8.60269
204.25,9.36589
204.5,11.4838
204.75,3.16004
205,20.4215
205.25,12.1688
205.5,6.28235
205.75,9.80783
206,0.0704959
206.25,4.35959
206.5,11.2405
206.75,3.49247
207,5.9569
207.25,2.54535
207.5,6.66565
207.75,8.55576
208,0.147175
208.25,5.34474
208.5,3.72346
208.75,3.30466
209,2.94766
209.25,2.32106
209.5,8.99995
209.75,4.24082
210,10.3939
210.25,7.63784
210.5,7.83011
210.75,8.54348
211,14.8039
211.25,5.33352
211.5,7.44332
211.75,12.6623
212,0
212.25,10.1784
212.5,11.367
212.75,14.9193
213,4.78117
213.25,2.37947
213.5,0.934401
213.75,12.4399
214,1.87328
214.25,5.91112
214.5,6.12854
214.75,0.504295
215,12.0866
215.25,3.18747
215.5,1.19882
215.75,0
216,1.88139
216.25,6.02185
216.5,2.86023
216.75,0.11308
217,5.57492
217.25,3.85909
217.5,1.35205
217.75,0.932916
218,5.90245
218.25,4.72908
218.5,2.00798
218.75,2.68922
219,0.877064
219.25,0
219.5,0
219.75,2.44033
220,4.89281
220.25,0
220.5,3.77935
220.75,0
221,1.26874
221.25,4.38465
221.5,1.24345
221.75,0.169454
222,1.03736
222.25,7.55358
222.5,0
222.75,0.386314
223,0
223.25,0
223.5,0
223.75,3.54934
224,0
224.25,0
224.5,0
224.75,0.385512
225,1.21985
225.25,4.62332
225.5,0
225.75,0
226,0.650318
226.25,0
226.5,0
226.75,0.858829
227,11.7251
227.25,0.324797
227.5,1.65922
227.75,0
228,0
228.25,8.07798
228.5,0
