Time,mean_fraction_lambda_C
59,0.12214
59.25,0.157929
59.5,0.166425
59.75,0.146137
60,0.0679887
60.25,0.158763
60.5,0.152439
60.75,0.0839296
61,0.0989354
61.25,0.0850611
61.5,0.0718062
61.75,0.15399
62,0.143916
62.25,0.114917
62.5,0.0840002
62.75,0.128694
63,0.126706
63.25,0.0639238
63.5,0.132063
63.75,0.148551
64,0.0946883
64.25,0.071758
64.5,0.126715
64.75,0.134369
65,0.110133
65.25,0.109364
65.5,0.173816
65.75,0.123651
66,0.192248
66.25,0.155855
66.5,0.175265
66.75,0.0947392
67,0.0843759
67.25,0.116916
67.5,0.0998505
67.75,0.10854
68,0.146262
68.25,0.132035
68.5,0.13505
68.75,0.166886
69,0.12966
69.25,0.149725
69.5,0.148382
69.75,0.157566
70,0.126196
70.25,0.183766
70.5,0.108271
70.75,0.173608
71,0.0771573
71.25,0.0935914
71.5,0.18042
71.75,0.0903171
72,0.0911904
72.25,0.0900526
72.5,0.0888007
72.75,0.125245
73,0.185328
73.25,0.184953
73.5,0.11708
73.75,0.0876974
74,0.13111
74.25,0.124311
74.5,0.134864
74.75,0.0636776
75,0.13881
75.25,0.141448
75.5,0.125858
75.75,0.153049
76,0.107141
76.25,0.0677264
76.5,0.110364
76.75,0.112633
77,0.0838985
77.25,0.129258
77.5,0.112317
77.75,0.0758145
78,0.120552
78.25,0.0721786
78.5,0.110774
78.75,0.141577
79,0.109904
79.25,0.154618
79.5,0.0745014
79.75,0.0442651
80,0.0628731
80.25,0.0855694
80.5,0.145087
80.75,0.116716
81,0.148968
81.25,0.174199
81.5,0.106343
81.75,0.17405
82,0.159946
82.25,0.133087
82.5,0.150797
82.75,0.203718
83,0.123491
83.25,0.162646
83.5,0.209492
83.75,0.110448
84,0.154908
84.25,0.09775
84.5,0.0628409
84.75,0.0691577
85,0.131951
85.25,0.135453
85.5,0.164764
85.75,0.0489779
86,0.117634
86.25,0.205509
86.5,0.165506
86.75,0.0986804
87,0.125587
87.25,0.0749615
87.5,0.0939518
87.75,0.209764
88,0.110966
88.25,0.0737244
88.5,0.156692
88.75,0.164167
89,0.0745737
89.25,0.129019
89.5,0.113262
89.75,0.088715
90,0.0962054
90.25,0.146227
90.5,0.0929481
90.75,0.120421
91,0.18485
91.25,0.0641806
91.5,0.18322
91.75,0.135588
92,0.0618321
92.25,0.187415
92.5,0.145328
92.75,0.133929
93,0.171468
93.25,0.103255
93.5,0.106045
93.75,0.106106
94,0.224294
94.25,0.137727
94.5,0.184074
94.75,0.127567
95,0.100668
95.25,0.178251
95.5,0.205892
95.75,0.160399
96,0.128887
96.25,0.102735
96.5,0.126072
96.75,0.144577
97,0.151363
97.25,0.10449
97.5,0.111022
97.75,0.10276
98,0.140956
98.25,0.111526
98.5,0.132218
98.75,0.111438
99,0.108903
99.25,0.110472
99.5,0.198593
99.75,0.252284
100,0.125799
100.25,0.0544214
100.5,0.144077
100.75,0.143108
101,0.209481
101.25,0.15808
101.5,0.188957
101.75,0.135637
102,0.193233
102.25,0.0790832
102.5,0.15633
102.75,0.218043
103,0.215529
103.25,0.0529061
103.5,0.162679
103.75,0.118376
104,0.12804
104.25,0.166161
104.5,0.181613
104.75,0.161115
105,0.161409
105.25,0.121443
105.5,0.150279
105.75,0.0786028
106,0.155505
106.25,0.0692059
106.5,0.0957292
106.75,0.0759968
107,0.105044
107.25,0.064196
107.5,0.203232
107.75,0.113096
108,0.102593
108.25,0.0761213
108.5,0.0894314
108.75,0.143028
109,0.118479
109.25,0.0388628
109.5,0.111518
109.75,0.0948684
110,0.168636
110.25,0.216166
110.5,0.166733
110.75,0.198102
111,0.122726
111.25,0.109993
111.5,0.124791
111.75,0.109738
112,0.136929
112.25,0.132173
112.5,0.14689
112.75,0.192585
113,0.0685582
113.25,0.109273
113.5,0.230844
113.75,0.0825951
114,0.186874
114.25,0.0965405
114.5,0.135313
114.75,0.173382
115,0.113168
115.25,0.178565
115.5,0.0763927
115.75,0.0740972
116,0.123532
116.25,0.0889297
116.5,0.162439
116.75,0.16987
117,0.105577
117.25,0.132275
117.5,0.113735
117.75,0.105641
118,0.116346
118.25,0.102095
118.5,0.0777003
118.75,0.0693206
119,0.104524
119.25,0.0943143
119.5,0.0972989
119.75,0.141044
120,0.176228
120.25,0.144714
120.5,0.119908
120.75,0.0941485
121,0.192851
121.25,0.110347
121.5,0.0972875
121.75,0.142904
122,0.126087
122.25,0.0858349
122.5,0.1468
122.75,0.118336
123,0.0927766
123.25,0.112501
123.5,0.118512
123.75,0.158181
124,0.110361
124.25,0.0817742
124.5,0.0601467
124.75,0.126642
125,0.152453
125.25,0.0726891
125.5,0.12623
125.75,0.0609024
126,0.148428
126.25,0.167551
126.5,0.085951
126.75,0.142629
127,0.148913
127.25,0.135645
127.5,0.183037
127.75,0.117188
128,0.0925207
128.25,0.141642
128.5,0.0841946
128.75,0.166181
129,0.0976078
129.25,0.151067
129.5,0.0541758
129.75,0.112731
130,0.1799
130.25,0.2007
130.5,0.142631
130.75,0.138947
131,0.225261
131.25,0.158886
131.5,0.16032
131.75,0.0358472
132,0.0941035
132.25,0.150579
132.5,0.127823
132.75,0.139422
133,0.0884706
133.25,0.12018
133.5,0.142439
133.75,0.0518701
134,0.188948
134.25,0.135155
134.5,0.190469
134.75,0.126841
135,0.197773
135.25,0.0766902
135.5,0.0955497
135.75,0.122179
136,0.148208
136.25,0.104282
136.5,0.130525
136.75,0.156619
137,0.119931
137.25,0.0607346
137.5,0.119831
137.75,0.127848
138,0.0567237
138.25,0.146976
138.5,0.14852
138.75,0.04741
139,0.118506
139.25,0.0902147
139.5,0.127853
139.75,0.0904058
140,0.0754531
140.25,0.153088
140.5,0.10706
140.75,0.0966856
141,0.178421
141.25,0.141537
141.5,0.0794584
141.75,0.0416679
142,0.170961
142.25,0.121481
142.5,0.0811167
142.75,0.107207
143,0.0973934
143.25,0.0820605
143.5,0.110886
143.75,0.105488
144,0.0676176
144.25,0.082748
144.5,0.086897
144.75,0.0956364
145,0.0947124
145.25,0.143995
145.5,0.102986
145.75,0.15044
146,0.148908
146.25,0.100567
146.5,0.0898784
146.75,0.175538
147,0.12192
147.25,0.206642
147.5,0.12938
147.75,0.0856222
148,0.097565
148.25,0.12298
148.5,0.137321
148.75,0.144159
149,0.121107
149.25,0.0501308
149.5,0.125456
149.75,0.0748004
150,0.135969
150.25,0.164598
150.5,0.147114
150.75,0.161064
151,0.134264
151.25,0.10618
151.5,0.0677521
151.75,0.125278
152,0.0885468
152.25,0.138465
152.5,0.137305
152.75,0.167976
153,0.15274
153.25,0.155317
153.5,0.1764
153.75,0.107935
154,0.0563184
154.25,0.0784484
154.5,0.100732
154.75,0.0914218
155,0.124602
155.25,0.0970736
155.5,0.059366
155.75,0.120846
156,0.124597
156.25,0.191858
156.5,0.185946
156.75,0.155616
157,0.163795
157.25,0.109589
157.5,0.08213
157.75,0.0865685
158,0.0968167
158.25,0.115872
158.5,0.163557
158.75,0.0749207
159,0.182416
159.25,0.104829
159.5,0.103485
159.75,0.0807807
160,0.110916
160.25,0.142402
160.5,0.168008
160.75,0.0903773
161,0.08995
161.25,0.0984247
161.5,0.111903
161.75,0.173835
162,0.136242
162.25,0.0997274
162.5,0.128036
162.75,0.123891
163,0.101551
163.25,0.0880851
163.5,0.128116
163.75,0.093011
164,0.0484016
164.25,0.0742395
164.5,0.0646889
164.75,0.0702201
165,0.104261
165.25,0.161006
165.5,0.100355
165.75,0.102241
166,0.126443
166.25,0.0721269
166.5,0.093536
166.75,0.0722817
167,0.146183
167.25,0.19247
167.5,0.131739
167.75,0.188983
168,0.168184
168.25,0.152914
168.5,0.160991
168.75,0.0979013
169,0.177532
169.25,0.102469
169.5,0.0820613
169.75,0.0760492
170,0.173236
170.25,0.113111
170.5,0.101184
170.75,0.123162
171,0.117868
171.25,0.127984
171.5,0.0842889
171.75,0.128597
172,0.0816048
172.25,0.0957082
172.5,0.0959164
172.75,0.16701
173,0.131099
173.25,0.0807276
173.5,0.0747484
173.75,0.109276
174,0.0665189
174.25,0.247818
174.5,0.0615941
174.75,0.0704691
175,0.124421
175.25,0.158617
175.5,0.112681
175.75,0.109303
176,0.133179
176.25,0.0889961
176.5,0.0783081
176.75,0.107884
177,0.109668
177.25,0.100075
177.5,0.123266
177.75,0.110793
178,0.123087
178.25,0.1713
178.5,0.158805
178.75,0.175199
179,0.174113
179.25,0.0844291
179.5,0.149433
179.75,0.102537
180,0.0635532
180.25,0.170722
180.5,0.0743682
180.75,0.174695
181,0.114665
181.25,0.0948708
181.5,0.0756028
181.75,0.124357
182,0.148921
182.25,0.101225
182.5,0.121018
182.75,0.114507
183,0.0699239
183.25,0.121834
183.5,0.0727759
183.75,0.150187
184,0.131837
184.25,0.11497
184.5,0.106125
184.75,0.106449
185,0.1135
185.25,0.0931839
185.5,0.0897248
185.75,0.0891794
186,0.156425
186.25,0.163812
186.5,0.100329
186.75,0.180866
187,0.122979
187.25,0.107757
187.5,0.126244
187.75,0.050777
188,0.0994503
188.25,0.143141
188.5,0.1173
188.75,0.11337
189,0.0970129
189.25,0.0977877
189.5,0.163759
189.75,0.171019
190,0.171402
190.25,0.117125
190.5,0.155519
190.75,0.0625816
191,0.152833
191.25,0.11585
191.5,0.11436
191.75,0.140841
192,0.0998533
192.25,0.133403
192.5,0.125783
192.75,0.121121
193,0.0996267
193.25,0.13925
193.5,0.091977
193.75,0.165416
194,0.0333685
194.25,0.0894518
194.5,0.149318
194.75,0.144158
195,0.174406
195.25,0.163496
195.5,0.138439
195.75,0.0772513
196,0.0716688
196.25,0.0869768
196.5,0.0959893
196.75,0.0852144
197,0.0904218
197.25,0.092672
197.5,0.125776
197.75,0.139696
198,0.150086
198.25,0.0735597
198.5,0.146724
198.75,0.123016
199,0.121982
199.25,0.13069
199.5,0.145357
199.75,0.100217
200,0.06186
200.25,0.110972
200.5,0.0510841
200.75,0.126627
201,0.1496
201.25,0.0686752
201.5,0.0955339
201.75,0.124361
202,0.155672
202.25,0.125213
202.5,0.0968428
202.75,0.0347493
203,0.0942398
203.25,0.0772306
203.5,0.0953823
203.75,0.089063
204,0.124528
204.25,0.15855
204.5,0.100902
204.75,0.105078
205,0.105279
205.25,0.0901259
205.5,0.100198
205.75,0.128773
206,0.102486
206.25,0.108408
206.5,0.140654
206.75,0.103286
207,0.112207
207.25,0.137607
207.5,0.119507
207.75,0.078072
208,0.0417305
208.25,0.079007
208.5,0.103941
208.75,0.0765768
209,0.0921916
209.25,0.0631051
209.5,0.120253
209.75,0.12415
210,0.126322
210.25,0.0842904
210.5,0.0521145
210.75,0.105577
211,0.106063
211.25,0.0836664
211.5,0.127102
211.75,0.122903
212,0.136741
212.25,0.136569
212.5,0.165621
212.75,0.137927
213,0.166187
213.25,0.196832
213.5,0.121831
213.75,0.158188
214,0.10663
214.25,0.078937
214.5,0.236912
214.75,0.125502
215,0.0622006
215.25,0.0818018
215.5,0.181645
215.75,0.148623
216,0.108415
216.25,0.0610966
216.5,0.209964
216.75,0.160879
217,0.0784044
217.25,0.0843758
217.5,0.132229
217.75,0.175098
218,0.123108
218.25,0.0815971
218.5,0.0980822
218.75,0.102692
219,0.0771075
219.25,0.112707
219.5,0.12463
219.75,0.0781432
220,0.104925
220.25,0.0763059
220.5,0.096645
220.75,0.135748
221,0.130311
221.25,0.0791633
221.5,0.0959226
221.75,0.115015
222,0.104249
222.25,0.0775001
222.5,0.126242
222.75,0.119213
223,0.192869
223.25,0.05225
223.5,0.132534
223.75,0.0809198
224,0.111275
224.25,0.1096
224.5,0.15651
224.75,0.136789
225,0.0683764
225.25,0.0944812
225.5,0.120347
225.75,0.0578461
226,0.173245
226.25,0.124496
226.5,0.135346
226.75,0.114011
227,0.0724168
227.25,0.0356727
227.5,0.121109
227.75,0.19987
228,0.0652868
228.25,0.114062
228.5,0.0929023
228.75,0.0907728
229,0.0769076
229.25,0.13566
229.5,0.107292
229.75,0.143627
230,0.102255
230.25,0.0834262
230.5,0.168522
230.75,0.0919638
231,0.156353
231.25,0.146174
231.5,0.129261
231.75,0.180805
232,0.134084
232.25,0.136579
232.5,0.0641536
232.75,0.1621
233,0.131052
233.25,0.0241449
233.5,0.117999
233.75,0.155531
234,0.116374
234.25,0.18718
234.5,0.1143
234.75,0.130662
235,0.12969
235.25,0.116966
235.5,0.141861
235.75,0.0850754
236,0.132794
236.25,0.18307
236.5,0.176329
236.75,0.151921
237,0.139499
237.25,0.0826408
237.5,0.119257
237.75,0.148619
238,0.150144
238.25,0.0745933
238.5,0.108454
238.75,0.258186
239,0.137096
239.25,0.201989
239.5,0.221959
239.75,0.203594
240,0.14093
240.25,0.112477
240.5,0.0939422
240.75,0.0973559
241,0.0700645
241.25,0.0635925
241.5,0.128612
241.75,0.115369
242,0.145884
242.25,0.120912
242.5,0.179132
242.75,0.15379
243,0.154214
243.25,0.112486
243.5,0.106798
243.75,0.156616
244,0.077237
244.25,0.102408
244.5,0.109313
244.75,0.10861
245,0.16067
245.25,0.148784
245.5,0.121906
245.75,0.175063
246,0.172276
246.25,0.0929334
246.5,0.13176
246.75,0.118427
247,0.208025
247.25,0.117779
247.5,0.315365
247.75,0.129147
248,0.0905776
248.25,0.163241
248.5,0.15586
248.75,0.0625542
249,0.140825
249.25,0.184112
249.5,0.150762
249.75,0.133611
250,0.144679
250.25,0.0235427
250.5,0.135758
250.75,0.120384
251,0.151453
251.25,0.218093
251.5,0.102839
251.75,0.193027
252,0.136678
252.25,0.100889
252.5,0.112724
252.75,0.156256
253,0.12693
253.25,0.0898229
253.5,0.140722
253.75,0.117035
254,0.101802
254.25,0.143212
254.5,0.140693
254.75,0.101592
255,0.150861
255.25,0.135207
255.5,0.119498
255.75,0.113342
256,0.176607
256.25,0.13959
256.5,0.0690022
256.75,0.126306
257,0.138367
257.25,0.123338
257.5,0.119041
257.75,0.127095
258,0.137697
258.25,0.0397794
258.5,0.177804
258.75,0.0632388
259,0.0863099
259.25,0.136597
259.5,0.106047
259.75,0.0745474
260,0.0373996
260.25,0.123744
260.5,0.144651
260.75,0.164278
261,0.123076
261.25,0.116045
261.5,0.124907
261.75,0.173133
262,0.163089
262.25,0.0783595
262.5,0.135626
262.75,0.13296
263,0.149445
263.25,0.222102
263.5,0.148969
263.75,0.1429
264,0.0781226
264.25,0.139238
264.5,0.205023
264.75,0.139634
265,0.113591
265.25,0.117135
265.5,0.119697
265.75,0.0535886
266,0.0870381
266.25,0.0275688
266.5,0.143261
266.75,0.152165
267,0.145923
267.25,0.128983
267.5,0.0511854
267.75,0.0479488
268,0.146227
268.25,0.154592
268.5,0.113461
268.75,0.0349896
269,0.126758
269.25,0.0808654
269.5,0.146241
269.75,0.105858
270,0.11842
270.25,0.169181
270.5,0.0923987
270.75,0.0834013
271,0.0894165
271.25,0.0613883
271.5,0.0603221
271.75,0.176955
272,0.134771
272.25,0.123061
272.5,0.0817627
272.75,0.0791927
273,0.188685
273.25,0.101322
273.5,0.099224
273.75,0.192353
274,0.182964
274.25,0.104704
274.5,0.0477546
274.75,0.112506
275,0.149373
275.25,0.189539
275.5,0.287724
275.75,0.0892653
276,0.0820222
276.25,0.122102
276.5,0.117543
276.75,0.111329
277,0.1325
277.25,0.143914
277.5,0.157617
277.75,0.12523
278,0.0648099
278.25,0.110115
278.5,0.130877
278.75,0.144975
279,0.190032
279.25,0.144528
279.5,0.0871554
279.75,0.0760731
280,0.106106
280.25,0.101428
280.5,0.152933
280.75,0.0845668
281,0.162046
281.25,0.155551
281.5,0.157396
281.75,0.110635
282,0.122189
282.25,0.00355228
282.5,0.146262
282.75,0.0326236
283,0.16853
283.25,0.0562842
283.5,0.0780836
283.75,0.10449
284,0.0849718
284.25,0.148908
284.5,0.0497427
284.75,0.0786311
285,0.0734736
285.25,0.181189
285.5,0.073146
285.75,0.0820317
286,0.0907013
286.25,0.0908003
286.5,0.0934807
286.75,0.126669
287,0.0811022
287.25,0.0684611
287.5,0.0625541
287.75,0.176758
288,0.101723
288.25,0.113313
288.5,0.153315
288.75,0.27947
289,0.0949832
289.25,0.0797915
289.5,0.0840486
289.75,0.0866778
290,0.110216
290.25,0.118307
290.5,0.0850913
290.75,0.0885856
291,0.232971
291.25,0.0925979
291.5,0.0799546
291.75,0.00881555
292,0.059541
292.25,0.122519
292.5,0.119103
292.75,0.036504
293,0.0883735
293.25,0.0640715
293.5,0.0910848
293.75,0.117132
294,0.0500485
294.25,0.0566153
294.5,0.115148
294.75,0.113113
295,0.156923
295.25,0.208455
295.5,0.0881151
295.75,0.229364
296,0.102176
296.25,0.0388574
296.5,0.0540749
296.75,0.11209
297,0.0673676
297.25,0.223139
297.5,0.0896128
297.75,0.0855548
298,0.123973
298.25,0.0982119
298.5,0.110367
298.75,0.181707
299,0.173519
299.25,0.239634
299.5,0.22038
299.75,0.135769
300,0.187481
300.25,0.125962
300.5,0.136583
300.75,0.0444294
301,0.185861
301.25,0.0527766
301.5,0.138303
301.75,0.131833
302,0.124735
302.25,0.168372
302.5,0.174696
302.75,0.113782
303,0.00452399
303.25,0.108596
303.5,0.108215
303.75,0.127009
304,0.115874
304.25,0.207114
304.5,0.23198
304.75,0.126021
305,0.154617
305.25,0.122803
305.5,0.0800567
305.75,0.0917641
306,0.114123
306.25,0.0490734
306.5,0.141244
306.75,0.0541062
307,0.204009
307.25,0.128421
307.5,0.0599934
307.75,0.0332398
308,0.0800394
308.25,0.00312372
308.5,0.102986
308.75,0.0312372
309,0.106473
309.25,0.00149422
309.5,0.106453
309.75,0.069654
310,0.0375823
310.25,0.106951
310.5,0.181406
310.75,0.0802526
311,0.126
311.25,0.00148375
311.5,0.264479
311.75,0.211671
312,0.037812
312.25,0.134713
312.5,0.0668079
312.75,0.0660824
313,0.0337235
313.25,0.0945998
313.5,0.107942
313.75,0.0673712
314,0.0559327
314.25,0.137971
314.5,0.015473
314.75,0.118046
315,0.101163
315.25,0.144512
315.5,0.0766017
315.75,0.0679719
316,0.0838758
316.25,0.120397
316.5,0.188685
316.75,0.158873
317,0.188657
317.25,0.118564
317.5,0.0986377
317.75,0.109413
318,0.117303
318.25,0.111986
318.5,0.162298
318.75,0.196957
319,0.128879
319.25,0.150991
319.5,0.144235
319.75,0.0336415
320,0.121822
320.25,0.150832
320.5,0.0395149
320.75,0.14977
321,0.148988
321.25,0.242771
321.5,0.00135095
321.75,0.101234
322,0.0833895
322.25,0.0860787
322.5,0.0709404
322.75,0.0943722
323,0.00218511
323.25,0.0506085
323.5,0.192597
323.75,0.0357489
324,0.228622
324.25,0.0814414
324.5,0.0916777
324.75,0.242269
325,0.209121
325.25,0.17401
325.5,0.143656
325.75,0.156793
326,0.161857
326.25,0.234004
326.5,0.124773
326.75,0.25992
327,0.092074
327.25,0.061402
327.5,0.120448
327.75,0.16828
328,0.105217
328.25,0.0346826
328.5,0.144817
328.75,0.0739779
329,0.132809
329.25,0.155317
329.5,0.0993686
329.75,0.16224
330,0.14673
330.25,0.101474
330.5,0.00431557
330.75,0.0830177
331,0.0497279
331.25,0.149065
331.5,0.212161
331.75,0.0836657
332,0.0874921
332.25,0.0488298
332.5,0.11633
332.75,0.149928
333,0.127495
333.25,0.084758
333.5,0.0059599
333.75,0.120672
334,0.0830552
334.25,0.0416742
334.5,0.132107
334.75,0.12539
335,0.178982
335.25,0.201529
335.5,0.120641
335.75,0.178687
336,0.0660537
336.25,0.224602
336.5,0.114151
336.75,0.19147
337,0.131327
337.25,0.090403
337.5,0.213157
337.75,0.245544
338,0.0677617
338.25,0.106371
338.5,0.040738
338.75,0.0659332
339,0.0911564
339.25,0.210912
339.5,0.107395
339.75,0.0654498
340,0.150333
340.25,0.0937024
340.5,0.252331
340.75,0.278936
341,0.143673
341.25,0.0598493
341.5,0.27821
341.75,0.0042396
342,0.104241
342.25,0.130681
342.5,0.235957
342.75,0.0468725
343,0.238697
343.25,0.264214
343.5,0.00109915
343.75,0.159951
344,0.203512
344.25,0.154156
344.5,0.0130537
344.75,0.0976237
345,0.0808304
345.25,0.129356
345.5,0.106228
345.75,0.0860367
346,0.00346908
346.25,0.267997
346.5,0.200667
346.75,0.00147469
347,0.168764
347.25,0.294447
347.5,0.0638538
347.75,0.0845203
348,0.116622
348.25,0.0846555
348.5,0.305726
348.75,0.000939956
349,0.138707
349.25,0.141807
349.5,0.19281
349.75,0.138266
350,0.106223
350.25,0.13255
350.5,0.102986
350.75,0.0429217
351,0.0028473
351.25,0.0385033
351.5,0.183037
351.75,0.106492
352,0.149605
352.25,0.208659
352.5,0.0839502
352.75,0.121081
353,0.156149
353.25,0.133953
353.5,0.073996
353.75,0.110989
354,0.160933
354.25,0.337029
354.5,0.0657272
354.75,0.048041
355,0.148969
355.25,0.294683
355.5,0.250695
355.75,0.00447114
356,0.091388
356.25,0.0799712
356.5,0.161141
356.75,0.00128514
357,0.107491
357.25,0.120814
357.5,0.0981707
357.75,0.0564261
358,0.122236
358.25,0.206341
358.5,0.065487
358.75,0.212925
359,0.0397453
359.25,0.000917925
359.5,0.223696
359.75,0.0890334
360,0.264227
360.25,0.23931
360.5,0.00120251
360.75,0.0575672
361,0.150792
361.25,0.0889691
361.5,0.00257237
361.75,0.178157
362,0.317969
362.25,0.302155
362.5,0.0706611
362.75,0.107436
363,0.148523
363.25,0.113495
363.5,0.0918527
363.75,0.142527
364,0.220316
364.25,0.202134
364.5,0.203009
364.75,0.154437
365,0.080429
365.25,0.00311661
365.5,0.200956
365.75,0.0468913
366,0.147851
366.25,0.206995
366.5,0.00341535
366.75,0.115328
367,0.0578705
367.25,0.00485513
367.5,0.0800492
367.75,0.115304
368,0.000771879
368.25,0.00982657
368.5,0.0788725
368.75,0.297543
369,0.145966
369.25,0.0781926
369.5,0.236359
369.75,0.167203
370,0.111992
370.25,0.0583255
370.5,0.0772046
370.75,0.275251
371,0.189695
371.25,0.118968
371.5,0.0600604
371.75,0.00357457
372,0.132429
372.25,0.0952846
372.5,0.126262
372.75,0.00386453
373,0.154405
373.25,0.318806
373.5,0.20309
373.75,0.270978
374,0.101502
374.25,0.38107
374.5,0.215148
374.75,0.334224
375,0.169318
375.25,0.0939822
375.5,0.113344
375.75,0.264863
376,0.0639454
376.25,0.155359
376.5,0.127989
376.75,0.129447
377,0.000609257
377.25,0.232386
377.5,0.134409
377.75,0.000663725
378,0.0920542
378.25,0.105928
378.5,0.00134968
378.75,0.0665212
379,0.111779
379.25,0.00150423
379.5,0.00929629
379.75,0.251932
380,0.00753506
380.25,0.250796
380.5,0.00178828
380.75,0.00251516
381,0.250964
381.25,0.134386
381.5,0.0789968
381.75,0.213149
382,0.0561113
382.25,0.1122
382.5,0.301481
382.75,0.0615811
383,0.20151
383.25,0.252033
383.5,0.133858
383.75,0.0633413
384,0.000599352
384.25,0.000241847
384.5,0.0765584
384.75,0.107208
385,0.203467
385.25,0.101168
385.5,0.111366
385.75,0.0912945
386,0.00129287
386.25,0.000630802
386.5,0.00106355
386.75,0.201294
387,0.00582962
387.25,0.000267437
387.5,0.250924
387.75,0.143332
388,0.333804
388.25,0.0589546
388.5,0.143799
388.75,0.251132
389,0.0729992
389.25,0.154867
389.5,0.0124651
389.75,0.295203
390,0.000399971
390.25,0.335104
390.5,0.182194
390.75,0.00181733
391,0.0867192
391.25,0.166975
391.5,0.0914073
391.75,0.00124051
392,0.200082
392.25,0.100715
392.5,0.00337447
392.75,0.00411326
393,0.0843272
393.25,0.200732
393.5,0.00053429
393.75,0.000959384
394,0.223956
394.25,0.0702748
394.5,0.321107
394.75,0.0640977
395,0.0772983
395.25,0.0928462
395.5,0.0669659
395.75,0.300944
396,0.126217
