Time,mean_fraction_lambda_W
159.5,0.4351
159.75,0.331405
160,0.486767
160.25,0.49287
160.5,0.479222
160.75,0.436495
161,0.531385
161.25,0.4793
161.5,0.528479
161.75,0.415851
162,0.396436
162.25,0.471474
162.5,0.40162
162.75,0.470422
163,0.423226
163.25,0.487376
163.5,0.451666
163.75,0.400735
164,0.500218
164.25,0.485572
164.5,0.584588
164.75,0.538764
165,0.558324
165.25,0.442709
165.5,0.499931
165.75,0.606029
166,0.433915
166.25,0.534731
166.5,0.448849
166.75,0.493079
167,0.525197
167.25,0.341752
167.5,0.391434
167.75,0.441553
168,0.410991
168.25,0.435565
168.5,0.43913
168.75,0.553674
169,0.447633
169.25,0.569432
169.5,0.562093
169.75,0.485732
170,0.560279
170.25,0.558569
170.5,0.482657
170.75,0.419741
171,0.502058
171.25,0.503068
171.5,0.55224
171.75,0.543424
172,0.497969
172.25,0.546389
172.5,0.512424
172.75,0.482982
173,0.442489
173.25,0.519967
173.5,0.520878
173.75,0.486052
174,0.479406
174.25,0.468439
174.5,0.484025
174.75,0.559406
175,0.492746
175.25,0.407301
175.5,0.504678
175.75,0.492901
176,0.544096
176.25,0.59791
176.5,0.541623
176.75,0.474643
177,0.509481
177.25,0.502858
177.5,0.61236
177.75,0.591074
178,0.51071
178.25,0.504775
178.5,0.507944
178.75,0.53568
179,0.451072
179.25,0.525343
179.5,0.580085
179.75,0.622079
180,0.545584
180.25,0.454465
180.5,0.6052
180.75,0.440079
181,0.579544
181.25,0.535687
181.5,0.508445
181.75,0.465571
182,0.534571
182.25,0.529699
182.5,0.434725
182.75,0.524341
183,0.463966
183.25,0.570614
183.5,0.622955
183.75,0.577592
184,0.560675
184.25,0.561827
184.5,0.517103
184.75,0.55795
185,0.573362
185.25,0.573802
185.5,0.44061
185.75,0.5112
186,0.425857
186.25,0.550708
186.5,0.505277
186.75,0.465933
187,0.454208
187.25,0.584608
187.5,0.397747
187.75,0.516052
188,0.535133
188.25,0.570194
188.5,0.446792
188.75,0.367632
189,0.518537
189.25,0.526154
189.5,0.397333
189.75,0.438177
190,0.423387
190.25,0.535998
190.5,0.367097
190.75,0.562506
191,0.467994
191.25,0.329073
191.5,0.442246
191.75,0.51722
192,0.533194
192.25,0.4556
192.5,0.505968
192.75,0.554831
193,0.556961
193.25,0.482466
193.5,0.438732
193.75,0.461777
194,0.613149
194.25,0.524237
194.5,0.467113
194.75,0.570343
