Time,susceptible_lambda
163,335.633
163.25,325.298
163.5,308.996
163.75,305.565
164,300.144
164.25,290.464
164.5,280.053
164.75,280.778
165,281.191
165.25,250.199
165.5,263.156
165.75,255.28
166,263.287
166.25,297.76
166.5,289.507
166.75,295.515
167,275.477
167.25,293.153
167.5,252.559
167.75,241.33
168,274.36
168.25,263.448
168.5,265.985
168.75,265.495
169,279.426
169.25,294.453
169.5,299.102
169.75,302.039
170,334.754
170.25,329.47
170.5,325.492
170.75,313.18
171,297.588
171.25,317.945
171.5,305.778
171.75,302.864
172,313.818
172.25,293.445
172.5,303.918
172.75,317.387
173,350.198
173.25,345.791
173.5,334.498
173.75,356.177
174,318.681
174.25,314.255
174.5,317.365
174.75,340.124
175,346.474
175.25,335.532
175.5,353.545
175.75,332.264
176,320.24
176.25,334.776
176.5,318.747
176.75,318.946
177,283.913
177.25,283.54
177.5,277.236
177.75,275.374
178,270.427
178.25,302.982
178.5,323.131
178.75,334.492
179,321.153
179.25,322.904
179.5,345.909
179.75,328.332
180,346.586
180.25,344.394
180.5,370.612
180.75,346.377
181,365.167
181.25,333.668
181.5,347.536
181.75,314.851
182,307.796
182.25,332.029
182.5,351.717
182.75,343.398
183,342.229
183.25,364.175
183.5,332.157
183.75,324.342
184,358.465
184.25,324.82
184.5,309.608
184.75,324.227
185,305.055
185.25,316.174
185.5,326.558
185.75,297.251
186,312.562
186.25,305.389
186.5,311.408
186.75,289.294
187,269.352
187.25,308.708
187.5,299.606
187.75,306.051
188,320.523
188.25,323.092
188.5,324.487
188.75,347.148
189,334.667
189.25,317.811
189.5,356.477
189.75,341.277
190,314.339
190.25,305.035
190.5,282.785
190.75,270.682
191,276.546
191.25,315.981
191.5,313.883
191.75,313.534
192,317.428
192.25,287.614
192.5,322.282
192.75,304.799
193,334.181
193.25,331.614
193.5,323.872
193.75,339.521
194,340.519
194.25,358.979
194.5,359.67
194.75,331.173
195,311.517
195.25,300.306
195.5,318.165
195.75,261.703
196,260.406
196.25,290.12
196.5,305.113
196.75,330.384
197,323.111
197.25,279.163
197.5,270.598
197.75,264.143
198,262.069
198.25,295.784
198.5,298.127
198.75,267.966
199,241.989
199.25,252.082
199.5,242.192
199.75,270.098
200,279.484
200.25,287.708
200.5,325.563
200.75,289.64
201,294.956
201.25,270.886
201.5,276.032
201.75,261.235
202,256.62
202.25,283.079
202.5,290.723
202.75,266.886
203,274.068
203.25,267.346
203.5,268.415
203.75,253.627
204,273.004
204.25,260.581
204.5,252.806
204.75,294.353
205,274.06
205.25,255.207
205.5,244.759
205.75,241.304
206,256.013
206.25,279.834
206.5,278.109
206.75,282.394
207,296.447
207.25,279.668
207.5,275.398
207.75,264.107
208,249.182
208.25,277.763
208.5,286.255
208.75,303.816
209,329.706
209.25,290.428
209.5,282.08
209.75,294.838
210,293.624
210.25,285.703
210.5,294.602
210.75,287.501
211,288.43
211.25,302.339
211.5,295.682
211.75,311.055
212,288.67
212.25,266.03
212.5,276.201
212.75,279.37
213,286.355
213.25,265.014
213.5,244.866
213.75,246.308
214,270.703
214.25,279.315
214.5,262.73
214.75,273.555
215,297.206
215.25,281.04
215.5,271.018
215.75,269.323
216,282.557
216.25,271.391
216.5,266.861
216.75,263.434
217,254.71
217.25,254.376
217.5,257.458
217.75,258.15
218,260.574
218.25,259.36
218.5,288.126
218.75,321.073
219,322.478
219.25,309.672
219.5,284.835
219.75,281.81
220,271.852
220.25,266.751
220.5,264.09
220.75,268.132
221,271.753
221.25,262.824
221.5,266.947
221.75,250.955
222,250.08
222.25,263.125
222.5,270.865
222.75,258.019
223,265.14
223.25,268.281
223.5,240.484
223.75,269.794
224,286.564
224.25,275.084
224.5,261.182
224.75,272.376
225,255.821
225.25,251.566
225.5,267.931
225.75,251.92
226,245.528
226.25,269.376
226.5,283.502
226.75,294.86
227,283.983
227.25,286.553
227.5,273.485
227.75,305.43
228,305.896
228.25,292.467
228.5,274.509
228.75,271.512
229,269.28
229.25,244.34
229.5,243.341
229.75,241.625
230,245.862
230.25,248.917
230.5,237.591
230.75,230.396
231,236.638
231.25,251.114
231.5,222.033
231.75,227.815
232,245.971
232.25,261.352
232.5,268.748
232.75,250.964
233,250.862
233.25,236.234
233.5,251.562
233.75,264.563
234,264.817
234.25,286.551
234.5,268.517
234.75,234.156
235,239.865
235.25,240.787
235.5,215.825
235.75,228.403
236,253.425
236.25,260.009
236.5,251.619
236.75,249.938
237,228.266
237.25,235.8
237.5,223.943
237.75,230.765
238,230.589
238.25,228.045
238.5,223.988
238.75,234.141
239,243.749
239.25,245.03
239.5,255.392
239.75,244.735
240,251.964
240.25,259.764
240.5,264.425
240.75,252.745
241,249.131
241.25,234.54
241.5,241.319
241.75,248.649
242,244.986
242.25,229.985
242.5,231.156
242.75,220.708
243,217.921
243.25,195.854
243.5,205.271
243.75,223.486
244,212.347
244.25,230.129
244.5,223.14
244.75,227.068
245,222.775
245.25,222.68
245.5,242.62
245.75,233.792
246,244.937
246.25,249.513
246.5,246.912
246.75,253.89
247,258.777
247.25,234.766
247.5,216.49
247.75,207.897
248,219.749
248.25,227.685
248.5,259.314
248.75,253.741
249,236.435
249.25,230.719
249.5,216.612
249.75,219.444
250,219.098
250.25,223.626
250.5,233.279
250.75,222.113
251,222.46
251.25,210.929
251.5,200.959
251.75,219.001
252,218.684
252.25,212.658
252.5,240.743
252.75,236.696
253,222.672
253.25,216.64
253.5,233.179
253.75,234.591
254,218.069
254.25,220.307
254.5,217.132
254.75,208.819
255,207.399
255.25,236.197
255.5,264.551
255.75,249.915
256,252.626
256.25,254.426
256.5,221.966
256.75,247.942
257,242.381
257.25,251.095
257.5,238.676
257.75,200.892
258,215.536
258.25,214.197
258.5,205.562
258.75,229.392
259,226.828
259.25,227.07
259.5,227.523
259.75,230.353
260,223.439
260.25,215.452
260.5,226.808
260.75,241.027
261,211.495
261.25,205.378
261.5,216.44
261.75,222.053
262,238.993
262.25,231.725
262.5,205.446
262.75,204.433
263,196.389
263.25,192.191
263.5,215.937
263.75,206.99
264,197.227
264.25,192.84
264.5,193.522
264.75,190.292
265,188.202
265.25,191.161
265.5,191.8
265.75,190.685
266,181.676
266.25,183.124
266.5,185.785
266.75,208.274
267,179.07
267.25,204.189
267.5,192.475
267.75,178.704
268,180.28
268.25,194.685
268.5,163.998
268.75,183.12
269,171.788
269.25,160.664
269.5,192.326
269.75,189.007
270,182.58
270.25,194.112
270.5,213.813
270.75,216.881
271,218.191
271.25,219.088
271.5,219.288
271.75,202.545
272,224.064
272.25,192.789
272.5,199.412
272.75,174.615
273,172.479
273.25,184.622
273.5,173.601
273.75,170.566
274,187.077
274.25,177.082
274.5,181.051
274.75,180.783
275,184.444
275.25,163.669
275.5,180.886
275.75,170.72
276,171.867
276.25,211.176
276.5,188.842
276.75,174.016
277,161.637
277.25,172.815
277.5,171.402
277.75,170.129
278,165.852
278.25,162.286
278.5,182.45
278.75,182.995
279,172.305
279.25,191.204
279.5,187.559
279.75,179.431
280,192.309
280.25,173.084
280.5,163.06
280.75,154.377
281,159.35
281.25,165.633
281.5,159.618
281.75,162.114
282,151.371
282.25,173.095
282.5,165.104
282.75,193.892
283,187.685
283.25,185.685
283.5,178.99
283.75,204.052
284,203.23
284.25,206.848
284.5,209.158
284.75,208.583
285,217.92
285.25,211.321
285.5,220.507
285.75,194.99
286,182.219
286.25,171.686
286.5,175.265
286.75,168.31
287,154.266
287.25,186.547
287.5,167.829
287.75,181.23
288,161.336
288.25,158.68
288.5,181.403
288.75,159.812
289,159.593
289.25,161.606
289.5,139.735
289.75,140.004
290,154.737
290.25,138.769
290.5,143.4
290.75,147.998
291,154.178
291.25,153.501
291.5,143.056
291.75,156.611
292,152.268
292.25,162.92
292.5,147.181
292.75,137.479
293,135.437
293.25,127.615
293.5,116.849
293.75,123.766
294,132.378
294.25,131.801
294.5,123.626
294.75,125.221
295,130.282
295.25,148.835
295.5,146.224
295.75,152.032
296,150.377
296.25,163.963
296.5,127.982
296.75,127.067
297,120.632
297.25,118.135
297.5,130.732
297.75,127.405
298,132.005
298.25,127.158
298.5,127.411
298.75,127.534
299,120.906
299.25,113.666
299.5,116.356
299.75,114.233
300,98.6768
300.25,117.738
300.5,140.196
300.75,150.113
301,151.141
301.25,144.944
301.5,133.536
301.75,112.365
302,109.72
302.25,114.999
302.5,111.638
302.75,126.475
303,144.242
303.25,175.569
303.5,148.988
303.75,147.107
304,133.449
304.25,121.109
304.5,132.798
304.75,131.514
305,128.19
305.25,131.049
305.5,130.867
305.75,121.861
306,116.299
306.25,113.933
306.5,109.418
306.75,92.9965
307,96.1895
307.25,104.787
307.5,100.205
307.75,100.731
308,96.3536
308.25,87.3005
308.5,109.17
308.75,118.37
309,123.728
309.25,127.81
309.5,129.335
309.75,135.059
310,134.606
310.25,145.808
310.5,144.862
310.75,136.697
311,113.069
311.25,104.38
311.5,123.516
311.75,128.241
312,135.777
312.25,148.609
312.5,148.638
312.75,136.724
313,126.608
313.25,135.345
313.5,136.521
313.75,133.774
314,146.028
314.25,137.763
314.5,142.389
314.75,158.154
315,147.782
315.25,143.459
315.5,141.743
315.75,137.47
316,120.071
316.25,113.451
316.5,119.34
316.75,122.062
317,141.798
317.25,135.331
317.5,123.451
317.75,158.375
318,135.688
318.25,137.949
318.5,134.618
318.75,129.129
319,143.895
319.25,153.932
319.5,157.789
319.75,162.946
320,166.863
320.25,149.332
320.5,135.357
320.75,113.445
321,104.645
321.25,99.1959
321.5,133.041
321.75,128.966
322,121.903
322.25,132.847
322.5,118.395
322.75,128.444
323,129.3
323.25,126.57
323.5,116.889
323.75,115.463
324,111.133
324.25,120.635
324.5,109.012
324.75,91.9297
325,110.068
325.25,114.474
325.5,110.774
325.75,112.523
326,111.034
326.25,106.682
326.5,113.775
326.75,116.981
327,138.227
327.25,135.538
327.5,133.614
327.75,124.839
328,116.797
328.25,113.817
328.5,118.004
328.75,122.194
329,123.284
329.25,121.434
329.5,130.676
329.75,122.883
330,105.611
330.25,109.241
330.5,103.668
330.75,105.918
331,107.329
331.25,100.359
331.5,96.5366
331.75,97.9495
332,107.296
332.25,114.912
332.5,126.378
332.75,129.576
333,104.227
333.25,129.369
333.5,127.212
333.75,127.941
334,130.141
334.25,114.119
334.5,111.687
334.75,99.2249
335,91.6123
335.25,82.9181
335.5,93.1666
335.75,103.221
336,96.2322
336.25,98.7075
336.5,100.989
336.75,95.4842
337,106.703
337.25,94.7602
337.5,124.301
337.75,119.841
338,104.089
338.25,121.704
338.5,109.017
338.75,120.299
339,100.941
339.25,80.2702
339.5,87.5368
339.75,78.5572
340,69.2137
340.25,76.0139
340.5,78.7973
340.75,92.3496
341,95.3896
341.25,93.0844
341.5,87.3455
341.75,78.1016
342,86.2941
342.25,88.6856
342.5,86.0858
342.75,93.3157
343,81.8659
343.25,77.8678
343.5,67.8263
343.75,58.4941
344,68.025
344.25,65.1753
344.5,77.826
344.75,74.8258
345,81.3937
345.25,80.6284
345.5,68.4736
345.75,82.4991
346,82.9139
346.25,87.3811
346.5,77.4466
346.75,59.4613
347,67.7229
347.25,63.623
347.5,75.2691
347.75,71.8504
348,78.9958
348.25,76.984
348.5,62.6109
348.75,76.7851
349,79.5708
349.25,72.1647
349.5,84.1949
349.75,88.7793
350,93.8255
350.25,101.868
350.5,95.6144
350.75,95.3883
351,90.7873
351.25,88.749
351.5,96.4212
351.75,96.1731
352,77.4871
352.25,83.7832
352.5,76.9059
352.75,81.6671
353,86.3121
353.25,97.7386
353.5,100.134
353.75,117.495
354,122.69
354.25,108.339
354.5,103.093
354.75,92.6258
355,87.1684
355.25,84.444
355.5,84.0682
355.75,74.7916
356,79.3885
356.25,85.1104
356.5,88.0781
356.75,93.6832
357,100.583
357.25,99.6945
357.5,92.5922
357.75,75.8046
358,77.2813
358.25,84.7182
358.5,85.4248
358.75,87.637
359,82.0782
