Time,mean_fraction_lambda_H
233.25,0.516892
233.5,0.398634
233.75,0.359863
234,0.338818
234.25,0.361957
234.5,0.447429
234.75,0.463768
235,0.35553
235.25,0.425156
235.5,0.50969
235.75,0.442032
236,0.446609
236.25,0.435432
236.5,0.378266
236.75,0.31717
237,0.333098
237.25,0.461368
237.5,0.305621
237.75,0.414444
238,0.364458
238.25,0.284867
238.5,0.400868
238.75,0.363609
239,0.339419
239.25,0.258575
239.5,0.363576
239.75,0.29015
240,0.40313
240.25,0.423635
240.5,0.393715
240.75,0.376763
241,0.491728
241.25,0.406383
241.5,0.41058
241.75,0.389527
242,0.280665
242.25,0.441991
242.5,0.396236
242.75,0.434824
243,0.377195
243.25,0.319118
243.5,0.384415
243.75,0.422943
244,0.333218
244.25,0.392745
244.5,0.419879
244.75,0.38937
245,0.389768
245.25,0.363475
245.5,0.369321
245.75,0.383214
246,0.328742
246.25,0.419286
246.5,0.550919
246.75,0.419184
247,0.444346
247.25,0.380507
247.5,0.327376
247.75,0.326205
248,0.478602
248.25,0.392066
248.5,0.456437
248.75,0.491077
249,0.365041
249.25,0.186237
249.5,0.23162
249.75,0.381715
250,0.299896
250.25,0.368346
250.5,0.415281
250.75,0.471501
251,0.345375
251.25,0.28568
251.5,0.479597
251.75,0.374952
252,0.431786
252.25,0.433793
252.5,0.263057
252.75,0.399683
253,0.362017
253.25,0.40814
253.5,0.302296
253.75,0.277317
254,0.422944
254.25,0.378734
254.5,0.392086
254.75,0.452729
255,0.30504
255.25,0.3887
255.5,0.362151
255.75,0.468624
256,0.343718
256.25,0.417452
256.5,0.443514
256.75,0.326877
257,0.308821
257.25,0.411505
257.5,0.444358
257.75,0.45527
258,0.447326
258.25,0.472611
258.5,0.430937
258.75,0.454335
259,0.468853
259.25,0.432853
259.5,0.399396
259.75,0.455429
260,0.499885
260.25,0.352775
260.5,0.34067
260.75,0.3157
261,0.248527
261.25,0.2691
261.5,0.365774
261.75,0.46002
262,0.403639
262.25,0.409464
262.5,0.376475
262.75,0.268144
263,0.368371
263.25,0.26827
263.5,0.356648
263.75,0.413582
264,0.480677
264.25,0.384488
264.5,0.355425
264.75,0.477061
265,0.444369
265.25,0.444396
265.5,0.431742
265.75,0.489247
266,0.444299
266.25,0.499855
266.5,0.311031
266.75,0.291393
267,0.49037
267.25,0.374578
267.5,0.444249
267.75,0.539903
268,0.394992
268.25,0.358431
268.5,0.395768
268.75,0.514217
269,0.396477
269.25,0.499671
269.5,0.333302
269.75,0.419933
270,0.408903
270.25,0.408883
270.5,0.319092
270.75,0.379729
271,0.333094
271.25,0.42587
271.5,0.268363
271.75,0.312463
272,0.314635
272.25,0.362018
272.5,0.423541
272.75,0.462726
273,0.315757
273.25,0.34868
273.5,0.345581
273.75,0.199822
274,0.311068
274.25,0.327137
274.5,0.377475
274.75,0.382442
275,0.292441
275.25,0.392861
275.5,0.249933
275.75,0.299947
276,0.226465
276.25,0.232409
276.5,0.35845
276.75,0.34781
277,0.333157
277.25,0.37029
277.5,0.363501
277.75,0.363608
278,0.333283
278.25,0.435721
278.5,0.274977
278.75,0.428467
279,0.394174
279.25,0.374861
279.5,0.299984
279.75,0.36516
280,0.534458
280.25,0.524848
280.5,0.414178
280.75,0.499809
281,0.36839
281.25,0.314262
281.5,0.384413
281.75,0.307459
282,0.47701
282.25,0.424097
282.5,0.313596
282.75,0.305494
283,0.428514
283.25,0.274948
283.5,0.39989
283.75,0.379295
284,0.279927
284.25,0.404637
284.5,0.379848
284.75,0.528149
285,0.443926
285.25,0.404081
285.5,0.394841
285.75,0.577391
286,0.340372
286.25,0.444384
286.5,0.386199
286.75,0.365104
287,0.439608
287.25,0.424078
287.5,0.499949
287.75,0.379192
288,0.39574
288.25,0.356954
288.5,0.390179
288.75,0.333206
289,0.375377
289.25,0.275844
289.5,0.407866
289.75,0.472129
290,0.388582
290.25,0.44131
290.5,0.30767
290.75,0.249786
291,0.410222
291.25,0.456482
291.5,0.374967
291.75,0.399972
292,0.617455
292.25,0.342371
292.5,0.420989
292.75,0.352913
293,0.307668
293.25,0.343736
293.5,0.441008
293.75,0.461483
294,0.407291
294.25,0.513418
294.5,0.517222
294.75,0.428478
295,0.435865
295.25,0.448231
295.5,0.388797
295.75,0.374815
296,0.406151
296.25,0.24993
296.5,0.394673
296.75,0.392781
297,0.416637
297.25,0.374689
297.5,0.390098
297.75,0.461501
298,0.484812
298.25,0.624947
298.5,0.413587
298.75,0.463289
299,0.485619
299.25,0.551677
299.5,0.324094
299.75,0.423047
300,0.458306
300.25,0.4166
300.5,0.422177
300.75,0.416623
301,0.333263
301.25,0.261881
301.5,0.42102
301.75,0.306017
302,0.484621
302.25,0.299972
302.5,0.47814
302.75,0.481422
303,0.499964
303.25,0.374703
303.5,0.657882
303.75,0.374952
304,0.371384
304.25,0.335526
304.5,0.214453
304.75,0.531208
305,0.484396
305.25,0.279989
305.5,0.336081
305.75,0.636128
306,0.321215
306.25,0.333304
306.5,0.48269
306.75,0.473639
307,0.299978
307.25,0.416644
307.5,0.342839
307.75,0.416
308,0.307655
308.25,0.479971
308.5,0.499893
308.75,0.360906
309,0.210515
309.25,0.52934
309.5,0.172406
309.75,0.466625
310,0.387062
310.25,0.413654
310.5,0.249625
310.75,0.499606
311,0.399775
311.25,0.448259
311.5,0.263151
311.75,0.34206
312,0.281232
312.25,0.272716
312.5,0.347781
312.75,0.385954
313,0.323489
313.25,0.454492
313.5,0.327985
313.75,0.366649
314,0.296917
314.25,0.499985
314.5,0.310184
314.75,0.341998
315,0.399619
315.25,0.404682
315.5,0.323658
315.75,0.366615
316,0.351283
316.25,0.47996
316.5,0.281216
316.75,0.394705
317,0.281182
317.25,0.411709
317.5,0.417782
317.75,0.333267
318,0.346132
318.25,0.416644
318.5,0.354752
318.75,0.303932
319,0.374976
319.25,0.333318
319.5,0.388803
319.75,0.293724
320,0.339494
320.25,0.321305
320.5,0.444031
320.75,0.26468
321,0.294039
321.25,0.241091
321.5,0.470446
321.75,0.419307
322,0.404558
322.25,0.359858
322.5,0.332812
322.75,0.467851
323,0.349966
323.25,0.649893
323.5,0.537399
323.75,0.482684
324,0.321374
324.25,0.279974
324.5,0.484702
324.75,0.241358
325,0.291464
325.25,0.281178
325.5,0.464274
325.75,0.349915
326,0.279455
326.25,0.388698
326.5,0.393284
326.75,0.37035
327,0.296098
327.25,0.417367
327.5,0.411736
327.75,0.433315
328,0.275836
328.25,0.451577
328.5,0.285689
328.75,0.463998
329,0.304314
329.25,0.333295
329.5,0.3076
329.75,0.279986
330,0.391286
330.25,0.322505
330.5,0.332045
330.75,0.31997
331,0.413692
331.25,0.427422
331.5,0.249985
331.75,0.39979
332,0.521242
332.25,0.272711
332.5,0.24208
332.75,0.351027
333,0.374967
333.25,0.541554
333.5,0.463644
333.75,0.333223
334,0.324309
334.25,0.399973
334.5,0.35482
334.75,0.458179
335,0.571175
335.25,0.278725
335.5,0.411712
335.75,0.294031
336,0.423028
336.25,0.333316
336.5,0.36936
336.75,0.333322
337,0.440237
337.25,0.434003
337.5,0.299826
337.75,0.241368
338,0.662473
338.25,0.263305
338.5,0.559979
338.75,0.488355
339,0.496615
339.25,0.263151
339.5,0.315784
339.75,0.470471
340,0.599954
340.25,0.63634
340.5,0.437292
340.75,0.388873
341,0.392791
341.25,0.44289
341.5,0.241128
341.75,0.599922
342,0.449961
342.25,0.521646
342.5,0.332873
342.75,0.544664
343,0.428014
343.25,0.421025
343.5,0.599446
343.75,0.473646
344,0.210509
344.25,0.692146
344.5,0.333309
344.75,0.333271
345,0.0666654
345.25,0.249971
345.5,0.299961
345.75,0.416653
346,0.59992
346.25,0.266628
346.5,0.479969
346.75,0.292703
347,0.444369
347.25,0.352932
347.5,0.437471
347.75,0.374983
348,0.44443
348.25,0.565537
348.5,0.399981
348.75,0.428528
349,0.333277
349.25,0.49996
349.5,0.187481
349.75,0.347796
350,0.399968
350.25,0.347812
350.5,0.399986
350.75,0.300367
351,0.391282
351.25,0.295947
351.5,0.408777
351.75,0.263129
352,0.221595
352.25,0.499173
352.5,0.416636
352.75,0.19999
353,0.307674
353.25,0.260864
353.5,0.356881
353.75,0.157894
354,0.319988
354.25,0.216204
354.5,0.437302
354.75,0.318168
355,0.316818
355.25,0.166663
355.5,0.333313
355.75,0.733313
356,0.454475
356.25,0.190207
356.5,0.315778
356.75,0.454532
357,0.526111
357.25,0.317179
357.5,0.522
357.75,0.473668
358,0.176466
358.25,0.149961
358.5,0.43747
358.75,0.419851
359,0.383615
359.25,0.610686
359.5,0.388857
359.75,0.222191
360,0.315767
360.25,0.142854
360.5,0.475654
360.75,0.277743
361,0.548846
361.25,0.478227
361.5,0.166657
361.75,0.411751
362,0.420978
362.25,0.235273
362.5,0.352923
362.75,0.526277
363,0.518466
363.25,0.249773
363.5,0.454348
363.75,0.332912
364,0.217385
364.25,0.166663
364.5,0.333325
364.75,0.299927
365,0.461509
365.25,0.255455
365.5,0.399979
365.75,0.409077
366,0.249725
366.25,0.399995
366.5,0.333299
366.75,0.277771
367,0.333308
367.25,0.374964
367.5,0.461503
367.75,0.33242
368,0.499967
368.25,0.285687
368.5,0.384606
368.75,0.165449
369,0.380849
369.25,0.384606
369.5,0.470542
369.75,0.499975
370,0.610317
370.25,0.333315
370.5,0.769142
370.75,0.363623
371,0.187359
371.25,0.411718
371.5,0.411744
371.75,0.499919
372,0.434759
372.25,0.437468
372.5,0.352924
372.75,0.411749
373,0.461518
373.25,0.49993
373.5,0.299993
373.75,0.327974
374,0.399994
374.25,0.125
374.5,0.428551
374.75,0.166666
375,0.444322
375.25,0.217292
375.5,0.111102
375.75,0.315111
376,0.24998
376.25,0.306108
376.5,0.246033
376.75,0.499968
377,0.43748
377.25,0.230746
377.5,0.399973
377.75,0.618952
378,0.454536
378.25,0.526296
378.5,0.249686
378.75,0.499613
379,0.666416
379.25,0.55555
379.5,0.434747
379.75,0.249996
380,0.388871
380.25,0.249986
380.5,0.333327
380.75,0.272712
381,0.333312
381.25,0.533109
381.5,0.384596
381.75,0.473672
382,0.611079
382.25,0.555548
382.5,0.199998
382.75,0.469812
383,0.266642
383.25,0.249995
383.5,0.599979
383.75,0.624971
384,0.538456
384.25,0.729378
384.5,0.428524
384.75,0.315768
385,0.399968
385.25,0.399982
385.5,0.333329
385.75,0.453797
386,0.299983
386.25,0.64278
386.5,0.615346
386.75,0.499982
387,0.333328
387.25,0.599971
387.5,0.49934
387.75,0.357129
388,0.111109
388.25,0.823434
388.5,0.428559
388.75,0.499987
389,0.35703
389.25,0.461521
389.5,0.416661
389.75,0.470539
390,0.66665
390.25,0
390.5,0.454538
390.75,0.371253
391,0.249985
391.25,0.333186
391.5,0.545437
391.75,0.249992
392,0.399985
392.25,0.199987
392.5,0.142857
392.75,0.333209
393,0.416651
393.25,0.499978
393.5,0.199986
393.75,0.249991
