Time,cumulative_mean_fraction_lambda_C
124,0.13257
124.25,0.132357
124.5,0.132128
124.75,0.132112
125,0.132184
125.25,0.132021
125.5,0.132006
125.75,0.131828
126,0.131886
126.25,0.132004
126.5,0.131852
126.75,0.131882
127,0.131951
127.25,0.131964
127.5,0.13211
127.75,0.132062
128,0.131926
128.25,0.131956
128.5,0.1318
128.75,0.131893
129,0.131769
129.25,0.131833
129.5,0.131548
129.75,0.131486
130,0.131645
130.25,0.131859
130.5,0.131899
130.75,0.131923
131,0.132236
131.25,0.132332
131.5,0.132399
131.75,0.132113
132,0.131996
132.25,0.132044
132.5,0.13203
132.75,0.132048
133,0.13194
133.25,0.131906
133.5,0.131939
133.75,0.131657
134,0.131806
134.25,0.131817
134.5,0.13196
134.75,0.131945
135,0.132125
135.25,0.131976
135.5,0.131878
135.75,0.131852
136,0.131905
136.25,0.13183
136.5,0.131826
136.75,0.131887
137,0.131856
137.25,0.13164
137.5,0.131608
137.75,0.131597
138,0.131422
138.25,0.131459
138.5,0.131509
138.75,0.131272
139,0.131241
139.25,0.131132
139.5,0.131121
139.75,0.130992
140,0.130869
140.25,0.130919
140.5,0.130857
140.75,0.130786
141,0.130932
141.25,0.130961
141.5,0.130805
141.75,0.130556
142,0.130666
142.25,0.130644
142.5,0.130502
142.75,0.130419
143,0.130319
143.25,0.130203
143.5,0.13015
143.75,0.130088
144,0.129925
144.25,0.129791
144.5,0.12966
144.75,0.129552
145,0.12947
145.25,0.1295
145.5,0.129437
145.75,0.129491
146,0.129545
146.25,0.129471
146.5,0.129358
146.75,0.129444
147,0.129426
147.25,0.129606
147.5,0.129605
147.75,0.129487
148,0.129404
148.25,0.129387
148.5,0.129406
148.75,0.129438
149,0.129416
149.25,0.1292
149.5,0.129188
149.75,0.129041
150,0.129055
150.25,0.129154
150.5,0.129187
150.75,0.12927
151,0.12928
151.25,0.129221
151.5,0.129085
151.75,0.129075
152,0.128964
152.25,0.12899
152.5,0.129011
152.75,0.129114
153,0.129158
153.25,0.129231
153.5,0.129355
153.75,0.129311
154,0.129136
154.25,0.129024
154.5,0.128964
154.75,0.128868
155,0.12886
155.25,0.128777
155.5,0.128604
155.75,0.128585
156,0.128574
156.25,0.128737
156.5,0.128896
156.75,0.128977
157,0.129083
157.25,0.129028
157.5,0.128884
157.75,0.128766
158,0.12868
158.25,0.128651
158.5,0.128723
158.75,0.128575
159,0.128716
159.25,0.128648
159.5,0.128578
159.75,0.12848
160,0.12844
160.25,0.128471
160.5,0.128571
160.75,0.128489
161,0.128413
161.25,0.128344
161.5,0.128307
161.75,0.128405
162,0.128423
162.25,0.128356
162.5,0.128356
162.75,0.128347
163,0.128282
163.25,0.128197
163.5,0.128196
163.75,0.128118
164,0.127944
164.25,0.127838
164.5,0.127734
164.75,0.127619
165,0.127569
165.25,0.127625
165.5,0.127574
165.75,0.127527
166,0.127526
166.25,0.127429
166.5,0.127349
166.75,0.127241
167,0.127285
167.25,0.127403
167.5,0.127411
167.75,0.127519
168,0.127584
168.25,0.127638
168.5,0.127708
168.75,0.127653
169,0.127742
169.25,0.127697
169.5,0.127594
169.75,0.127509
170,0.127604
170.25,0.127578
170.5,0.127525
170.75,0.127517
171,0.127498
171.25,0.127499
171.5,0.127407
171.75,0.12741
172,0.127315
172.25,0.127257
172.5,0.127194
172.75,0.127265
173,0.127272
173.25,0.127165
173.5,0.12704
173.75,0.127002
174,0.126877
174.25,0.127117
174.5,0.126975
174.75,0.126852
175,0.126847
175.25,0.126919
175.5,0.126883
175.75,0.126835
176,0.126847
176.25,0.12678
176.5,0.126689
176.75,0.126645
177,0.126607
177.25,0.126557
177.5,0.126551
177.75,0.126523
178,0.126518
178.25,0.126604
178.5,0.126654
178.75,0.126758
179,0.126846
179.25,0.126776
179.5,0.126826
179.75,0.126771
180,0.126652
180.25,0.126742
180.5,0.126638
180.75,0.126739
181,0.126713
181.25,0.126639
181.5,0.126546
181.75,0.126542
182,0.126588
182.25,0.126529
182.5,0.126518
182.75,0.126493
183,0.126385
183.25,0.126374
183.5,0.126251
183.75,0.126304
184,0.126314
184.25,0.126287
184.5,0.126252
184.75,0.126218
185,0.126192
185.25,0.126134
185.5,0.12606
185.75,0.125984
186,0.126039
186.25,0.126109
186.5,0.126062
186.75,0.126193
187,0.126187
187.25,0.126151
187.5,0.126151
187.75,0.126048
188,0.126003
188.25,0.126037
188.5,0.126022
188.75,0.126
189,0.125937
189.25,0.125886
189.5,0.125959
189.75,0.126057
190,0.126137
190.25,0.126121
190.5,0.126168
190.75,0.126084
191,0.126139
191.25,0.126121
191.5,0.126103
191.75,0.126129
192,0.126081
192.25,0.126094
192.5,0.126093
192.75,0.126084
193,0.126045
193.25,0.126068
193.5,0.125991
193.75,0.126052
194,0.125877
194.25,0.125814
194.5,0.12586
194.75,0.125893
195,0.12598
195.25,0.126046
195.5,0.126067
195.75,0.12598
196,0.125905
196.25,0.125862
196.5,0.125809
196.75,0.125748
197,0.12568
197.25,0.125627
197.5,0.125627
197.75,0.125649
198,0.125686
198.25,0.125607
198.5,0.125634
198.75,0.12563
199,0.125626
199.25,0.125632
199.5,0.125654
199.75,0.125625
200,0.12555
200.25,0.125529
200.5,0.12542
200.75,0.125422
201,0.125457
201.25,0.125364
201.5,0.125325
201.75,0.125324
202,0.125363
202.25,0.125363
202.5,0.125312
202.75,0.125174
203,0.125125
203.25,0.125049
