Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
553,6,7,3,2630,1,297
554,2,2,3,2630,0,297
555,4,4,4,2631,0,297
556,3,3,5,2632,0,297
557,5,5,3,2632,0,297
558,5,5,4,2633,0,297
559,4,4,4,2633,0,297
560,0,2,4,2633,0,297
561,2,2,3,2633,0,297
562,3,3,3,2633,0,297
563,0,0,2,2633,0,297
564,2,4,3,2635,1,297
565,1,1,3,2635,1,297
566,6,6,2,2635,2,297
567,3,3,2,2635,2,297
568,2,2,2,2635,2,297
569,3,3,2,2635,2,297
570,3,3,2,2635,2,297
571,1,2,2,2635,2,297
572,3,3,0,2635,2,298
573,1,3,0,2635,2,298
574,3,3,0,2635,1,299
575,1,1,0,2635,1,299
576,1,2,0,2635,1,299
577,1,2,0,2635,1,299
578,3,3,0,2635,1,299
579,3,3,1,2636,1,299
580,2,2,1,2636,0,299
581,1,2,1,2636,0,299
582,1,1,1,2636,0,299
583,2,3,1,2636,0,299
584,0,1,1,2636,0,299
585,3,3,1,2636,0,299
586,1,1,1,2636,0,299
587,0,0,0,2636,1,299
588,2,2,0,2636,1,299
589,0,0,0,2636,1,299
590,0,0,0,2636,1,299
591,0,0,0,2636,1,299
592,0,0,0,2636,1,299
593,0,0,0,2636,1,299
594,0,0,0,2636,1,299
595,0,0,0,2636,0,300
596,1,2,0,2636,0,300
