Time,normal_interactions,curtailed_interactions
273.5,659278,659072
273.75,659271,659066
274,659260,659057
274.25,659267,659064
274.5,659262,659066
274.75,659281,659086
275,659283,659087
275.25,659283,659083
275.5,659290,659090
275.75,659284,659085
276,659290,659096
276.25,659294,659098
276.5,659302,659105
276.75,659305,659106
277,659301,659105
277.25,659295,659100
277.5,659292,659101
277.75,659291,659103
278,659291,659101
278.25,659288,659098
278.5,659296,659109
278.75,659296,659111
279,659292,659108
279.25,659283,659106
279.5,659296,659119
279.75,659300,659119
280,659307,659120
280.25,659308,659126
280.5,659321,659136
280.75,659324,659137
281,659327,659139
281.25,659324,659141
281.5,659323,659139
281.75,659321,659138
282,659313,659132
282.25,659303,659121
282.5,659312,659130
282.75,659313,659132
283,659322,659140
283.25,659325,659144
283.5,659326,659142
283.75,659308,659125
284,659313,659134
284.25,659313,659134
284.5,659315,659138
284.75,659313,659140
285,659302,659138
285.25,659302,659136
285.5,659300,659134
285.75,659317,659148
286,659312,659146
286.25,659320,659149
286.5,659323,659153
286.75,659340,659169
287,659331,659159
287.25,659333,659162
287.5,659342,659167
287.75,659341,659161
288,659351,659173
288.25,659342,659166
288.5,659344,659172
288.75,659353,659174
289,659356,659175
289.25,659364,659190
289.5,659358,659181
289.75,659346,659170
290,659351,659175
290.25,659359,659188
290.5,659346,659184
290.75,659342,659178
291,659345,659178
291.25,659338,659172
291.5,659344,659170
291.75,659356,659181
292,659352,659178
292.25,659358,659187
292.5,659357,659185
292.75,659362,659192
293,659365,659195
293.25,659363,659194
293.5,659359,659195
293.75,659353,659197
294,659353,659195
294.25,659368,659216
294.5,659373,659216
294.75,659375,659214
295,659367,659203
295.25,659364,659204
295.5,659368,659211
295.75,659378,659223
296,659375,659218
296.25,659368,659211
296.5,659371,659216
296.75,659383,659221
297,659379,659220
297.25,659382,659224
297.5,659384,659224
297.75,659385,659229
298,659378,659226
298.25,659388,659234
298.5,659393,659243
298.75,659402,659252
299,659410,659259
299.25,659415,659267
299.5,659413,659268
299.75,659414,659270
300,659404,659260
300.25,659398,659255
300.5,659398,659260
300.75,659390,659252
301,659403,659269
301.25,659403,659268
301.5,659405,659272
301.75,659414,659279
302,659424,659289
302.25,659438,659299
302.5,659438,659296
302.75,659432,659293
303,659425,659293
303.25,659434,659301
303.5,659437,659305
303.75,659440,659313
304,659449,659318
304.25,659451,659320
304.5,659449,659322
304.75,659452,659325
305,659453,659325
305.25,659455,659328
305.5,659460,659330
305.75,659472,659341
306,659463,659334
306.25,659465,659337
306.5,659453,659327
306.75,659451,659328
307,659456,659333
307.25,659467,659344
307.5,659459,659337
307.75,659459,659337
308,659470,659350
308.25,659462,659347
308.5,659463,659346
308.75,659472,659353
309,659472,659347
309.25,659470,659348
309.5,659473,659350
309.75,659471,659349
310,659477,659355
