Time,cumulative_mean_fraction_lambda_W
404.5,0.505271
404.75,0.505251
405,0.505277
405.25,0.505282
405.5,0.505295
405.75,0.505308
406,0.505333
406.25,0.505319
406.5,0.505325
406.75,0.505337
407,0.505317
407.25,0.505327
407.5,0.50534
407.75,0.505319
408,0.505332
408.25,0.505318
408.5,0.505324
408.75,0.50535
409,0.50533
409.25,0.505342
409.5,0.505368
409.75,0.5054
410,0.505386
410.25,0.505373
410.5,0.505371
410.75,0.505383
411,0.505402
411.25,0.505375
411.5,0.505388
411.75,0.505394
412,0.505394
412.25,0.505414
412.5,0.505393
412.75,0.505406
413,0.505386
413.25,0.505373
413.5,0.505346
413.75,0.505345
414,0.505409
414.25,0.505409
414.5,0.505408
414.75,0.505415
415,0.505434
415.25,0.505453
415.5,0.505453
415.75,0.505426
416,0.505412
416.25,0.505418
416.5,0.505411
416.75,0.505436
417,0.505468
417.25,0.505475
417.5,0.505481
417.75,0.505461
418,0.505454
418.25,0.505467
418.5,0.505499
418.75,0.505518
419,0.505517
419.25,0.505536
419.5,0.505548
419.75,0.505606
420,0.505626
420.25,0.505619
420.5,0.505618
420.75,0.505638
421,0.505644
421.25,0.505636
421.5,0.505609
421.75,0.505603
422,0.505569
422.25,0.505575
422.5,0.505574
422.75,0.505587
423,0.505533
423.25,0.50554
423.5,0.505546
423.75,0.505565
424,0.505577
424.25,0.505583
424.5,0.50559
424.75,0.505583
425,0.505569
425.25,0.505589
425.5,0.505588
425.75,0.505581
426,0.505548
426.25,0.505488
426.5,0.505481
426.75,0.505481
427,0.505486
427.25,0.505464
427.5,0.505463
427.75,0.505417
428,0.505416
428.25,0.505429
428.5,0.505416
428.75,0.505376
429,0.505375
429.25,0.505382
429.5,0.50542
429.75,0.505419
430,0.505432
430.25,0.505418
430.5,0.505438
430.75,0.505444
431,0.505457
431.25,0.505437
431.5,0.505443
431.75,0.505416
432,0.505415
432.25,0.505415
432.5,0.505413
432.75,0.505406
433,0.505392
433.25,0.505399
433.5,0.505385
433.75,0.505378
434,0.505377
434.25,0.50539
434.5,0.505362
434.75,0.505361
435,0.505393
435.25,0.505399
435.5,0.505392
435.75,0.505404
436,0.505423
436.25,0.505403
436.5,0.505409
436.75,0.505402
437,0.505421
437.25,0.50544
437.5,0.505427
437.75,0.505452
438,0.505459
438.25,0.505465
438.5,0.505491
438.75,0.505471
439,0.505444
439.25,0.505444
439.5,0.505437
439.75,0.505449
440,0.505475
440.25,0.505455
440.5,0.505441
440.75,0.505441
441,0.505421
441.25,0.505421
441.5,0.505401
441.75,0.505381
442,0.505381
442.25,0.505374
442.5,0.505354
442.75,0.505347
443,0.505334
443.25,0.50536
443.5,0.505359
443.75,0.505365
444,0.505332
444.25,0.505332
444.5,0.505319
444.75,0.505306
445,0.505286
445.25,0.505259
445.5,0.505259
445.75,0.505239
446,0.505232
446.25,0.505212
446.5,0.505192
446.75,0.505191
447,0.505191
447.25,0.505178
447.5,0.505178
447.75,0.505184
448,0.50519
448.25,0.505189
448.5,0.505202
448.75,0.505202
449,0.505195
449.25,0.505175
449.5,0.505156
449.75,0.505156
450,0.505129
450.25,0.505116
450.5,0.505108
450.75,0.505108
451,0.505107
451.25,0.505093
451.5,0.5051
451.75,0.5051
452,0.505119
452.25,0.505119
452.5,0.505112
452.75,0.505105
453,0.505092
453.25,0.505091
453.5,0.505091
453.75,0.505097
454,0.505071
454.25,0.505071
454.5,0.505064
454.75,0.505058
455,0.505051
455.25,0.505051
455.5,0.505044
455.75,0.50505
456,0.50505
456.25,0.505043
456.5,0.505049
456.75,0.505061
457,0.505041
457.25,0.505054
457.5,0.505059
457.75,0.505046
458,0.50504
458.25,0.505039
458.5,0.505032
458.75,0.505026
459,0.505026
459.25,0.505025
459.5,0.505051
459.75,0.505031
460,0.505038
460.25,0.50505
460.5,0.505037
460.75,0.505043
461,0.50503
461.25,0.50503
461.5,0.505043
461.75,0.505036
462,0.505036
462.25,0.505042
462.5,0.505042
462.75,0.505041
463,0.505035
463.25,0.505021
463.5,0.505015
463.75,0.505021
464,0.505028
464.25,0.505034
464.5,0.505027
464.75,0.50502
465,0.50504
465.25,0.505039
465.5,0.505039
465.75,0.505052
466,0.505039
466.25,0.505033
466.5,0.505033
466.75,0.505026
467,0.505013
467.25,0.505006
467.5,0.505013
467.75,0.505012
468,0.505006
468.25,0.505012
468.5,0.505006
468.75,0.505011
469,0.505003
469.25,0.505023
469.5,0.505022
469.75,0.505022
470,0.505022
470.25,0.505029
470.5,0.505041
470.75,0.505048
471,0.505041
471.25,0.505035
471.5,0.505028
471.75,0.505015
472,0.505015
472.25,0.505015
472.5,0.505002
472.75,0.505001
473,0.504995
473.25,0.505014
473.5,0.505014
473.75,0.505027
474,0.505026
474.25,0.50502
474.5,0.50502
474.75,0.505019
475,0.505019
475.25,0.505032
475.5,0.505032
475.75,0.505032
476,0.505045
476.25,0.505044
476.5,0.505031
476.75,0.505025
477,0.505031
477.25,0.505031
477.5,0.505024
477.75,0.505024
478,0.505024
478.25,0.505018
478.5,0.505011
478.75,0.505011
479,0.504998
479.25,0.504998
479.5,0.504998
479.75,0.505005
480,0.504985
480.25,0.504991
480.5,0.504998
480.75,0.504991
481,0.504991
481.25,0.504984
481.5,0.504971
481.75,0.504971
482,0.504945
482.25,0.504945
482.5,0.504945
482.75,0.504945
483,0.504938
483.25,0.504938
483.5,0.504945
483.75,0.504957
484,0.504957
484.25,0.504964
484.5,0.50497
484.75,0.504977
485,0.50497
485.25,0.504983
485.5,0.504969
485.75,0.504969
486,0.504956
486.25,0.504923
486.5,0.504923
486.75,0.504897
487,0.504897
487.25,0.504897
487.5,0.504884
487.75,0.504884
488,0.504877
488.25,0.504871
488.5,0.504871
488.75,0.504877
489,0.50487
489.25,0.50489
489.5,0.504883
489.75,0.504883
490,0.504883
490.25,0.504883
490.5,0.504883
490.75,0.504883
491,0.504869
491.25,0.504869
491.5,0.504863
491.75,0.504863
492,0.50485
492.25,0.504849
492.5,0.504856
492.75,0.504856
493,0.504842
493.25,0.504842
493.5,0.504849
493.75,0.504855
494,0.504868
494.25,0.504887
494.5,0.504893
494.75,0.5049
495,0.504913
495.25,0.504925
495.5,0.504932
495.75,0.504951
496,0.504944
496.25,0.504937
496.5,0.504937
496.75,0.50495
497,0.50495
497.25,0.504963
497.5,0.504963
497.75,0.504956
498,0.504962
498.25,0.504956
498.5,0.504975
498.75,0.504975
499,0.504975
499.25,0.504981
499.5,0.504981
499.75,0.504994
500,0.504987
500.25,0.504987
500.5,0.504987
500.75,0.504993
501,0.504999
501.25,0.505006
501.5,0.504999
501.75,0.504999
502,0.505005
502.25,0.504999
502.5,0.504999
502.75,0.504998
503,0.504998
503.25,0.504959
503.5,0.504926
503.75,0.504932
504,0.504925
504.25,0.504912
504.5,0.504905
504.75,0.504892
505,0.504905
505.25,0.50491
505.5,0.504897
505.75,0.504903
506,0.504903
506.25,0.504897
506.5,0.504909
506.75,0.504928
507,0.504915
507.25,0.504902
507.5,0.504934
507.75,0.504914
508,0.504913
508.25,0.504932
508.5,0.504906
508.75,0.504893
509,0.50488
509.25,0.504879
509.5,0.504859
509.75,0.50484
510,0.504846
510.25,0.504833
510.5,0.504839
510.75,0.504864
511,0.504838
511.25,0.504844
511.5,0.504824
511.75,0.504811
512,0.504785
512.25,0.504791
512.5,0.504778
512.75,0.50479
513,0.504803
513.25,0.504796
513.5,0.504789
513.75,0.504756
514,0.504756
514.25,0.504742
514.5,0.504768
514.75,0.50478
515,0.504793
515.25,0.504799
515.5,0.504792
515.75,0.504797
516,0.504803
516.25,0.504803
516.5,0.504796
516.75,0.504796
517,0.504803
517.25,0.504822
517.5,0.504834
517.75,0.504834
518,0.504827
518.25,0.504846
518.5,0.504813
518.75,0.504819
519,0.504832
519.25,0.504838
519.5,0.504831
519.75,0.504811
520,0.504831
520.25,0.504772
520.5,0.504791
520.75,0.504777
521,0.50479
521.25,0.50479
521.5,0.504777
521.75,0.504783
522,0.504795
522.25,0.504789
522.5,0.504788
522.75,0.504775
523,0.504781
523.25,0.504787
523.5,0.504794
523.75,0.5048
524,0.5048
524.25,0.504806
524.5,0.504806
524.75,0.504799
525,0.50478
525.25,0.504773
525.5,0.504773
525.75,0.504792
526,0.504791
526.25,0.504791
526.5,0.504804
526.75,0.50481
527,0.50481
527.25,0.504823
527.5,0.504809
527.75,0.504796
528,0.50479
528.25,0.50477
528.5,0.50475
528.75,0.504731
529,0.504743
529.25,0.504743
529.5,0.504737
529.75,0.504724
530,0.504749
530.25,0.504749
530.5,0.504736
530.75,0.504723
531,0.504722
531.25,0.504735
531.5,0.504728
531.75,0.504728
532,0.504728
532.25,0.504728
532.5,0.504715
532.75,0.504702
533,0.504689
533.25,0.504695
533.5,0.504682
533.75,0.504689
534,0.504701
534.25,0.504701
534.5,0.504707
534.75,0.504701
535,0.504701
535.25,0.5047
535.5,0.5047
535.75,0.5047
536,0.504726
536.25,0.504732
536.5,0.504732
536.75,0.504745
537,0.504738
537.25,0.504738
537.5,0.504744
537.75,0.504744
538,0.504744
538.25,0.504725
538.5,0.504731
538.75,0.504731
539,0.504731
539.25,0.504737
539.5,0.50475
539.75,0.50475
540,0.50475
540.25,0.50475
540.5,0.504782
540.75,0.504788
541,0.504794
541.25,0.5048
541.5,0.504807
541.75,0.504813
542,0.504793
542.25,0.5048
542.5,0.504812
542.75,0.504799
543,0.504793
543.25,0.504786
543.5,0.504786
543.75,0.504786
544,0.504793
544.25,0.504793
544.5,0.504792
544.75,0.504786
545,0.504792
545.25,0.504773
545.5,0.504773
545.75,0.504773
546,0.504773
546.25,0.504773
546.5,0.504773
546.75,0.504773
547,0.504773
547.25,0.504766
547.5,0.504759
547.75,0.504759
548,0.504759
548.25,0.504753
548.5,0.504739
548.75,0.504726
549,0.504726
549.25,0.504745
549.5,0.504745
549.75,0.504726
550,0.504719
550.25,0.504726
550.5,0.504726
550.75,0.504719
551,0.504686
551.25,0.504686
551.5,0.504673
551.75,0.504667
552,0.504673
552.25,0.504666
552.5,0.504666
552.75,0.504653
553,0.504647
553.25,0.504647
553.5,0.504647
553.75,0.50464
