Time,infections_by_new_infectives
165.25,290.749
165.5,297.822
165.75,291.226
166,328.924
166.25,251.515
166.5,276.19
166.75,266.07
167,345.272
167.25,331.543
167.5,145.925
167.75,308.424
168,265.66
168.25,316.557
168.5,293.252
168.75,430.199
169,247.731
169.25,263.392
169.5,373.783
169.75,287.391
170,291.437
170.25,245.367
170.5,233.086
170.75,266.907
171,358.495
171.25,333.791
171.5,408.973
171.75,343.772
172,410.912
172.25,353.063
172.5,263.06
172.75,433.982
173,279.639
173.25,319.614
173.5,288.865
173.75,358.489
174,343.033
174.25,251.796
174.5,278.778
174.75,283.47
175,346.41
175.25,355.131
175.5,379.952
175.75,320.239
176,273.871
176.25,343.927
176.5,276.061
176.75,202.202
177,295.736
177.25,299.371
177.5,289.421
177.75,303.618
178,358.73
178.25,400.571
178.5,215.24
178.75,297.542
179,273.173
179.25,423.884
179.5,282.39
179.75,327.714
180,425.043
180.25,332.871
180.5,339.195
180.75,246.066
181,349.415
181.25,346.514
181.5,285.984
181.75,317.324
182,396.764
182.25,428.295
182.5,304.534
182.75,288.613
183,388.008
183.25,336.872
183.5,272.117
183.75,283.478
184,286.233
184.25,310.646
184.5,278.133
184.75,232.533
185,322.558
185.25,380.318
185.5,331.837
185.75,352.048
186,282.345
186.25,412.443
186.5,324.086
186.75,338.263
187,342.027
187.25,349.252
187.5,329.575
187.75,237.277
188,342.583
188.25,346.434
188.5,299.211
188.75,305.753
189,281.024
189.25,281.936
189.5,318.399
189.75,259.296
190,263.368
190.25,307.036
190.5,256.439
190.75,228.394
191,336.735
191.25,291.342
191.5,286.229
191.75,280.423
192,317.149
192.25,319.899
192.5,278.35
192.75,388.018
193,400.366
193.25,322.36
193.5,330.554
193.75,403.223
194,325.664
194.25,265.95
194.5,322.365
194.75,263.951
195,255.673
195.25,278.835
195.5,183.604
195.75,429.109
196,250.166
196.25,261.18
196.5,266.537
196.75,277.555
197,256.414
197.25,212.4
197.5,260.002
197.75,302.05
198,232.043
198.25,244.623
198.5,283.319
198.75,225.707
199,292.402
199.25,228.477
199.5,347.12
199.75,280.487
200,291.623
200.25,377.717
200.5,240.896
200.75,242.177
201,262.939
201.25,201.833
201.5,310.893
201.75,194.317
202,325.161
202.25,224.446
202.5,200.793
202.75,291.677
203,289.339
203.25,218.341
203.5,310.981
203.75,296.851
204,323.439
204.25,217.461
204.5,276.849
204.75,150.91
205,229.092
205.25,326.952
205.5,201.338
205.75,316.809
206,288.253
206.25,290.834
206.5,321.563
206.75,304.325
207,283.666
207.25,246.33
207.5,264.442
207.75,300.831
208,305.082
208.25,316.772
208.5,310.603
208.75,191.038
209,272.919
209.25,231.801
209.5,295.492
209.75,257.433
210,301.307
210.25,297.417
210.5,344.023
210.75,333.547
211,261.053
211.25,277.381
211.5,242.927
211.75,254.721
212,305.497
212.25,221.939
212.5,380.644
212.75,243.423
213,261.566
213.25,317.048
213.5,218.114
213.75,218.887
214,292.725
214.25,271.697
214.5,295.84
214.75,281.929
215,419.753
215.25,287.636
215.5,245.019
215.75,518.436
216,266.87
216.25,377.962
216.5,233.794
216.75,219.573
217,276.791
217.25,171.611
217.5,329.177
217.75,281.889
218,299.8
218.25,341.11
218.5,293.215
218.75,287.243
219,190.584
219.25,282.039
219.5,274.907
219.75,254.151
220,189.005
220.25,233.932
220.5,281.126
220.75,221.246
221,251.377
221.25,247.933
221.5,205.548
221.75,276.669
222,229.013
222.25,213.02
222.5,243.878
222.75,311.194
223,220.687
223.25,265.26
223.5,254.044
223.75,157.254
224,297.397
224.25,195.089
224.5,310.311
224.75,310.908
225,356.19
225.25,332.431
225.5,305.905
225.75,313.671
226,221.191
226.25,261.33
226.5,311.474
226.75,261.355
227,227.668
227.25,294.499
227.5,372.356
227.75,234.908
228,205.862
228.25,319.841
228.5,148.9
228.75,268.854
229,242.21
229.25,310.389
229.5,213.712
229.75,192.416
230,329.164
230.25,220.687
230.5,280.402
230.75,155.996
231,295.901
231.25,258.613
231.5,228.72
231.75,210.428
232,285.797
232.25,246.563
232.5,319.112
232.75,316.892
233,262.439
233.25,249.279
233.5,266.824
233.75,235.292
234,200.888
234.25,187.601
234.5,211.571
234.75,226.336
235,218.098
235.25,179.038
235.5,219.724
235.75,288.698
236,191.436
236.25,197.869
236.5,149.83
