Time,cumulative_mean_fraction_lambda_H
194.75,0.36262
195,0.362696
195.25,0.362674
195.5,0.362804
195.75,0.363038
196,0.363237
196.25,0.36334
196.5,0.363482
196.75,0.363541
197,0.363791
197.25,0.363899
197.5,0.363814
197.75,0.3637
198,0.36375
198.25,0.363644
198.5,0.363656
198.75,0.363745
199,0.363743
199.25,0.363712
199.5,0.363656
199.75,0.363702
200,0.363715
200.25,0.363868
200.5,0.363757
200.75,0.363895
201,0.36374
201.25,0.36391
201.5,0.363987
201.75,0.364011
202,0.363977
202.25,0.364001
202.5,0.363794
202.75,0.363805
203,0.363727
203.25,0.363758
203.5,0.363748
203.75,0.363714
204,0.363898
204.25,0.363892
204.5,0.36397
204.75,0.363783
205,0.363771
205.25,0.363871
205.5,0.363821
205.75,0.363869
206,0.363905
206.25,0.363979
206.5,0.363935
206.75,0.363853
207,0.363777
207.25,0.363831
207.5,0.36377
207.75,0.363755
208,0.363796
208.25,0.363828
208.5,0.363807
208.75,0.363872
209,0.363875
209.25,0.363977
209.5,0.36394
209.75,0.36399
210,0.36395
210.25,0.363937
210.5,0.363927
210.75,0.363835
211,0.363821
211.25,0.363723
211.5,0.36354
211.75,0.363532
212,0.363477
212.25,0.363517
212.5,0.363548
212.75,0.36343
213,0.363335
213.25,0.36332
213.5,0.363269
213.75,0.363341
214,0.363421
214.25,0.363429
214.5,0.363478
214.75,0.363414
215,0.363425
215.25,0.363405
215.5,0.363346
215.75,0.363249
216,0.363234
216.25,0.363387
216.5,0.363393
216.75,0.363391
217,0.363442
217.25,0.363418
217.5,0.363404
217.75,0.363302
218,0.363324
218.25,0.363295
218.5,0.363345
218.75,0.363452
219,0.363623
219.25,0.363609
219.5,0.363681
219.75,0.36364
220,0.363616
220.25,0.363585
220.5,0.363659
220.75,0.363623
221,0.36368
221.25,0.363773
221.5,0.363743
221.75,0.363882
222,0.36381
222.25,0.363821
222.5,0.363982
222.75,0.363741
223,0.363735
223.25,0.363822
223.5,0.363793
223.75,0.363814
224,0.363891
224.25,0.363945
224.5,0.363945
224.75,0.363862
225,0.363979
225.25,0.363959
225.5,0.364024
225.75,0.364057
226,0.364181
226.25,0.36426
226.5,0.364355
226.75,0.364566
