Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
480,2,4,2594,1,294
481,2,3,2594,1,294
482,7,2,2594,1,294
483,2,2,2594,1,294
484,3,1,2594,1,294
485,4,1,2594,1,294
486,2,1,2594,1,294
487,4,1,2594,1,294
488,0,1,2595,0,294
489,4,2,2596,0,294
490,2,2,2596,0,294
491,5,3,2597,0,294
492,3,4,2598,0,294
493,4,4,2598,0,294
494,4,4,2598,0,294
495,5,5,2599,0,294
496,4,4,2599,0,294
497,5,3,2599,1,294
498,3,3,2599,1,294
499,2,2,2599,1,294
500,7,1,2599,1,294
501,3,1,2599,1,294
502,3,1,2599,1,294
503,7,1,2600,1,294
504,4,1,2600,1,294
505,5,1,2600,0,294
506,6,1,2600,0,294
507,7,1,2600,0,294
508,8,2,2601,0,294
509,9,2,2601,0,294
510,10,3,2602,0,294
511,8,3,2603,1,294
512,10,3,2603,1,294
513,6,4,2604,1,294
514,11,4,2604,1,294
515,12,6,2606,1,294
516,8,5,2606,1,294
517,13,8,2609,1,294
518,13,8,2610,1,294
519,13,8,2611,0,295
520,2,9,2612,0,295
521,6,9,2613,0,295
522,14,9,2613,0,295
523,10,8,2614,0,295
524,6,8,2614,0,295
525,4,5,2614,1,295
526,5,5,2615,1,295
527,8,5,2616,1,295
528,6,6,2618,1,295
529,5,5,2618,1,295
530,8,6,2619,1,295
531,8,5,2619,1,295
532,6,5,2619,1,295
533,5,5,2619,0,296
534,7,8,2623,0,296
535,5,7,2623,0,296
536,3,5,2623,0,296
537,6,5,2623,0,296
538,3,6,2625,0,296
539,3,8,2627,0,296
540,2,8,2627,0,296
541,3,8,2627,0,296
542,6,4,2627,1,296
543,2,4,2627,1,296
544,2,4,2627,1,296
545,2,4,2627,1,296
546,3,2,2627,2,296
547,5,0,2627,2,296
548,4,0,2627,2,296
549,1,2,2629,2,296
550,3,2,2629,1,297
551,3,2,2629,1,297
552,3,2,2629,1,297
553,6,3,2630,1,297
554,3,3,2630,0,297
555,2,4,2631,0,297
556,3,5,2632,0,297
557,4,3,2632,0,297
558,2,4,2633,0,297
559,1,4,2633,0,297
560,3,4,2633,0,297
561,2,3,2633,0,297
562,3,3,2633,0,297
563,1,2,2633,0,297
564,3,3,2635,1,297
565,1,3,2635,1,297
566,4,2,2635,2,297
567,2,2,2635,2,297
568,0,2,2635,2,297
569,2,2,2635,2,297
570,3,2,2635,2,297
571,3,2,2635,2,297
572,3,0,2635,2,298
573,1,0,2635,2,298
574,1,0,2635,1,299
575,2,0,2635,1,299
576,3,0,2635,1,299
577,1,0,2635,1,299
578,3,0,2635,1,299
579,2,1,2636,1,299
580,1,1,2636,0,299
581,2,1,2636,0,299
582,1,1,2636,0,299
583,3,1,2636,0,299
584,1,1,2636,0,299
585,3,1,2636,0,299
586,1,1,2636,0,299
587,0,0,2636,1,299
588,0,0,2636,1,299
589,0,0,2636,1,299
590,0,0,2636,1,299
591,2,0,2636,1,299
592,0,0,2636,1,299
593,1,0,2636,1,299
594,0,0,2636,1,299
595,0,0,2636,0,300
596,2,0,2636,0,300
