Time,cumulative_mean_fraction_lambda_C
178.25,0.136874
178.5,0.136874
178.75,0.136874
179,0.136874
179.25,0.136874
179.5,0.136874
179.75,0.136874
180,0.136874
180.25,0.136874
180.5,0.136874
180.75,0.136874
181,0.136874
181.25,0.136874
181.5,0.136874
181.75,0.136874
182,0.136874
182.25,0.136874
182.5,0.136874
182.75,0.136874
183,0.136874
183.25,0.136874
183.5,0.136874
183.75,0.136874
184,0.136874
184.25,0.136874
184.5,0.136874
184.75,0.136874
185,0.136874
185.25,0.136874
185.5,0.136874
185.75,0.136874
186,0.136874
186.25,0.136874
186.5,0.136874
186.75,0.136874
187,0.136874
187.25,0.136874
187.5,0.136874
187.75,0.136874
188,0.136874
188.25,0.136874
188.5,0.136874
188.75,0.136874
189,0.136874
189.25,0.136874
189.5,0.136874
189.75,0.136874
190,0.136874
190.25,0.136874
190.5,0.136874
190.75,0.136874
191,0.136874
191.25,0.136874
191.5,0.136874
191.75,0.136874
192,0.136874
192.25,0.136874
192.5,0.136874
192.75,0.136874
193,0.136874
193.25,0.136874
193.5,0.136874
193.75,0.136874
194,0.136874
194.25,0.136874
194.5,0.136874
194.75,0.136874
195,0.136874
195.25,0.136874
195.5,0.136874
195.75,0.136874
196,0.136874
196.25,0.136874
196.5,0.136874
196.75,0.136874
197,0.136874
197.25,0.136874
197.5,0.136874
197.75,0.136874
198,0.136874
198.25,0.136874
198.5,0.136874
198.75,0.136874
199,0.136874
199.25,0.136874
199.5,0.136874
199.75,0.136874
200,0.136874
200.25,0.136874
200.5,0.136874
200.75,0.136874
201,0.136874
201.25,0.136874
201.5,0.136874
201.75,0.136874
202,0.136874
202.25,0.136874
202.5,0.136874
202.75,0.136874
203,0.136874
203.25,0.136874
203.5,0.136874
203.75,0.136874
204,0.136874
204.25,0.136874
204.5,0.136874
204.75,0.136874
205,0.136874
205.25,0.136874
205.5,0.136874
205.75,0.136874
206,0.136874
206.25,0.136874
206.5,0.136874
206.75,0.136874
207,0.136874
207.25,0.136874
207.5,0.136874
207.75,0.136874
208,0.136874
208.25,0.136874
208.5,0.136874
208.75,0.136874
209,0.136874
209.25,0.136874
209.5,0.136874
209.75,0.136874
210,0.136874
210.25,0.136874
210.5,0.136874
210.75,0.136874
211,0.136874
211.25,0.136874
211.5,0.136874
211.75,0.136874
212,0.136874
212.25,0.136874
212.5,0.136874
212.75,0.136874
213,0.136874
213.25,0.136874
213.5,0.136874
213.75,0.136874
214,0.136874
214.25,0.136874
214.5,0.136874
214.75,0.136874
215,0.136874
215.25,0.136874
215.5,0.136874
215.75,0.136874
216,0.136874
216.25,0.136874
216.5,0.136874
216.75,0.136874
217,0.136874
217.25,0.136874
217.5,0.136874
217.75,0.136874
218,0.136874
218.25,0.136874
218.5,0.136874
218.75,0.136874
219,0.136874
219.25,0.136874
219.5,0.136874
219.75,0.136874
220,0.136874
220.25,0.136874
220.5,0.136874
220.75,0.136874
221,0.136874
221.25,0.136874
221.5,0.136874
221.75,0.136874
222,0.136874
222.25,0.136874
222.5,0.136874
222.75,0.136874
223,0.136874
223.25,0.136874
223.5,0.136874
223.75,0.136874
224,0.136874
224.25,0.136874
224.5,0.136874
224.75,0.136874
225,0.136874
225.25,0.136874
225.5,0.136874
225.75,0.136874
226,0.136874
226.25,0.136874
226.5,0.136874
226.75,0.136874
227,0.136874
227.25,0.136874
227.5,0.136874
227.75,0.136874
228,0.136874
228.25,0.136874
228.5,0.136874
228.75,0.136874
229,0.136874
229.25,0.136874
229.5,0.136874
229.75,0.136874
230,0.136874
230.25,0.136874
230.5,0.136874
230.75,0.136874
231,0.136874
231.25,0.136874
231.5,0.136874
231.75,0.136874
232,0.136874
232.25,0.136874
232.5,0.136874
232.75,0.136874
233,0.136874
233.25,0.136874
233.5,0.136874
233.75,0.136874
234,0.136874
234.25,0.136874
234.5,0.136874
234.75,0.136874
235,0.136874
235.25,0.136874
235.5,0.136874
235.75,0.136874
236,0.136874
236.25,0.136874
236.5,0.136874
236.75,0.136874
237,0.136874
237.25,0.136874
237.5,0.136874
237.75,0.136874
238,0.136874
238.25,0.136874
238.5,0.136874
238.75,0.136874
239,0.136874
239.25,0.136874
239.5,0.136874
239.75,0.136874
240,0.136874
240.25,0.136874
240.5,0.136874
240.75,0.136874
241,0.136874
241.25,0.136874
241.5,0.136874
241.75,0.136874
242,0.136874
242.25,0.136874
242.5,0.136874
242.75,0.136874
243,0.136874
243.25,0.136874
243.5,0.136874
243.75,0.136874
244,0.136874
244.25,0.136874
244.5,0.136874
244.75,0.136874
245,0.136874
245.25,0.136874
245.5,0.136874
245.75,0.136874
246,0.136874
246.25,0.136874
246.5,0.136874
246.75,0.136874
247,0.136874
247.25,0.136874
247.5,0.136874
247.75,0.136874
248,0.136874
248.25,0.136874
248.5,0.136874
248.75,0.136874
249,0.136874
249.25,0.136874
249.5,0.136874
249.75,0.136874
250,0.136874
250.25,0.136874
250.5,0.136874
250.75,0.136874
251,0.136874
251.25,0.136874
251.5,0.136874
251.75,0.136874
252,0.136874
252.25,0.136874
252.5,0.136874
252.75,0.136874
253,0.136874
253.25,0.136874
253.5,0.136874
253.75,0.136874
254,0.136874
254.25,0.136874
254.5,0.136874
254.75,0.136874
255,0.136874
255.25,0.136874
255.5,0.136874
255.75,0.136874
256,0.136874
256.25,0.136874
256.5,0.136874
256.75,0.136874
257,0.136874
257.25,0.136874
257.5,0.136874
257.75,0.136874
258,0.136874
258.25,0.136874
258.5,0.136874
258.75,0.136874
259,0.136874
259.25,0.136874
259.5,0.136874
259.75,0.136874
260,0.136874
260.25,0.136874
260.5,0.136874
260.75,0.136874
261,0.136874
261.25,0.136874
261.5,0.136874
261.75,0.136874
262,0.136874
262.25,0.136874
262.5,0.136874
262.75,0.136874
263,0.136874
263.25,0.136874
263.5,0.136874
263.75,0.136874
264,0.136874
264.25,0.136874
264.5,0.136874
264.75,0.136874
265,0.136874
265.25,0.136874
265.5,0.136874
265.75,0.136874
266,0.136874
266.25,0.136874
266.5,0.136874
266.75,0.136874
267,0.136874
267.25,0.136874
267.5,0.136874
267.75,0.136874
268,0.136874
268.25,0.136874
268.5,0.136874
268.75,0.136874
269,0.136874
269.25,0.136874
269.5,0.136874
269.75,0.136874
270,0.136874
270.25,0.136874
270.5,0.136874
270.75,0.136874
271,0.136874
271.25,0.136874
271.5,0.136874
271.75,0.136874
272,0.136874
272.25,0.136874
