Time,cumulative_mean_fraction_lambda_H
190.75,0.372026
191,0.372026
191.25,0.372026
191.5,0.372026
191.75,0.372026
192,0.372026
192.25,0.372026
192.5,0.372026
192.75,0.372026
193,0.372026
193.25,0.372026
193.5,0.372026
193.75,0.372026
194,0.372026
194.25,0.372026
194.5,0.372026
194.75,0.372026
195,0.372026
195.25,0.372026
195.5,0.372026
195.75,0.372026
196,0.372026
196.25,0.372026
196.5,0.372026
196.75,0.372026
197,0.372026
197.25,0.372026
197.5,0.372026
197.75,0.372026
198,0.372026
198.25,0.372026
198.5,0.372026
198.75,0.372026
199,0.372026
199.25,0.372026
199.5,0.372026
199.75,0.372026
200,0.372026
200.25,0.372026
200.5,0.372026
200.75,0.372026
201,0.372026
201.25,0.372026
201.5,0.372026
201.75,0.372026
202,0.372026
202.25,0.372026
202.5,0.372026
202.75,0.372026
203,0.372026
203.25,0.372026
203.5,0.372026
203.75,0.372026
204,0.372026
204.25,0.372026
204.5,0.372026
204.75,0.372026
205,0.372026
205.25,0.372026
205.5,0.372026
205.75,0.372026
206,0.372026
206.25,0.372026
206.5,0.372026
206.75,0.372026
207,0.372026
207.25,0.372026
207.5,0.372026
207.75,0.372026
208,0.372026
208.25,0.372026
208.5,0.372026
208.75,0.372026
209,0.372026
209.25,0.372026
209.5,0.372026
209.75,0.372026
210,0.372026
210.25,0.372026
210.5,0.372026
210.75,0.372026
211,0.372026
211.25,0.372026
211.5,0.372026
211.75,0.372026
212,0.372026
212.25,0.372026
212.5,0.372026
212.75,0.372026
213,0.372026
213.25,0.372026
213.5,0.372026
213.75,0.372026
214,0.372026
214.25,0.372026
214.5,0.372026
214.75,0.372026
215,0.372026
215.25,0.372026
215.5,0.372026
215.75,0.372026
216,0.372026
216.25,0.372026
216.5,0.372026
216.75,0.372026
217,0.372026
217.25,0.372026
217.5,0.372026
217.75,0.372026
218,0.372026
218.25,0.372026
218.5,0.372026
218.75,0.372026
219,0.372026
219.25,0.372026
219.5,0.372026
219.75,0.372026
220,0.372026
220.25,0.372026
220.5,0.372026
220.75,0.372026
221,0.372026
221.25,0.372026
221.5,0.372026
221.75,0.372026
222,0.372026
222.25,0.372026
222.5,0.372026
222.75,0.372026
223,0.372026
223.25,0.372026
223.5,0.372026
223.75,0.372026
224,0.372026
224.25,0.372026
224.5,0.372026
224.75,0.372026
225,0.372026
225.25,0.372026
225.5,0.372026
225.75,0.372026
226,0.372026
226.25,0.372026
226.5,0.372026
226.75,0.372026
227,0.372026
227.25,0.372026
227.5,0.372026
227.75,0.372026
228,0.372026
228.25,0.372026
228.5,0.372026
228.75,0.372026
229,0.372026
229.25,0.372026
229.5,0.372026
229.75,0.372026
230,0.372026
230.25,0.372026
230.5,0.372026
230.75,0.372026
231,0.372026
231.25,0.372026
231.5,0.372026
231.75,0.372026
232,0.372026
232.25,0.372026
232.5,0.372026
232.75,0.372026
233,0.372026
233.25,0.372026
233.5,0.372026
233.75,0.372026
234,0.372026
234.25,0.372026
234.5,0.372026
234.75,0.372026
235,0.372026
235.25,0.372026
235.5,0.372026
235.75,0.372026
236,0.372026
236.25,0.372026
236.5,0.372026
236.75,0.372026
237,0.372026
237.25,0.372026
237.5,0.372026
237.75,0.372026
238,0.372026
238.25,0.372026
238.5,0.372026
238.75,0.372026
239,0.372026
239.25,0.372026
239.5,0.372026
239.75,0.372026
240,0.372026
240.25,0.372026
240.5,0.372026
240.75,0.372026
241,0.372026
241.25,0.372026
241.5,0.372026
241.75,0.372026
242,0.372026
242.25,0.372026
242.5,0.372026
242.75,0.372026
243,0.372026
243.25,0.372026
243.5,0.372026
243.75,0.372026
244,0.372026
244.25,0.372026
244.5,0.372026
244.75,0.372026
245,0.372026
245.25,0.372026
245.5,0.372026
245.75,0.372026
246,0.372026
246.25,0.372026
246.5,0.372026
246.75,0.372026
247,0.372026
247.25,0.372026
247.5,0.372026
247.75,0.372026
248,0.372026
248.25,0.372026
248.5,0.372026
248.75,0.372026
249,0.372026
249.25,0.372026
249.5,0.372026
249.75,0.372026
250,0.372026
250.25,0.372026
250.5,0.372026
250.75,0.372026
251,0.372026
251.25,0.372026
251.5,0.372026
251.75,0.372026
252,0.372026
252.25,0.372026
252.5,0.372026
252.75,0.372026
253,0.372026
253.25,0.372026
253.5,0.372026
253.75,0.372026
254,0.372026
254.25,0.372026
254.5,0.372026
254.75,0.372026
255,0.372026
255.25,0.372026
255.5,0.372026
255.75,0.372026
256,0.372026
256.25,0.372026
256.5,0.372026
256.75,0.372026
257,0.372026
257.25,0.372026
257.5,0.372026
257.75,0.372026
258,0.372026
258.25,0.372026
258.5,0.372026
258.75,0.372026
259,0.372026
259.25,0.372026
259.5,0.372026
259.75,0.372026
260,0.372026
260.25,0.372026
260.5,0.372026
260.75,0.372026
261,0.372026
261.25,0.372026
261.5,0.372026
261.75,0.372026
262,0.372026
262.25,0.372026
262.5,0.372026
262.75,0.372026
263,0.372026
263.25,0.372026
263.5,0.372026
263.75,0.372026
264,0.372026
264.25,0.372026
264.5,0.372026
264.75,0.372026
265,0.372026
265.25,0.372026
265.5,0.372026
265.75,0.372026
266,0.372026
266.25,0.372026
266.5,0.372026
266.75,0.372026
267,0.372026
267.25,0.372026
267.5,0.372026
267.75,0.372026
268,0.372026
268.25,0.372026
268.5,0.372026
268.75,0.372026
269,0.372026
269.25,0.372026
269.5,0.372026
269.75,0.372026
270,0.372026
270.25,0.372026
270.5,0.372026
270.75,0.372026
271,0.372026
271.25,0.372026
271.5,0.372026
271.75,0.372026
272,0.372026
272.25,0.372026
272.5,0.372026
272.75,0.372026
273,0.372026
273.25,0.372026
273.5,0.372026
273.75,0.372026
274,0.372026
274.25,0.372026
274.5,0.372026
274.75,0.372026
275,0.372026
275.25,0.372026
275.5,0.372026
275.75,0.372026
276,0.372026
276.25,0.372026
276.5,0.372026
276.75,0.372026
277,0.372026
277.25,0.372026
277.5,0.372026
277.75,0.372026
278,0.372026
278.25,0.372026
278.5,0.372026
278.75,0.372026
279,0.372026
279.25,0.372026
279.5,0.372026
279.75,0.372026
280,0.372026
280.25,0.372026
280.5,0.372026
280.75,0.372026
281,0.372026
281.25,0.372026
281.5,0.372026
281.75,0.372026
282,0.372026
282.25,0.372026
282.5,0.372026
282.75,0.372026
283,0.372026
283.25,0.372026
283.5,0.372026
283.75,0.372026
284,0.372026
284.25,0.372026
284.5,0.372026
284.75,0.372026
285,0.372026
285.25,0.372026
285.5,0.372026
285.75,0.372026
286,0.372026
286.25,0.372026
286.5,0.372026
286.75,0.372026
287,0.372026
287.25,0.372026
287.5,0.372026
287.75,0.372026
288,0.372026
288.25,0.372026
288.5,0.372026
288.75,0.372026
289,0.372026
289.25,0.372026
289.5,0.372026
289.75,0.372026
290,0.372026
290.25,0.372026
290.5,0.372026
290.75,0.372026
291,0.372026
291.25,0.372026
291.5,0.372026
291.75,0.372026
292,0.372026
292.25,0.372026
292.5,0.372026
292.75,0.372026
293,0.372026
293.25,0.372026
293.5,0.372026
