Time,normal_interactions,curtailed_interactions
148,659953,447688
148.25,659953,447688
148.5,659953,447688
148.75,659953,447688
149,659953,447688
149.25,659953,447688
149.5,659953,447688
149.75,659953,447688
150,659953,447688
150.25,659953,447688
150.5,659953,447688
150.75,659953,447688
151,659953,447688
151.25,659953,447688
151.5,659953,447688
151.75,659953,447688
152,659953,447688
152.25,659953,447688
152.5,659953,447688
152.75,659953,447688
153,659953,447688
153.25,659953,447688
153.5,659953,447688
153.75,659953,447688
154,659953,447688
154.25,659953,447688
154.5,659953,447688
154.75,659953,447688
155,659953,447688
155.25,659953,447688
155.5,659953,447688
155.75,659953,447688
156,659953,447688
156.25,659953,447688
156.5,659953,447688
156.75,659953,447688
157,659953,447688
157.25,659953,447688
157.5,659953,447688
157.75,659953,447688
158,659953,447688
158.25,659953,447688
158.5,659953,447688
158.75,659953,447688
159,659953,447688
159.25,659953,447688
159.5,659953,447688
159.75,659953,447688
160,659953,447688
160.25,659953,447688
160.5,659953,447688
160.75,659953,447688
161,659953,447688
161.25,659953,447688
161.5,659953,447688
161.75,659953,447688
162,659953,447688
162.25,659953,447688
162.5,659953,447688
162.75,659953,447688
163,659953,447688
163.25,659953,447688
163.5,659953,447688
163.75,659953,447688
164,659953,447688
164.25,659953,447688
164.5,659953,447688
164.75,659953,447688
165,659953,447688
165.25,659953,447688
165.5,659953,447688
165.75,659953,447688
166,659953,447688
166.25,659953,447688
166.5,659953,447688
166.75,659953,447688
167,659953,447688
167.25,659953,447688
167.5,659953,447688
167.75,659953,447688
168,659953,447688
168.25,659953,447688
168.5,659953,447688
168.75,659953,447688
169,659953,447688
169.25,659953,447688
169.5,659953,447688
169.75,659953,447688
170,659953,447688
170.25,659953,447688
170.5,659953,447688
170.75,659953,447688
171,659953,447688
171.25,659953,447688
171.5,659953,447688
171.75,659953,447688
172,659953,447688
172.25,659953,447688
172.5,659953,447688
172.75,659953,447688
173,659953,447688
173.25,659953,447688
173.5,659953,447688
173.75,659953,447688
174,659953,447688
174.25,659953,447688
174.5,659953,447688
174.75,659953,447688
175,659953,447688
175.25,659953,447688
175.5,659953,447688
175.75,659953,447688
176,659953,447688
176.25,659953,447688
176.5,659953,447688
176.75,659953,447688
177,659953,447688
177.25,659953,447688
177.5,659953,447688
177.75,659953,447688
178,659953,447688
178.25,659953,447688
178.5,659953,447688
178.75,659953,447688
179,659953,447688
179.25,659953,447688
179.5,659953,447688
179.75,659953,447688
180,659953,447688
180.25,659953,447688
180.5,659953,447688
180.75,659953,447688
181,659953,447688
181.25,659953,447688
181.5,659953,447688
181.75,659953,447688
182,659953,447688
182.25,659953,447688
182.5,659953,447688
182.75,659953,447688
183,659953,447688
183.25,659953,447688
183.5,659953,447688
183.75,659953,447688
184,659953,447688
184.25,659953,447688
184.5,659953,447688
184.75,659953,447688
185,659953,447688
185.25,659953,447688
185.5,659953,447688
185.75,659953,447688
186,659953,447688
186.25,659953,447688
186.5,659953,447688
186.75,659953,447688
187,659953,447688
187.25,659953,447688
187.5,659953,447688
187.75,659953,447688
188,659953,447688
188.25,659953,447688
188.5,659953,447688
188.75,659953,447688
189,659953,447688
189.25,659953,447688
189.5,659953,447688
189.75,659953,447688
190,659953,447688
190.25,659953,447688
190.5,659953,447688
190.75,659953,447688
191,659953,447688
191.25,659953,447688
191.5,659953,447688
191.75,659953,447688
192,659953,447688
192.25,659953,447688
192.5,659953,447688
192.75,659953,447688
193,659953,447688
193.25,659953,447688
193.5,659953,447688
193.75,659953,447688
194,659953,447688
194.25,659953,447688
194.5,659953,447688
194.75,659953,447688
195,659953,447688
195.25,659953,447688
195.5,659953,447688
195.75,659953,447688
196,659953,447688
196.25,659953,447688
196.5,659953,447688
196.75,659953,447688
197,659953,447688
197.25,659953,447688
197.5,659953,447688
197.75,659953,447688
198,659953,447688
198.25,659953,447688
198.5,659953,447688
198.75,659953,447688
199,659953,447688
199.25,659953,447688
199.5,659953,447688
199.75,659953,447688
200,659953,447688
200.25,659953,447688
200.5,659953,447688
200.75,659953,447688
201,659953,447688
201.25,659953,447688
201.5,659953,447688
201.75,659953,447688
202,659953,447688
202.25,659953,447688
202.5,659953,447688
202.75,659953,447688
203,659953,447688
203.25,659953,447688
203.5,659953,447688
203.75,659953,447688
204,659953,447688
204.25,659953,447688
204.5,659953,447688
204.75,659953,447688
205,659953,447688
205.25,659953,447688
