Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
492,0,0,0,350,0,51
493,0,0,0,350,0,51
494,0,0,0,350,0,51
495,0,0,0,350,0,51
496,0,0,0,350,0,51
497,0,0,0,350,0,51
498,0,0,0,350,0,51
499,0,0,0,350,0,51
500,0,0,0,350,0,51
501,0,0,0,350,0,51
502,0,0,0,350,0,51
503,0,0,0,350,0,51
504,0,0,0,350,0,51
505,0,0,0,350,0,51
506,0,0,0,350,0,51
507,0,0,0,350,0,51
508,0,0,0,350,0,51
509,0,0,0,350,0,51
510,0,0,0,350,0,51
511,0,0,0,350,0,51
512,0,0,0,350,0,51
513,0,0,0,350,0,51
514,0,0,0,350,0,51
515,0,0,0,350,0,51
516,0,0,0,350,0,51
517,0,0,0,350,0,51
518,0,0,0,350,0,51
519,0,0,0,350,0,51
520,0,0,0,350,0,51
521,0,0,0,350,0,51
522,0,0,0,350,0,51
523,0,0,0,350,0,51
524,0,0,0,350,0,51
525,0,0,0,350,0,51
526,0,0,0,350,0,51
527,0,0,0,350,0,51
528,0,0,0,350,0,51
529,0,0,0,350,0,51
530,0,0,0,350,0,51
531,0,0,0,350,0,51
532,0,0,0,350,0,51
533,0,0,0,350,0,51
534,0,0,0,350,0,51
535,0,0,0,350,0,51
536,0,0,0,350,0,51
537,0,0,0,350,0,51
538,0,0,0,350,0,51
539,0,0,0,350,0,51
540,0,0,0,350,0,51
541,0,0,0,350,0,51
542,0,0,0,350,0,51
543,0,0,0,350,0,51
544,0,0,0,350,0,51
545,0,0,0,350,0,51
546,0,0,0,350,0,51
547,0,0,0,350,0,51
548,0,0,0,350,0,51
549,0,0,0,350,0,51
550,0,0,0,350,0,51
551,0,0,0,350,0,51
552,0,0,0,350,0,51
553,0,0,0,350,0,51
554,0,0,0,350,0,51
555,0,0,0,350,0,51
556,0,0,0,350,0,51
557,0,0,0,350,0,51
558,0,0,0,350,0,51
559,0,0,0,350,0,51
560,0,0,0,350,0,51
561,0,0,0,350,0,51
562,0,0,0,350,0,51
563,0,0,0,350,0,51
564,0,0,0,350,0,51
565,0,0,0,350,0,51
566,0,0,0,350,0,51
567,0,0,0,350,0,51
568,0,0,0,350,0,51
569,0,0,0,350,0,51
570,0,0,0,350,0,51
571,0,0,0,350,0,51
572,0,0,0,350,0,51
573,0,0,0,350,0,51
574,0,0,0,350,0,51
575,0,0,0,350,0,51
576,0,0,0,350,0,51
577,0,0,0,350,0,51
578,0,0,0,350,0,51
579,0,0,0,350,0,51
580,0,0,0,350,0,51
581,0,0,0,350,0,51
582,0,0,0,350,0,51
583,0,0,0,350,0,51
584,0,0,0,350,0,51
585,0,0,0,350,0,51
586,0,0,0,350,0,51
587,0,0,0,350,0,51
588,0,0,0,350,0,51
589,0,0,0,350,0,51
590,0,0,0,350,0,51
591,0,0,0,350,0,51
592,0,0,0,350,0,51
593,0,0,0,350,0,51
594,0,0,0,350,0,51
595,0,0,0,350,0,51
596,0,0,0,350,0,51
