Time,normal_interactions,curtailed_interactions
135.25,640557,640557
135.5,640426,640426
135.75,640296,640296
136,640143,640143
136.25,640012,640012
136.5,640001,640001
136.75,639875,639875
137,639745,639745
137.25,639563,639563
137.5,639377,639377
137.75,639204,639204
138,639163,639163
138.25,639050,639050
138.5,638899,638899
138.75,638741,638741
139,638596,638596
139.25,638471,638471
139.5,638283,638283
139.75,638196,638196
140,638100,638100
140.25,637971,637971
140.5,637879,637879
140.75,637747,637747
141,637698,637698
141.25,637550,637550
141.5,637460,637460
141.75,637354,637354
142,637329,637329
142.25,637208,637208
142.5,637128,637128
142.75,637023,637023
143,636839,636839
143.25,636717,636717
143.5,636575,636575
143.75,636539,636539
144,636413,636413
144.25,636240,636240
144.5,636171,636171
144.75,636099,636099
145,636066,636066
145.25,636039,636039
145.5,635975,635975
145.75,635824,635824
146,635707,635707
146.25,635690,635690
146.5,635628,635628
146.75,635616,635616
147,635498,635498
147.25,635454,635454
147.5,635357,635357
147.75,635291,635291
148,635249,635249
148.25,635174,635174
148.5,635196,635196
148.75,635207,635207
149,635195,635195
149.25,635091,635091
149.5,635037,635037
149.75,634992,634992
150,635003,635003
150.25,634976,634976
150.5,634950,634950
150.75,634951,634951
151,634961,634961
151.25,634912,634912
151.5,634913,634913
151.75,634826,634826
152,634890,634890
152.25,634884,634884
152.5,634915,634915
152.75,634938,634938
153,634928,634928
153.25,634955,634955
153.5,634925,634925
153.75,634929,634929
154,634922,634922
154.25,634947,634947
154.5,634976,634976
154.75,635000,635000
155,635088,635088
155.25,635102,635102
155.5,635065,635065
155.75,635080,635080
156,635072,635072
156.25,635131,635131
156.5,635186,635186
156.75,635208,635208
157,635227,635227
157.25,635277,635277
157.5,635329,635329
157.75,635346,635346
158,635401,635401
158.25,635459,635459
158.5,635518,635518
158.75,635624,635624
159,635633,635633
159.25,635682,635682
159.5,635750,635750
159.75,635787,635787
160,635785,635785
160.25,635832,635832
160.5,635893,635893
160.75,635968,635968
161,636037,636037
161.25,636127,636127
161.5,636163,636163
161.75,636331,636331
162,636326,636326
162.25,636433,636433
162.5,636493,636493
162.75,636627,636627
163,636662,636662
163.25,636706,636706
163.5,636805,636805
163.75,636899,636899
164,636957,636957
164.25,637064,637064
164.5,637100,637100
164.75,637248,637248
165,637330,637330
165.25,637400,637400
165.5,637510,637510
165.75,637597,637597
166,637600,637600
166.25,637684,637684
166.5,637833,637833
166.75,637920,637920
167,638057,638057
167.25,638152,638152
167.5,638249,638249
167.75,638415,638415
168,638487,638487
168.25,638629,638629
168.5,638801,638801
168.75,638920,638920
169,639094,639094
169.25,639207,639207
169.5,639341,639341
169.75,639453,639453
170,639636,639636
170.25,639779,639779
170.5,639900,639900
170.75,639999,639999
171,640102,640102
171.25,640195,640195
171.5,640293,640293
171.75,640436,640436
172,640542,640542
172.25,640670,640670
172.5,640772,640772
172.75,640946,640946
173,641058,641058
173.25,641130,641130
173.5,641263,641263
173.75,641396,641396
174,641589,641589
174.25,641713,641713
174.5,641820,641820
174.75,641917,641917
175,642104,642104
175.25,642225,642225
175.5,642451,642451
175.75,642611,642611
176,642777,642777
176.25,642968,642968
176.5,643074,643074
176.75,643191,643191
177,643352,643352
177.25,643447,643447
177.5,643583,643583
177.75,643703,643703
178,643823,643823
178.25,644003,644003
178.5,644141,644141
178.75,644251,644251
179,644368,644368
179.25,644447,644447
179.5,644594,644594
179.75,644717,644717
180,644844,644844
180.25,645038,645038
180.5,645222,645222
180.75,645396,645396
181,645509,645509
181.25,645630,645630
181.5,645724,645724
181.75,645865,645865
182,646030,646030
182.25,646172,646172
182.5,646260,646260
182.75,646410,646410
183,646516,646516
183.25,646667,646667
183.5,646778,646778
183.75,646928,646928
184,647033,647033
184.25,647128,647128
184.5,647274,647274
184.75,647398,647398
185,647552,647552
185.25,647673,647673
185.5,647839,647839
185.75,647988,647988
186,648062,648062
186.25,648218,648218
186.5,648303,648303
186.75,648423,648423
187,648537,648537
187.25,648655,648655
187.5,648795,648795
187.75,648921,648921
188,649005,649005
188.25,649131,649131
188.5,649217,649217
188.75,649313,649313
189,649423,649423
189.25,649534,649534
189.5,649686,649686
189.75,649764,649764
190,649917,649917
190.25,649980,649980
190.5,650063,650063
190.75,650180,650180
191,650280,650280
191.25,650360,650360
191.5,650433,650433
191.75,650566,650566
192,650650,650650
192.25,650754,650754
192.5,650804,650804
192.75,650897,650897
193,650979,650979
193.25,651077,651077
193.5,651156,651156
193.75,651229,651229
194,651290,651290
194.25,651351,651351
194.5,651427,651427
194.75,651481,651481
195,651608,651608
195.25,651683,651683
195.5,651818,651818
195.75,651888,651888
196,651966,651966
196.25,652013,652013
196.5,652117,652117
196.75,652206,652206
197,652291,652291
197.25,652356,652356
197.5,652424,652424
197.75,652500,652500
198,652582,652582
198.25,652619,652619
198.5,652737,652737
198.75,652799,652799
199,652878,652878
199.25,652941,652941
199.5,653015,653015
199.75,653048,653048
200,653124,653124
200.25,653243,653243
200.5,653359,653359
200.75,653424,653424
201,653468,653468
201.25,653534,653534
201.5,653626,653626
201.75,653700,653700
202,653751,653751
202.25,653803,653803
202.5,653885,653885
202.75,653955,653955
203,653995,653995
203.25,654066,654066
203.5,654094,654094
203.75,654162,654162
204,654205,654205
204.25,654263,654263
204.5,654316,654316
204.75,654349,654349
205,654420,654420
205.25,654470,654470
205.5,654561,654561
205.75,654639,654639
206,654696,654696
206.25,654719,654719
206.5,654774,654774
206.75,654820,654820
207,654854,654854
207.25,654903,654903
207.5,654922,654922
207.75,654988,654988
208,655048,655048
208.25,655089,655089
208.5,655160,655160
208.75,655192,655192
209,655215,655215
209.25,655288,655288
209.5,655344,655344
209.75,655411,655411
