Time,infections_by_new_infectives
139.5,9156.71
139.75,9236.69
140,9184.59
140.25,9371.85
140.5,8780.46
140.75,8929.13
141,8597.84
141.25,8726.6
141.5,8954.73
141.75,9074.99
142,8190.84
142.25,9040.49
142.5,9030.41
142.75,8839.01
143,9039.1
143.25,8925.24
143.5,8483.39
143.75,8966.69
144,9211.33
144.25,9174.71
144.5,8242.4
144.75,8897.43
145,8428.72
145.25,8903.56
145.5,8329.98
145.75,8565.18
146,8697.3
146.25,8171.86
146.5,8442
146.75,8254.64
147,8489.82
147.25,8466.7
147.5,8457.31
147.75,8575.23
148,8147.41
148.25,8582.38
148.5,8398.13
148.75,7808.28
149,7941.56
149.25,8549.91
149.5,8193.36
149.75,8216.51
150,7941.77
150.25,8500.45
150.5,7826.11
150.75,8218.54
151,7372.84
151.25,7941.79
151.5,7655.2
151.75,7662.06
152,7645.4
152.25,8206.07
152.5,7498.64
152.75,7624.4
153,7616.23
153.25,7642.8
153.5,7749.52
153.75,8079.78
154,7501.57
154.25,6744.87
154.5,7221.49
154.75,6964.51
155,7230.83
155.25,6934.77
155.5,6681.94
155.75,7037.25
156,7057.01
156.25,6793.4
156.5,6720.75
156.75,6790.18
157,6775.98
157.25,7086.97
157.5,6472.07
157.75,6782.47
158,6479.04
158.25,6625.28
158.5,6464.63
158.75,6233.52
159,6721.28
159.25,6318.15
159.5,6444.54
159.75,6046.73
160,6335.85
160.25,5879.44
160.5,6209.03
160.75,6344.72
161,5800.64
161.25,5718.13
161.5,5656.24
161.75,5924.5
162,6218.49
162.25,5323.3
162.5,5457.42
162.75,5550.17
163,5551.13
163.25,5397
163.5,5487.56
163.75,5441.78
164,5329.05
164.25,5281.65
164.5,5351.84
164.75,5105.91
165,5053.32
165.25,5071.83
165.5,5149.67
165.75,4865.35
166,5025.36
166.25,5169.46
166.5,4482.49
166.75,4815.09
167,4682.51
167.25,4734.3
167.5,4575.15
167.75,4590.59
168,4780.35
168.25,4438.17
168.5,4302.66
168.75,4511.07
169,4258.11
169.25,4274.75
169.5,3968.22
169.75,4197.98
170,4227.27
170.25,4225
170.5,4031.45
170.75,4178.5
171,3844.5
171.25,3931.14
171.5,4074.44
171.75,3765.83
172,3845.07
172.25,3477.09
172.5,3380.64
172.75,3659.88
173,3628.87
173.25,3512.22
173.5,3528.13
173.75,3147.57
174,3401.45
174.25,3211.39
174.5,3189.79
174.75,3148.5
175,3138.95
175.25,3438.87
175.5,2974.68
175.75,3122.15
176,2933.1
176.25,3014.16
176.5,2763.35
176.75,2984.07
177,2920.49
177.25,2908.24
177.5,2801.51
177.75,2669.08
178,2785.78
178.25,2670.74
178.5,2877.06
178.75,2855.68
179,2679.35
179.25,2651.06
179.5,2502.14
179.75,2734.89
180,2507.11
180.25,2175.06
180.5,2383.75
180.75,2121.27
181,2395.54
181.25,2369.71
181.5,2431.6
181.75,2385.28
182,2313.33
182.25,2255.26
182.5,2203.9
182.75,2214.2
183,2123.87
183.25,2246.66
183.5,2164.67
183.75,2110.89
184,1941.8
184.25,1978.19
184.5,2061.91
184.75,1854.25
185,1829.85
185.25,1932.44
185.5,1835.15
185.75,1858.04
186,2016.85
186.25,1647.53
186.5,1836.38
186.75,1611.37
187,1734.94
187.25,1830.55
187.5,1750.81
187.75,1614.62
188,1760.1
188.25,1672.96
188.5,1543.04
188.75,1678.26
189,1602.77
189.25,1363.72
189.5,1397.86
189.75,1591.41
190,1416.51
190.25,1468.73
190.5,1490.17
190.75,1435.36
191,1302.64
191.25,1350.96
191.5,1334.36
191.75,1294.37
192,1269.42
192.25,1336.85
192.5,1211.65
192.75,1364.08
193,1431.3
193.25,1245.25
193.5,1177.68
193.75,1233.47
194,1381
194.25,1219.55
194.5,1335.05
194.75,1348.51
195,1189.54
195.25,990.909
195.5,1116.64
195.75,1105.29
196,922.091
196.25,1072.41
196.5,1057.02
196.75,959.781
197,1149.56
197.25,854.297
197.5,1057.36
197.75,988.872
198,945.695
198.25,1077.62
198.5,837.95
198.75,855.074
199,991.668
199.25,924.367
199.5,847.248
199.75,868.708
200,909.476
200.25,711.029
200.5,758.664
200.75,741.391
201,771.76
201.25,881.984
201.5,661.382
201.75,885.843
202,826.488
202.25,682.664
202.5,618.66
202.75,788.562
203,820.094
203.25,636.728
203.5,809.013
203.75,658.528
204,643.055
204.25,716.105
204.5,661.607
204.75,674.52
205,609.924
205.25,731.092
205.5,541.301
205.75,602.549
206,588.591
206.25,623.567
206.5,590.22
206.75,648.436
207,632.715
207.25,595.654
207.5,620.776
207.75,550.543
208,689.299
208.25,649.404
208.5,496.015
208.75,632.972
209,557.106
209.25,564.909
209.5,476.825
209.75,453.639
210,466.124
210.25,594.757
210.5,438.664
210.75,561.799
211,507.317
211.25,470.806
211.5,469.141
211.75,519.373
212,480.454
212.25,554.378
212.5,432.869
212.75,545.304
213,454.363
213.25,393.505
213.5,507.791
213.75,459.559
214,417.799
214.25,537.066
214.5,392.313
214.75,461.827
215,443.816
215.25,470.233
215.5,422.703
215.75,353.278
216,389.256
216.25,371.286
216.5,402.066
216.75,402.139
217,323.882
217.25,404.029
217.5,441.764
217.75,340.445
218,389.61
218.25,465.727
218.5,331.279
218.75,316.939
219,342.6
219.25,324.645
219.5,329.453
219.75,349.634
220,366.028
220.25,403.862
220.5,307.798
220.75,322.049
221,351.705
221.25,320.671
221.5,404.475
221.75,278.898
222,344.884
222.25,236.048
222.5,348.585
222.75,288.332
223,270.055
223.25,270.762
223.5,273.295
223.75,312.635
224,213.036
224.25,264.405
224.5,181.023
224.75,286.915
225,294.452
225.25,225.959
225.5,193.717
225.75,277.48
226,210.69
226.25,215.904
226.5,231.858
226.75,240.509
227,231.82
227.25,274.687
227.5,195.734
227.75,179.234
228,206.303
228.25,214.369
228.5,239.348
228.75,180.592
229,176.803
229.25,190.044
229.5,227.348
229.75,169.547
230,192.89
230.25,168.505
230.5,190.466
230.75,191.625
231,169.699
231.25,154.875
231.5,192.364
231.75,160.468
232,153.975
232.25,193.41
232.5,175.635
232.75,165.444
233,188.832
233.25,196.455
233.5,188.848
233.75,146.364
234,189.648
234.25,117.482
234.5,187.488
234.75,165.737
235,141.662
235.25,162.213
235.5,202.37
235.75,165.644
236,141.007
236.25,146.255
236.5,132.872
236.75,103.54
237,169.54
237.25,89.9471
237.5,216.952
237.75,117.348
238,65.8937
238.25,91.5922
238.5,83.3226
238.75,131.629
239,107.814
239.25,143.987
239.5,102.433
239.75,116.847
240,138.63
240.25,123.794
240.5,87.4042
240.75,89.4174
241,135.301
241.25,114.005
241.5,130.768
241.75,86.7463
242,74.8525
242.25,145.617
242.5,121.661
242.75,85.6638
243,83.2361
243.25,120.588
243.5,60.543
243.75,90.9059
244,78.5529
244.25,108.927
244.5,82.8385
244.75,96.0403
245,74.2446
245.25,65.6804
245.5,99.3298
245.75,80.9844
246,46.6235
246.25,93.9955
246.5,98.504
246.75,82.0537
247,46.4014
247.25,102.223
247.5,53.2764
247.75,84.7957
248,109.778
248.25,92.9408
248.5,77.8513
248.75,54.6132
249,56.0542
249.25,67.4836
249.5,91.312
249.75,86.5241
250,52.8931
250.25,60.5449
250.5,73.8536
250.75,51.3076
251,59.7735
251.25,55.5821
251.5,56.3358
251.75,113.946
252,107.997
252.25,60.4464
252.5,59.8757
252.75,28.5581
253,75.874
253.25,33.3988
253.5,32.7754
253.75,44.4684
254,59.2436
254.25,42.6563
254.5,56.2385
254.75,47.1669
255,26.758
255.25,39.7025
255.5,38.2332
255.75,17.4248
256,13.1713
256.25,32.5898
256.5,39.0511
256.75,28.4425
257,39.5744
257.25,31.6083
257.5,42.5907
257.75,48.3574
258,36.8552
258.25,40.8915
258.5,23.4012
258.75,37.153
259,14.1074
259.25,44.5781
259.5,29.3354
259.75,13.5377
260,39.4447
260.25,21.2131
260.5,36.1802
260.75,37.1924
261,19.6044
261.25,25.0473
261.5,43.4826
261.75,38.9848
262,42.2124
262.25,38.578
262.5,14.1271
262.75,10.6891
263,31.5289
263.25,23.2348
263.5,31.3825
263.75,13.3407
264,17.4954
264.25,25.2223
264.5,10.8014
264.75,21.6882
265,28.2631
265.25,37.4208
265.5,25.443
265.75,16.1996
266,27.7558
266.25,9.78863
266.5,9.81132
266.75,24.3878
267,13.3266
267.25,16.9707
267.5,8.58903
267.75,17.0931
268,30.0396
268.25,6.54702
268.5,10.6497
268.75,5.06192
269,10.4515
269.25,8.95551
269.5,7.98999
269.75,21.8034
270,15.3741
270.25,10.8187
270.5,4.90502
270.75,17.2597
271,9.33328
271.25,7.43401
271.5,9.62416
271.75,8.62063
272,17.1784
272.25,15.9761
272.5,10.7924
272.75,14.2365
273,10.8734
273.25,15.9958
273.5,13.1072
273.75,3.5427
274,7.05159
274.25,3.49494
274.5,10.7212
274.75,11.5143
275,5.18017
275.25,26.3859
275.5,15.7444
275.75,28.5221
276,5.02234
276.25,4.92691
276.5,25.5945
276.75,5.65883
277,24.7033
277.25,0
277.5,12.7674
277.75,26.7268
278,8.06492
278.25,3.71304
278.5,14.9102
278.75,8.82798
279,12.6174
279.25,5.04873
279.5,7.20811
279.75,10.3712
280,1.66888
280.25,12.2734
280.5,4.21554
280.75,1.91841
281,18.6282
281.25,5.84171
281.5,10.4554
281.75,4.81656
282,14.1963
282.25,19.7452
282.5,5.68501
282.75,4.4324
283,6.71825
283.25,1.4721
283.5,12.3728
283.75,10.0965
284,8.14159
284.25,6.22438
284.5,7.15839
284.75,0.378467
285,4.42244
285.25,1.59298
285.5,8.12256
285.75,9.60382
286,0.907632
286.25,1.81846
286.5,1.06959
286.75,9.0224
287,3.01794
287.25,0
287.5,6.55561
287.75,0.513218
288,0
288.25,6.99201
288.5,2.5584
288.75,7.23954
289,8.04206
289.25,6.22113
289.5,0.502331
289.75,0.169889
290,2.07259
290.25,0
290.5,2.43151
290.75,2.13354
291,0
291.25,4.22415
291.5,4.88688
291.75,0
292,0.162476
292.25,3.7691
292.5,3.89809
292.75,6.67481
293,5.27343
293.25,5.62202
293.5,2.93439
293.75,0
294,0.225257
294.25,3.06437
294.5,2.33445
294.75,8.51305
295,4.33089
295.25,8.94748
295.5,3.41324
295.75,0.503443
296,0.499637
296.25,0.301173
