Time,cumulative_mean_fraction_lambda_W
231.5,0.538044
231.75,0.538039
232,0.538032
232.25,0.538035
232.5,0.538022
232.75,0.538019
233,0.538021
233.25,0.538012
233.5,0.538
233.75,0.537996
234,0.537993
234.25,0.537986
234.5,0.537982
234.75,0.537977
235,0.537969
235.25,0.537964
235.5,0.537955
235.75,0.537949
236,0.537939
236.25,0.537929
236.5,0.537923
236.75,0.537915
237,0.537911
237.25,0.53789
237.5,0.537891
237.75,0.537891
238,0.537886
238.25,0.537882
238.5,0.537877
238.75,0.537869
239,0.537864
239.25,0.537857
239.5,0.537851
239.75,0.537853
240,0.537854
240.25,0.537858
240.5,0.537859
240.75,0.537852
241,0.537845
241.25,0.537839
241.5,0.537831
241.75,0.537834
242,0.537831
242.25,0.537828
242.5,0.537829
242.75,0.537831
243,0.537822
243.25,0.537813
243.5,0.537808
243.75,0.537809
244,0.537805
244.25,0.537802
244.5,0.537802
244.75,0.537801
245,0.537802
245.25,0.537804
245.5,0.537797
245.75,0.537793
246,0.537787
246.25,0.537786
246.5,0.53778
246.75,0.537787
247,0.537778
247.25,0.537779
247.5,0.537777
247.75,0.537768
248,0.537764
248.25,0.53776
248.5,0.537752
248.75,0.537753
249,0.537748
249.25,0.53775
249.5,0.537741
249.75,0.537739
250,0.537742
250.25,0.537741
250.5,0.537737
250.75,0.537727
251,0.537724
251.25,0.537724
251.5,0.537713
251.75,0.537712
252,0.537701
252.25,0.537698
252.5,0.537691
252.75,0.537684
253,0.537685
253.25,0.537684
253.5,0.537682
253.75,0.537681
254,0.537679
254.25,0.537685
254.5,0.537686
254.75,0.537688
255,0.537684
255.25,0.537683
255.5,0.537686
255.75,0.537678
256,0.537672
256.25,0.537669
256.5,0.537668
256.75,0.537665
257,0.537666
257.25,0.537664
257.5,0.537665
257.75,0.537665
258,0.537662
258.25,0.537659
258.5,0.537657
258.75,0.537657
259,0.537654
259.25,0.537654
259.5,0.537655
259.75,0.537655
260,0.537652
260.25,0.537649
260.5,0.537647
260.75,0.537642
261,0.537637
261.25,0.53763
261.5,0.53763
261.75,0.53763
262,0.537624
262.25,0.53762
262.5,0.537618
262.75,0.537616
263,0.537609
263.25,0.5376
263.5,0.537591
263.75,0.537592
264,0.537583
264.25,0.537579
264.5,0.537579
264.75,0.537581
265,0.537582
265.25,0.537578
265.5,0.537578
265.75,0.537578
266,0.537578
266.25,0.537575
266.5,0.537572
266.75,0.53757
267,0.53757
267.25,0.537572
267.5,0.537574
267.75,0.537572
268,0.537574
268.25,0.537574
268.5,0.537574
268.75,0.537573
269,0.537577
269.25,0.537577
269.5,0.537579
269.75,0.537576
270,0.537571
270.25,0.537568
270.5,0.537568
270.75,0.537567
271,0.537569
271.25,0.537571
271.5,0.537572
271.75,0.537573
272,0.537569
272.25,0.537571
272.5,0.537573
272.75,0.537571
273,0.53757
273.25,0.537567
273.5,0.537565
273.75,0.537566
274,0.537567
274.25,0.537567
274.5,0.537567
274.75,0.537566
275,0.537568
275.25,0.537567
275.5,0.537566
275.75,0.537564
276,0.537564
276.25,0.537563
276.5,0.537564
276.75,0.537565
277,0.537563
277.25,0.537563
277.5,0.537563
277.75,0.537562
278,0.537562
278.25,0.537562
278.5,0.537563
278.75,0.537562
279,0.537561
279.25,0.537561
279.5,0.537563
279.75,0.537561
280,0.53756
280.25,0.537559
280.5,0.537557
280.75,0.537556
281,0.537557
281.25,0.537556
281.5,0.537554
281.75,0.537555
282,0.537556
282.25,0.537554
282.5,0.537554
282.75,0.537553
283,0.537554
283.25,0.537553
283.5,0.537554
283.75,0.537553
284,0.537552
284.25,0.537553
284.5,0.537554
284.75,0.537553
285,0.537553
285.25,0.537551
285.5,0.537552
285.75,0.537552
286,0.537552
286.25,0.537552
286.5,0.537551
286.75,0.53755
287,0.53755
287.25,0.53755
287.5,0.537552
287.75,0.537553
288,0.537553
288.25,0.537552
288.5,0.537551
288.75,0.537551
289,0.537552
289.25,0.537553
289.5,0.537553
289.75,0.537553
290,0.537552
290.25,0.537552
290.5,0.537553
290.75,0.537553
291,0.537554
291.25,0.537554
291.5,0.537554
291.75,0.537555
292,0.537555
292.25,0.537556
292.5,0.537557
292.75,0.537556
293,0.537556
293.25,0.537556
293.5,0.537556
293.75,0.537556
294,0.537556
294.25,0.537556
294.5,0.537555
294.75,0.537555
295,0.537554
295.25,0.537553
295.5,0.537554
295.75,0.537551
296,0.537553
296.25,0.537552
296.5,0.537552
296.75,0.537551
297,0.53755
297.25,0.537551
297.5,0.537552
297.75,0.537552
298,0.537552
298.25,0.537553
298.5,0.537553
298.75,0.537553
299,0.537553
299.25,0.537553
299.5,0.537551
299.75,0.537551
300,0.537552
300.25,0.537551
300.5,0.53755
300.75,0.537551
301,0.537551
301.25,0.537551
301.5,0.537551
301.75,0.537551
302,0.537551
302.25,0.537551
302.5,0.537551
302.75,0.537551
303,0.537551
303.25,0.537551
303.5,0.537551
303.75,0.537551
304,0.537551
304.25,0.53755
304.5,0.53755
304.75,0.537551
305,0.537551
305.25,0.537551
305.5,0.53755
305.75,0.53755
306,0.53755
306.25,0.537551
306.5,0.537551
306.75,0.537551
307,0.53755
307.25,0.53755
307.5,0.537549
307.75,0.537549
308,0.537549
308.25,0.537551
308.5,0.53755
308.75,0.53755
309,0.53755
309.25,0.53755
309.5,0.53755
309.75,0.537551
310,0.537551
310.25,0.537551
310.5,0.537551
310.75,0.537552
311,0.537553
311.25,0.537553
311.5,0.537554
311.75,0.537554
312,0.537554
312.25,0.537554
312.5,0.537554
312.75,0.537554
313,0.537554
313.25,0.537554
313.5,0.537555
313.75,0.537555
314,0.537555
314.25,0.537555
314.5,0.537555
314.75,0.537556
315,0.537556
315.25,0.537556
315.5,0.537556
315.75,0.537556
316,0.537557
316.25,0.537556
316.5,0.537556
316.75,0.537556
317,0.537556
317.25,0.537555
317.5,0.537555
317.75,0.537555
318,0.537555
318.25,0.537556
318.5,0.537555
318.75,0.537555
319,0.537555
319.25,0.537556
319.5,0.537556
319.75,0.537556
320,0.537556
320.25,0.537556
320.5,0.537555
320.75,0.537556
321,0.537556
321.25,0.537556
321.5,0.537556
321.75,0.537555
322,0.537555
322.25,0.537555
322.5,0.537555
322.75,0.537554
323,0.537553
323.25,0.537553
323.5,0.537553
323.75,0.537553
324,0.537552
324.25,0.537552
324.5,0.537552
324.75,0.537552
325,0.537552
325.25,0.537552
325.5,0.537552
325.75,0.537552
326,0.537552
326.25,0.537552
326.5,0.537552
326.75,0.537552
327,0.537552
327.25,0.537552
327.5,0.537552
327.75,0.537552
328,0.537552
328.25,0.537552
328.5,0.537552
328.75,0.537552
329,0.537552
329.25,0.537552
329.5,0.537552
329.75,0.537552
330,0.537552
330.25,0.537552
330.5,0.537552
330.75,0.537552
331,0.537552
331.25,0.537552
331.5,0.537552
331.75,0.537552
332,0.537552
332.25,0.537552
332.5,0.537552
332.75,0.537552
333,0.537552
333.25,0.537552
333.5,0.537552
333.75,0.537552
334,0.537552
334.25,0.537552
334.5,0.537552
334.75,0.537552
335,0.537552
335.25,0.537552
335.5,0.537552
335.75,0.537552
336,0.537552
336.25,0.537552
336.5,0.537552
336.75,0.537552
337,0.537552
337.25,0.537552
337.5,0.537552
337.75,0.537552
338,0.537552
338.25,0.537552
338.5,0.537552
338.75,0.537552
339,0.537552
339.25,0.537552
339.5,0.537552
339.75,0.537552
340,0.537552
340.25,0.537552
340.5,0.537552
340.75,0.537552
341,0.537552
341.25,0.537552
341.5,0.537552
341.75,0.537552
342,0.537552
342.25,0.537552
342.5,0.537552
342.75,0.537552
343,0.537552
343.25,0.537552
343.5,0.537552
343.75,0.537552
344,0.537552
344.25,0.537552
344.5,0.537552
344.75,0.537552
345,0.537552
345.25,0.537552
345.5,0.537552
345.75,0.537552
346,0.537552
346.25,0.537552
346.5,0.537552
346.75,0.537552
347,0.537552
347.25,0.537552
347.5,0.537552
347.75,0.537552
348,0.537552
348.25,0.537552
348.5,0.537552
348.75,0.537552
349,0.537552
349.25,0.537552
349.5,0.537552
349.75,0.537552
350,0.537552
350.25,0.537552
350.5,0.537552
350.75,0.537552
351,0.537552
351.25,0.537552
351.5,0.537552
351.75,0.537552
352,0.537552
352.25,0.537552
352.5,0.537552
352.75,0.537552
353,0.537552
353.25,0.537552
353.5,0.537552
353.75,0.537552
354,0.537552
354.25,0.537552
354.5,0.537552
354.75,0.537552
355,0.537552
355.25,0.537552
355.5,0.537552
355.75,0.537552
356,0.537552
356.25,0.537552
356.5,0.537552
356.75,0.537552
357,0.537552
357.25,0.537552
357.5,0.537552
357.75,0.537552
358,0.537552
358.25,0.537552
358.5,0.537552
358.75,0.537552
359,0.537552
359.25,0.537552
359.5,0.537552
359.75,0.537552
360,0.537552
360.25,0.537552
360.5,0.537552
360.75,0.537552
361,0.537552
361.25,0.537552
361.5,0.537552
361.75,0.537552
362,0.537552
