Time,susceptible_lambda_H
45.75,24.9056
46,18.795
46.25,24.8612
46.5,21.3643
46.75,18.3442
47,24.7065
47.25,26.2475
47.5,33.5987
47.75,36.8332
48,45.4636
48.25,37.4828
48.5,38.4448
48.75,37.8287
49,42.1855
49.25,51.2955
49.5,49.29
49.75,50.907
50,48.3815
50.25,41.0319
50.5,41.5885
50.75,37.7808
51,39.01
51.25,32.6576
51.5,38.4019
51.75,46.371
52,42.796
52.25,49.149
52.5,54.9466
52.75,50.9383
53,48.1101
53.25,58.9516
53.5,53.0779
53.75,48.5313
54,51.3682
54.25,47.8309
54.5,67.6951
54.75,60.7192
55,56.4517
55.25,57.8151
55.5,54.8031
55.75,58.9093
56,53.3024
56.25,58.1149
56.5,57.9146
56.75,54.8355
57,68.7458
57.25,59.3479
57.5,57.5484
57.75,56.5317
58,57.5439
58.25,62.9171
58.5,69.8999
58.75,67.7721
59,71.5595
59.25,87.4485
59.5,92.0257
59.75,112.41
60,85.0757
60.25,74.5755
60.5,81.0308
60.75,72.9115
61,63.9715
61.25,58.1774
61.5,71.0822
61.75,79.8269
62,72.7478
62.25,72.3163
62.5,85.6659
62.75,95.8464
63,91.0265
63.25,89.8199
63.5,100.139
63.75,108.658
64,106.259
64.25,113.097
64.5,108.152
64.75,99.4333
65,112.66
65.25,114.397
65.5,117.192
65.75,119.763
66,113.879
66.25,96.6653
66.5,92.9206
66.75,101.233
67,119.686
67.25,125.746
67.5,128.946
67.75,112.395
68,122.022
68.25,123.973
68.5,129.529
68.75,137.274
69,141.437
69.25,123.84
69.5,134.111
69.75,131.17
70,127.7
70.25,122.623
70.5,130.417
70.75,131.199
71,144.954
71.25,152.927
71.5,160.958
71.75,167.088
72,171.435
72.25,149.448
72.5,173.103
72.75,166.235
73,180.485
73.25,167.572
73.5,164.765
73.75,196.232
74,178.361
74.25,169.155
74.5,166
74.75,184.129
75,165.809
75.25,167.598
75.5,199.037
75.75,184.996
76,177.036
76.25,183.494
76.5,207.298
76.75,200.405
77,205.624
77.25,207.896
77.5,209.648
77.75,204.345
78,225.965
78.25,220.731
78.5,247.026
78.75,227.9
79,217.527
79.25,227
79.5,231.024
79.75,238.143
80,258.083
80.25,253.3
80.5,261.298
80.75,259.72
81,254.041
81.25,281.009
81.5,263.995
81.75,303.937
82,281.337
82.25,278.268
82.5,270.232
82.75,304.022
83,274.644
83.25,288.26
83.5,306.041
83.75,370.637
84,330.036
84.25,317.043
84.5,314.693
84.75,300.088
85,322.28
85.25,332.036
85.5,320.308
85.75,339.657
86,335.811
86.25,376.034
86.5,351.088
86.75,345.042
87,337.48
87.25,358.128
87.5,365.558
87.75,370.748
88,375.247
88.25,377.467
88.5,411.306
88.75,394.412
89,407.601
89.25,393.186
89.5,423.279
89.75,418.492
90,417.551
90.25,464.503
90.5,478.362
90.75,429.876
91,433.795
91.25,446.208
91.5,437.25
91.75,420.145
92,431.403
92.25,449.296
92.5,441.311
92.75,454.352
93,448.457
93.25,454.972
93.5,481.24
93.75,481.664
94,463.551
94.25,504.182
94.5,499.988
94.75,518.522
95,526.804
95.25,538.325
95.5,571.011
95.75,574.047
96,570.845
96.25,591.952
96.5,611.291
96.75,610.666
97,623.407
97.25,627.119
97.5,635.387
97.75,666.486
98,619.603
98.25,626.88
98.5,603.613
98.75,648.431
99,635.141
99.25,682.657
99.5,623.785
99.75,657.45
100,685.804
100.25,687.731
100.5,687.237
100.75,695.234
101,741.069
101.25,715.373
101.5,722.066
101.75,775.315
102,739.012
102.25,753.826
102.5,795.183
102.75,816.221
103,838.74
103.25,842.665
103.5,859.686
103.75,828.4
104,853.583
104.25,917.396
104.5,883.228
104.75,869.417
105,875.557
105.25,895.603
105.5,900.853
105.75,921.882
106,925.82
106.25,932.512
106.5,944.794
106.75,975.336
107,1017.3
107.25,1037.11
107.5,1035.26
107.75,1115.85
108,1088.59
108.25,1095.31
108.5,1031.67
108.75,1069.03
109,1082.72
109.25,1136.46
109.5,1151.58
109.75,1237.06
110,1234.24
110.25,1295.85
110.5,1226.24
110.75,1258.18
111,1233.41
111.25,1238.83
111.5,1223.58
111.75,1254.77
112,1270.34
112.25,1229.75
112.5,1274.51
112.75,1290.54
113,1366.31
113.25,1375.43
113.5,1394.37
113.75,1391.3
114,1486.45
114.25,1398.25
114.5,1369.93
114.75,1438.35
115,1525.53
115.25,1554.53
115.5,1498.06
115.75,1537.36
116,1493.69
116.25,1471.59
116.5,1543.03
116.75,1533.21
117,1572.26
117.25,1540.57
117.5,1521.12
117.75,1571.93
118,1593.5
118.25,1569.14
118.5,1700.2
118.75,1697.96
119,1714.27
119.25,1749.96
119.5,1722.4
119.75,1729.44
120,1688.7
120.25,1637.66
120.5,1642.06
120.75,1689.05
121,1728.49
121.25,1850.84
121.5,1839.02
121.75,1915.84
122,1995.78
122.25,1887.4
122.5,1894.97
122.75,1901.77
123,1949.96
123.25,2002.55
123.5,1957.55
123.75,1969.76
124,1967.24
124.25,2075.06
124.5,2036.77
124.75,2054.15
125,2048.48
125.25,2019.41
125.5,2051.5
125.75,2144.85
126,2215.59
126.25,2259.66
126.5,2214.9
126.75,2173.77
127,2223.15
127.25,2267.93
127.5,2311.98
127.75,2271.05
128,2210.13
128.25,2176.63
128.5,2202.49
128.75,2186.22
129,2244.04
129.25,2239.02
129.5,2265.74
129.75,2383.69
130,2441.62
130.25,2434.22
130.5,2489.08
130.75,2439.06
131,2474.07
131.25,2367.56
131.5,2404.8
131.75,2451.59
132,2396.46
132.25,2445.08
132.5,2486.15
132.75,2477.67
133,2540.91
133.25,2604.15
133.5,2605.91
133.75,2531.67
134,2557.85
134.25,2601.01
134.5,2537.64
134.75,2642.24
135,2676.52
135.25,2717.53
135.5,2662.65
135.75,2720.25
136,2678.48
136.25,2726.89
136.5,2705.41
136.75,2708.01
137,2687.73
137.25,2784.04
137.5,2772.83
137.75,2650.39
138,2623.42
138.25,2720.99
138.5,2792.1
138.75,2786.96
139,2692.84
139.25,2758.36
139.5,2755.57
139.75,2742.05
140,2696.68
140.25,2695.79
140.5,2764.01
140.75,2792.52
141,2805.15
141.25,2725.31
141.5,2775.38
141.75,2852.78
142,2919.85
142.25,2844.28
142.5,2928.7
142.75,2938.53
143,2942.08
143.25,2874.64
143.5,2837.52
143.75,2811.26
144,2782.18
144.25,2907.32
144.5,2980.18
144.75,2892.95
145,2889.75
145.25,2881.96
145.5,2789.28
145.75,2837.51
146,2846.33
146.25,2882.27
146.5,2902.54
146.75,2914.56
147,2876.18
147.25,2813.97
147.5,2770.45
147.75,2826.44
148,2779.47
148.25,2772.14
148.5,2775.42
148.75,2755.46
149,2855.36
149.25,2686.17
149.5,2752.25
149.75,2801.61
150,2766.13
150.25,2724.49
150.5,2690.86
150.75,2678.99
151,2674.33
151.25,2718.51
151.5,2747.99
151.75,2760
152,2771.5
152.25,2757.56
152.5,2719.33
152.75,2607.98
153,2654.38
153.25,2637.05
153.5,2588.33
153.75,2641.48
154,2606.67
154.25,2617.91
154.5,2575.42
154.75,2670.52
155,2655.95
155.25,2525.32
155.5,2476.26
155.75,2525.14
156,2570.31
156.25,2543.48
156.5,2467.98
156.75,2454.65
157,2508.44
157.25,2511.17
157.5,2540.87
157.75,2476.95
158,2503.05
158.25,2421.09
158.5,2433.21
158.75,2381.57
159,2399.33
159.25,2313.42
159.5,2328.59
159.75,2298.22
160,2268.66
160.25,2238.79
160.5,2314.47
160.75,2288.47
161,2241.65
161.25,2198.44
161.5,2176.31
161.75,2177.72
162,2179.24
162.25,2241.34
162.5,2222.7
162.75,2221.73
163,2184.91
163.25,2111.32
163.5,2105.51
163.75,2089.7
164,2018.37
164.25,2025.38
164.5,2008.19
164.75,1920.38
165,1958.55
165.25,1865.67
165.5,1902.51
165.75,1934.53
166,1964.32
166.25,1912.61
166.5,1874.29
166.75,1875.59
167,1839.69
167.25,1853.27
167.5,1898.57
167.75,1857.82
168,1910.78
168.25,1859.73
168.5,1831.27
168.75,1800.46
169,1745.26
169.25,1692.19
169.5,1723.76
169.75,1730.06
170,1712.34
170.25,1702.1
170.5,1635.48
170.75,1645.03
171,1626.21
171.25,1590.77
171.5,1536.38
171.75,1518.94
172,1550.93
172.25,1524.18
172.5,1537.4
172.75,1520.83
173,1469.04
173.25,1489.39
173.5,1458.06
173.75,1534.74
174,1462.6
174.25,1516.64
