Time,susceptible_lambda_C
99.25,284.979
99.5,286.791
99.75,290.99
100,299.572
100.25,302.204
100.5,307.877
100.75,315.59
101,316.133
101.25,319.825
101.5,320.165
101.75,327.676
102,333.957
102.25,340.295
102.5,344.096
102.75,347.242
103,353.003
103.25,358.141
103.5,368.267
103.75,371.327
104,375.955
104.25,385.909
104.5,384.108
104.75,388.181
105,386.54
105.25,397.526
105.5,401.168
105.75,397.615
106,398.587
106.25,404.904
106.5,412.684
106.75,416.033
107,428.152
107.25,439.618
107.5,440.26
107.75,445.718
108,456.571
108.25,458.32
108.5,456.384
108.75,459.153
109,458.772
109.25,464.662
109.5,467.357
109.75,473.535
110,475.316
110.25,481.611
110.5,474.444
110.75,480.363
111,492.822
111.25,501.316
111.5,505.116
111.75,511.425
112,520.312
112.25,521.663
112.5,527.204
112.75,535.397
113,545.678
113.25,558.031
113.5,567.134
113.75,571.801
114,585.915
114.25,587.949
114.5,586.387
114.75,596.579
115,608.173
115.25,615.087
115.5,625.796
115.75,636.303
116,653.251
116.25,658.713
116.5,669.134
116.75,667.7
117,681.277
117.25,679.646
117.5,681.477
117.75,691.955
118,701.951
118.25,704.56
118.5,713.912
118.75,718.498
119,724.035
119.25,723.218
119.5,723.17
119.75,728.392
120,725.917
120.25,727.124
120.5,726.856
120.75,743.538
121,750.993
121.25,769.405
121.5,789.622
121.75,799.324
122,810.203
122.25,818.848
122.5,822.064
122.75,816.477
123,821.427
123.25,829.094
123.5,835.997
123.75,850.877
124,864.93
124.25,881.031
124.5,881.744
124.75,892.543
125,902.206
125.25,914.382
125.5,929.852
125.75,931.379
126,945.869
126.25,958.541
126.5,961.939
126.75,962.823
127,961.192
127.25,974.866
127.5,981.123
127.75,984.989
128,985.41
128.25,975.088
128.5,983.075
128.75,991.217
129,998.21
129.25,990.708
129.5,990.133
129.75,1000.66
130,1017.83
130.25,1026.16
130.5,1040.76
130.75,1037.48
131,1053.83
131.25,1055.67
131.5,1047.66
131.75,1051.04
132,1054.78
132.25,1062.6
132.5,1077.24
132.75,1080.11
133,1080.91
133.25,1082.81
133.5,1086.83
133.75,1089.06
134,1093.18
134.25,1108.09
134.5,1106.4
134.75,1113.57
135,1124.42
135.25,1134.66
135.5,1150.56
135.75,1153.66
136,1148.59
136.25,1151.65
136.5,1149.55
136.75,1154.39
137,1153.5
137.25,1168.05
137.5,1184.26
137.75,1179.65
138,1170.75
138.25,1190.17
138.5,1201.26
138.75,1213.49
139,1213.07
139.25,1218.04
139.5,1220.88
139.75,1228.75
140,1231.29
140.25,1243.09
140.5,1251.21
140.75,1270
141,1267.34
